Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.042893
0.001667	0.1	0.049257
0.003333	0.1	0.043053
0.005000	0.1	0.029547
0.006667	0.1	0.020146
0.008333	0.1	0.015992
0.010000	0.1	0.017480
0.011667	0.1	0.026253
0.013333	0.1	0.037719
0.015000	0.1	0.047069
0.016667	0.1	0.053788
0.018367	0.102	0.055540
0.020033	0.1	0.052964
0.021700	0.1	0.049060
0.023367	0.1	0.037777
0.025033	0.1	0.013914
0.026717	0.101	-0.016169
0.028367	0.099	-0.037359
0.030367	0.12	-0.043279
0.032033	0.1	-0.038905
0.033700	0.1	-0.035284
0.035383	0.101	-0.037706
0.037033	0.099	-0.041209
0.038700	0.1	-0.044233
0.040367	0.1	-0.057284
0.042033	0.1	-0.075411
0.043717	0.101	-0.085412
0.045367	0.099	-0.085300
0.047033	0.1	-0.074626
0.048700	0.1	-0.054545
0.050367	0.1	-0.028751
0.052033	0.1	-0.005111
0.053700	0.1	0.016441
0.055367	0.1	0.035106
0.057033	0.1	0.046079
0.058700	0.1	0.043881
0.060367	0.1	0.021623
0.062033	0.1	0.003831
0.064050	0.121	0.012937
0.065717	0.1	0.038874
0.067367	0.099	0.048604
0.069033	0.1	0.030432
0.070733	0.102	0.000377
0.072417	0.101	-0.030118
0.074083	0.1	-0.062055
0.075750	0.1	-0.097035
0.077417	0.1	-0.121766
0.079083	0.1	-0.119665
0.080750	0.1	-0.091042
0.082417	0.1	-0.048482
0.084083	0.1	-0.010367
0.085750	0.1	0.011720
0.087417	0.1	0.014108
0.089083	0.1	-0.001849
0.090750	0.1	-0.023108
0.092417	0.1	-0.035139
0.094083	0.1	-0.031753
0.095750	0.1	-0.015238
0.097750	0.12	0.004448
0.099433	0.101	0.017401
0.101100	0.1	0.018069
0.102767	0.1	-0.000975
0.104417	0.099	-0.030187
0.106100	0.101	-0.050315
0.107750	0.099	-0.052850
0.109433	0.101	-0.039904
0.111083	0.099	-0.018315
0.112767	0.101	0.006830
0.114417	0.099	0.030765
0.116100	0.101	0.049956
0.117750	0.099	0.067712
0.119433	0.101	0.082495
0.121083	0.099	0.085801
0.122767	0.101	0.078649
0.124417	0.099	0.066768
0.126100	0.101	0.051043
0.127750	0.099	0.035138
0.129867	0.127	0.024837
0.131533	0.1	0.020754
0.133200	0.1	0.025046
0.134867	0.1	0.037319
0.136533	0.1	0.044514
0.138217	0.101	0.046072
0.139867	0.099	0.053252
0.141533	0.1	0.059782
0.143200	0.1	0.053074
0.144867	0.1	0.040369
0.146567	0.102	0.038910
0.148200	0.098	0.049119
0.149867	0.1	0.051373
0.151533	0.1	0.031699
0.153200	0.1	0.002316
0.154867	0.1	-0.015804
0.156533	0.1	-0.019259
0.158200	0.1	-0.020505
0.159867	0.1	-0.018787
0.161533	0.1	-0.009354
0.163533	0.12	0.007234
0.165217	0.101	0.024795
0.166867	0.099	0.032119
0.168550	0.101	0.029092
0.170183	0.098	0.026089
0.171850	0.1	0.029097
0.173517	0.1	0.036139
0.175183	0.1	0.047832
0.176850	0.1	0.059827
0.178517	0.1	0.066181
0.180183	0.1	0.062868
0.181850	0.1	0.051969
0.183517	0.1	0.048080
0.185167	0.099	0.060647
0.186833	0.1	0.077169
0.188500	0.1	0.077909
0.190167	0.1	0.068137
0.191833	0.1	0.056447
0.193500	0.1	0.032403
0.195167	0.1	-0.006568
0.197167	0.12	-0.043885
0.198833	0.1	-0.062415
0.200500	0.1	-0.061109
0.202183	0.101	-0.046510
0.203833	0.099	-0.020025
0.205500	0.1	0.014273
0.207167	0.1	0.050976
0.208833	0.1	0.080024
0.210500	0.1	0.091528
0.212167	0.1	0.084983
0.213833	0.1	0.073186
0.215500	0.1	0.068832
0.217183	0.101	0.066024
0.218833	0.099	0.054828
0.220500	0.1	0.026934
0.222167	0.1	-0.013701
0.223833	0.1	-0.041249
0.225500	0.1	-0.044120
0.227167	0.1	-0.033085
0.228833	0.1	-0.025477
0.230833	0.12	-0.035219
0.232500	0.1	-0.055571
0.234167	0.1	-0.074668
0.235833	0.1	-0.088268
0.237500	0.1	-0.088186
0.239167	0.1	-0.074865
0.240833	0.1	-0.050620
0.242500	0.1	-0.017446
0.244167	0.1	0.016273
0.245833	0.1	0.045902
0.247500	0.1	0.062945
0.249167	0.1	0.064899
0.250833	0.1	0.059716
0.252500	0.1	0.054027
0.254167	0.1	0.052688
0.255833	0.1	0.056195
0.257500	0.1	0.062266
0.259167	0.1	0.072478
0.260833	0.1	0.082113
0.262500	0.1	0.086528
0.264500	0.12	0.083464
0.266167	0.1	0.076708
0.267833	0.1	0.069186
0.269500	0.1	0.059674
0.271167	0.1	0.057710
0.272833	0.1	0.069898
0.274500	0.1	0.090614
0.276167	0.1	0.101253
0.277833	0.1	0.083410
0.279500	0.1	0.044162
0.281167	0.1	0.002114
0.282833	0.1	-0.026203
0.284533	0.102	-0.028446
0.286200	0.1	-0.013100
0.287867	0.1	0.006323
0.289533	0.1	0.019477
0.291217	0.101	0.026367
0.292867	0.099	0.035123
0.294533	0.1	0.046174
0.296200	0.1	0.057931
0.298250	0.123	0.068823
0.299917	0.1	0.069220
0.301583	0.1	0.053090
0.303250	0.1	0.027672
0.304917	0.1	0.006030
0.306583	0.1	0.000299
0.308250	0.1	0.009064
0.309917	0.1	0.015745
0.311583	0.1	0.010118
0.313267	0.101	-0.004625
0.314917	0.099	-0.039705
0.316583	0.1	-0.083796
0.318250	0.1	-0.098977
0.319917	0.1	-0.070028
0.321583	0.1	-0.016093
0.323250	0.1	0.032255
0.324917	0.1	0.050151
0.326583	0.1	0.030466
0.328250	0.1	-0.000047
0.330267	0.121	-0.017023
0.331917	0.099	-0.023670
0.333583	0.1	-0.031772
0.335250	0.1	-0.041245
0.336917	0.1	-0.049513
0.338583	0.1	-0.051520
0.340250	0.1	-0.038843
0.341917	0.1	-0.012867
0.343583	0.1	0.015143
0.345250	0.1	0.033239
0.346917	0.1	0.034720
0.348583	0.1	0.021929
0.350250	0.1	0.008072
0.351917	0.1	0.006145
0.353583	0.1	0.020292
0.355250	0.1	0.033029
0.356917	0.1	0.016620
0.358583	0.1	-0.017003
0.360250	0.1	-0.042836
0.361917	0.1	-0.055030
0.363917	0.12	-0.060120
0.365583	0.1	-0.055468
0.367250	0.1	-0.035858
0.368950	0.102	-0.009410
0.370617	0.1	0.008664
0.372283	0.1	0.012981
0.373950	0.1	0.008513
0.375617	0.1	0.002652
0.377283	0.1	-0.005592
0.378950	0.1	-0.008214
0.380617	0.1	0.003657
0.382283	0.1	0.013553
0.383950	0.1	0.007653
0.385617	0.1	-0.009280
0.387283	0.1	-0.024390
0.388950	0.1	-0.024549
0.390617	0.1	-0.011523
0.392283	0.1	0.004976
0.393950	0.1	0.019423
0.395617	0.1	0.029564
0.397650	0.122	0.035221
0.399283	0.098	0.037820
0.400983	0.102	0.030810
0.402617	0.098	0.007218
0.404283	0.1	-0.026880
0.405950	0.1	-0.062292
0.407617	0.1	-0.081833
0.409283	0.1	-0.078235
0.410950	0.1	-0.055227
0.412617	0.1	-0.025719
0.414283	0.1	-0.003829
0.415950	0.1	0.011305
0.417600	0.099	0.023928
0.419267	0.1	0.025796
0.420933	0.1	0.010966
0.422600	0.1	-0.007295
0.424267	0.1	-0.013584
0.425933	0.1	-0.000253
0.427600	0.1	0.023811
0.429267	0.1	0.037035
0.431267	0.12	0.029354
0.432933	0.1	0.006951
0.434583	0.099	-0.011206
0.436250	0.1	-0.012946
0.437917	0.1	-0.001073
0.439583	0.1	0.018514
0.441267	0.101	0.044295
0.442917	0.099	0.069428
0.444583	0.1	0.085220
0.446250	0.1	0.089436
0.447917	0.1	0.081298
0.449583	0.1	0.066388
0.451250	0.1	0.057941
0.452917	0.1	0.059546
