Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.033205
0.001667	0.1	0.012100
0.003333	0.1	-0.016954
0.005000	0.1	-0.040396
0.006667	0.1	-0.047881
0.008333	0.1	-0.038699
0.010000	0.1	-0.026762
0.011667	0.1	-0.016895
0.013333	0.1	-0.007567
0.015000	0.1	0.002704
0.016667	0.1	0.015438
0.018333	0.1	0.030791
0.020000	0.1	0.036234
0.021667	0.1	0.024530
0.023333	0.1	-0.000606
0.025000	0.1	-0.034788
0.026667	0.1	-0.062522
0.028333	0.1	-0.067263
0.030000	0.1	-0.051683
0.031667	0.1	-0.028714
0.033700	0.122	-0.012179
0.035333	0.098	-0.004375
0.037000	0.1	-0.000699
0.038667	0.1	0.001132
0.040333	0.1	-0.002177
0.042000	0.1	-0.006824
0.043667	0.1	-0.002765
0.045333	0.1	0.011796
0.047000	0.1	0.022018
0.048667	0.1	0.016056
0.050333	0.1	-0.001162
0.052000	0.1	-0.022475
0.053667	0.1	-0.033653
0.055333	0.1	-0.026023
0.057000	0.1	-0.012777
0.058667	0.1	-0.004694
0.060333	0.1	-0.003612
0.062000	0.1	-0.006013
0.063667	0.1	-0.007850
0.065667	0.12	-0.004647
0.067333	0.1	0.008567
0.069000	0.1	0.027977
0.070667	0.1	0.039543
0.072333	0.1	0.039190
0.074000	0.1	0.023797
0.075667	0.1	-0.012070
0.077333	0.1	-0.047966
0.079000	0.1	-0.063428
0.080667	0.1	-0.057464
0.082333	0.1	-0.037650
0.084033	0.102	-0.013526
0.085717	0.101	0.001577
0.087367	0.099	0.002355
0.089050	0.101	0.001801
0.090700	0.099	0.011162
0.092383	0.101	0.029632
0.094033	0.099	0.045382
0.095717	0.101	0.046519
0.097367	0.099	0.040184
0.099367	0.12	0.035449
0.101033	0.1	0.033308
0.102700	0.1	0.035088
0.104367	0.1	0.042178
0.106033	0.1	0.040651
0.107717	0.101	0.022635
0.109367	0.099	0.001590
0.111033	0.1	-0.010624
0.112700	0.1	-0.012598
0.114367	0.1	-0.008475
0.116033	0.1	-0.004247
0.117700	0.1	-0.005793
0.119367	0.1	-0.012140
0.121033	0.1	-0.022619
0.122700	0.1	-0.035381
0.124383	0.101	-0.046151
0.126033	0.099	-0.049161
0.127700	0.1	-0.044540
0.129367	0.1	-0.049276
0.131033	0.1	-0.065241
0.133067	0.122	-0.073245
0.134683	0.097	-0.062559
0.136350	0.1	-0.036710
0.138017	0.1	-0.001236
0.139683	0.1	0.033401
0.141350	0.1	0.050406
0.143017	0.1	0.037929
0.144683	0.1	0.013873
0.146350	0.1	0.001999
0.148017	0.1	0.001658
0.149683	0.1	0.000203
0.151333	0.099	-0.009332
0.153000	0.1	-0.023657
0.154667	0.1	-0.036348
0.156333	0.1	-0.051062
0.158000	0.1	-0.058555
0.159667	0.1	-0.049775
0.161333	0.1	-0.031867
0.163000	0.1	-0.015582
0.164667	0.1	-0.006061
0.166667	0.12	0.002125
0.168333	0.1	0.012707
0.170000	0.1	0.018022
0.171683	0.101	0.007022
0.173333	0.099	-0.011990
0.175000	0.1	-0.028656
0.176667	0.1	-0.040217
0.178333	0.1	-0.051672
0.180000	0.1	-0.062217
0.181667	0.1	-0.079521
0.183333	0.1	-0.105842
0.185000	0.1	-0.123400
0.186667	0.1	-0.117211
0.188333	0.1	-0.090427
0.190000	0.1	-0.053719
0.191667	0.1	-0.024676
0.193333	0.1	-0.010200
0.195000	0.1	-0.006442
0.196667	0.1	-0.005708
0.198333	0.1	-0.000124
0.200333	0.12	0.007139
0.202033	0.102	-0.005873
0.203700	0.1	-0.033125
0.205350	0.099	-0.050869
0.207000	0.099	-0.054683
0.208667	0.1	-0.046799
0.210333	0.1	-0.032992
0.212000	0.1	-0.015762
0.213667	0.1	0.004307
0.215333	0.1	0.023430
0.217000	0.1	0.040398
0.218667	0.1	0.048902
0.220333	0.1	0.042753
0.222000	0.1	0.023330
0.223667	0.1	0.002020
0.225333	0.1	-0.006304
0.227000	0.1	0.003277
0.228667	0.1	0.018861
0.230333	0.1	0.025580
0.232000	0.1	0.018407
0.234100	0.126	-0.002925
0.235750	0.099	-0.027709
0.237433	0.101	-0.037953
0.239083	0.099	-0.027466
0.240750	0.1	-0.005695
0.242417	0.1	0.000598
0.244083	0.1	-0.022020
0.245767	0.101	-0.053198
0.247417	0.099	-0.075811
0.249083	0.1	-0.072479
0.250750	0.1	-0.045438
0.252417	0.1	-0.018226
0.254083	0.1	-0.007941
0.255750	0.1	-0.011789
0.257417	0.1	-0.017116
0.259083	0.1	-0.016634
0.260750	0.1	-0.011579
0.262417	0.1	-0.000434
0.264083	0.1	0.018131
0.266083	0.12	0.040021
0.267750	0.1	0.049524
0.269417	0.1	0.026212
0.271117	0.102	-0.016686
0.272783	0.1	-0.043619
0.274433	0.099	-0.035503
0.276083	0.099	-0.007209
0.277750	0.1	0.012950
0.279417	0.1	0.017812
0.281083	0.1	0.012550
0.282750	0.1	0.001675
0.284417	0.1	-0.009549
0.286083	0.1	-0.022433
0.287750	0.1	-0.032281
0.289417	0.1	-0.027012
0.291100	0.101	-0.012552
0.292750	0.099	-0.000068
0.294417	0.1	0.011182
0.296083	0.1	0.025616
0.297750	0.1	0.037563
0.299750	0.12	0.031990
0.301433	0.101	-0.001294
0.303083	0.099	-0.050731
0.304750	0.1	-0.087235
0.306417	0.1	-0.103925
0.308083	0.1	-0.101624
0.309750	0.1	-0.080703
0.311417	0.1	-0.057605
0.313083	0.1	-0.054114
0.314750	0.1	-0.052442
0.316417	0.1	-0.042618
0.318083	0.1	-0.039033
0.319750	0.1	-0.038782
0.321417	0.1	-0.035296
0.323083	0.1	-0.030635
0.324750	0.1	-0.031197
0.326417	0.1	-0.033741
0.328083	0.1	-0.030789
0.329750	0.1	-0.027771
0.331417	0.1	-0.041988
0.333417	0.12	-0.084035
0.335133	0.103	-0.129391
0.336750	0.097	-0.141954
0.338467	0.103	-0.109326
0.340083	0.097	-0.061076
0.341750	0.1	-0.031667
0.343417	0.1	-0.018109
0.345083	0.1	-0.005977
0.346750	0.1	0.005967
0.348417	0.1	0.007618
0.350083	0.1	-0.008007
0.351783	0.102	-0.033307
0.353450	0.1	-0.051448
0.355117	0.1	-0.047625
0.356783	0.1	-0.020704
0.358450	0.1	0.001563
0.360117	0.1	0.005089
0.361783	0.1	0.004059
0.363450	0.1	0.008267
0.365117	0.1	0.012048
0.367117	0.12	0.010575
0.368833	0.103	0.005558
0.370500	0.1	-0.002647
0.372183	0.101	-0.011542
0.373833	0.099	-0.015086
0.375517	0.101	-0.018268
0.377183	0.1	-0.032402
0.378850	0.1	-0.048269
0.380500	0.099	-0.051931
0.382183	0.101	-0.052794
0.383833	0.099	-0.067163
0.385517	0.101	-0.077770
0.387167	0.099	-0.069885
0.388850	0.101	-0.047053
0.390500	0.099	-0.018340
0.392183	0.101	0.003758
0.393833	0.099	0.008216
0.395517	0.101	-0.004672
0.397167	0.099	-0.017441
0.399267	0.126	-0.015860
0.400950	0.101	-0.004543
0.402600	0.099	0.009562
0.404267	0.1	0.019697
0.405933	0.1	0.014119
0.407600	0.1	-0.004466
0.409283	0.101	-0.022966
0.410933	0.099	-0.033296
0.412600	0.1	-0.034902
0.414267	0.1	-0.027677
0.415933	0.1	-0.011992
0.417583	0.099	0.000517
0.419250	0.1	0.001820
0.420917	0.1	-0.001982
0.422583	0.1	-0.006557
0.424250	0.1	-0.008522
0.425917	0.1	-0.003749
0.427583	0.1	0.011820
0.429250	0.1	0.026890
0.430917	0.1	0.029970
0.432933	0.121	0.021906
0.434583	0.099	-0.001945
0.436250	0.1	-0.036207
0.437933	0.101	-0.059299
0.439617	0.101	-0.059860
0.441250	0.098	-0.041419
0.442917	0.1	-0.016905
0.444583	0.1	0.005722
0.446250	0.1	0.027376
0.447917	0.1	0.047216
0.449583	0.1	0.062959
0.451250	0.1	0.073198
0.452917	0.1	0.075110
0.454583	0.1	0.065423
0.456250	0.1	0.043713
0.457917	0.1	0.017728
0.459583	0.1	-0.000618
0.461250	0.1	-0.011455
0.462917	0.1	-0.018872
0.464583	0.1	-0.019321
0.466583	0.12	-0.015418
0.468250	0.1	-0.018240
0.469917	0.1	-0.024463
0.471583	0.1	-0.029980
0.473333	0.105	-0.039496
0.474917	0.095	-0.048349
0.476583	0.1	-0.050223
0.478250	0.1	-0.051009
0.479917	0.1	-0.068759
0.481600	0.101	-0.091812
0.483250	0.099	-0.093531
0.484917	0.1	-0.068862
0.486583	0.1	-0.031328
0.488250	0.1	-0.000154
0.489917	0.1	0.014358
0.491583	0.1	0.007203
0.493250	0.1	-0.015855
0.494917	0.1	-0.034912
0.496583	0.1	-0.037093
0.498250	0.1	-0.025711
0.500267	0.121	-0.011938
0.501983	0.103	-0.001122
0.503583	0.096	0.003739
0.505250	0.1	0.005705
0.506917	0.1	0.011036
0.508583	0.1	0.016710
0.510250	0.1	0.017257
0.511917	0.1	0.008687
0.513583	0.1	-0.003402
0.515250	0.1	-0.018221
0.516917	0.1	-0.043056
0.518583	0.1	-0.065855
0.520250	0.1	-0.070019
0.521917	0.1	-0.054630
0.523583	0.1	-0.028577
0.525250	0.1	-0.008240
0.526917	0.1	-0.002387
0.528583	0.1	-0.005981
0.530250	0.1	-0.012329
0.531917	0.1	-0.016117
0.533967	0.123	-0.021454
0.535617	0.099	-0.027015
0.537317	0.102	-0.023797
0.538950	0.098	-0.007831
0.540617	0.1	0.017486
0.542283	0.1	0.039888
0.543950	0.1	0.035394
0.545617	0.1	-0.000351
0.547283	0.1	-0.032636
0.548950	0.1	-0.036368
0.550617	0.1	-0.017813
0.552283	0.1	0.000738
0.553950	0.1	0.005821
0.555617	0.1	0.000410
0.557283	0.1	-0.005528
0.558950	0.1	-0.006679
0.560617	0.1	-0.006456
0.562283	0.1	-0.006174
0.563950	0.1	-0.000718
0.565617	0.1	0.003252
0.567617	0.12	0.002772
0.569300	0.101	0.002777
0.570950	0.099	0.000014
0.572617	0.1	-0.012821
0.574283	0.1	-0.049227
0.575950	0.1	-0.096711
0.577617	0.1	-0.123370
0.579283	0.1	-0.115914
0.580950	0.1	-0.088536
0.582617	0.1	-0.063312
0.584267	0.099	-0.045790
0.585933	0.1	-0.030533
0.587600	0.1	-0.014954
0.589267	0.1	0.001286
0.590933	0.1	0.011205
0.592600	0.1	0.007349
0.594267	0.1	-0.009774
0.595933	0.1	-0.027616
0.597600	0.1	-0.034729
0.599617	0.121	-0.035925
0.601250	0.098	-0.049776
0.602917	0.1	-0.073344
0.604617	0.102	-0.081774
0.606250	0.098	-0.065599
0.607917	0.1	-0.036311
0.609583	0.1	-0.015226
0.611250	0.1	-0.001336
0.612917	0.1	0.014589
0.614583	0.1	0.030567
0.616250	0.1	0.045561
0.617917	0.1	0.057778
0.619583	0.1	0.062639
0.621267	0.101	0.063806
0.622917	0.099	0.086282
0.624583	0.1	0.168200
0.626250	0.1	0.346654
0.627917	0.1	0.656589
0.629600	0.101	1.165040
0.631250	0.099	1.964385
0.633250	0.12	3.136256
0.634917	0.1	4.718079
0.636583	0.1	6.726585
0.638250	0.1	9.130092
0.639917	0.1	11.834470
0.641583	0.1	14.729750
0.643250	0.1	17.803650
0.644917	0.1	21.066110
0.646583	0.1	24.416080
0.648250	0.1	27.817280
0.649917	0.1	31.487630
0.651583	0.1	35.460860
0.653250	0.1	39.425770
0.654917	0.1	43.238830
0.656583	0.1	46.982840
0.658250	0.1	50.732800
0.659917	0.1	54.232800
0.661583	0.1	57.178730
0.663250	0.1	59.979700
0.664917	0.1	62.952050
0.666950	0.122	65.725340
0.668600	0.099	67.313000
0.670250	0.099	67.663840
0.671933	0.101	68.271590
0.673583	0.099	69.665160
0.675267	0.101	71.217130
0.676917	0.099	72.516240
0.678600	0.101	73.673980
0.680250	0.099	74.351030
0.681933	0.101	74.376960
0.683583	0.099	74.225390
0.685267	0.101	73.757860
0.686917	0.099	73.117320
0.688583	0.1	73.022650
0.690250	0.1	73.542390
0.691917	0.1	74.310340
0.693583	0.1	74.779160
0.695250	0.1	74.672320
0.696917	0.1	73.639220
0.698600	0.101	72.108670
0.700600	0.12	71.153940
0.702250	0.099	71.247150
0.703917	0.1	71.905470
0.705583	0.1	72.366940
0.707250	0.1	72.470300
0.708917	0.1	72.361700
0.710583	0.1	72.328210
0.712250	0.1	72.457240
0.713917	0.1	72.477620
0.715583	0.1	72.192800
0.717250	0.1	71.480730
0.718917	0.1	70.138670
0.720583	0.1	68.607980
0.722250	0.1	67.951430
0.723917	0.1	68.176140
0.725583	0.1	68.428470
0.727250	0.1	68.458030
0.728917	0.1	68.540310
0.730583	0.1	68.690500
0.732250	0.1	68.602150
0.734250	0.12	68.680600
0.735917	0.1	69.447250
0.737583	0.1	70.667620
0.739250	0.1	72.159020
0.740917	0.1	73.898170
0.742583	0.1	75.917330
0.744250	0.1	77.764200
0.745917	0.1	79.499640
0.747583	0.1	81.513110
0.749250	0.1	83.742780
0.750950	0.102	85.923440
0.752617	0.1	87.742790
0.754283	0.1	89.300000
0.755950	0.1	90.417680
0.757617	0.1	91.064820
0.759283	0.1	91.860040
0.760950	0.1	92.551950
0.762617	0.1	92.702740
0.764283	0.1	92.341980
0.765950	0.1	91.755900
0.767983	0.122	91.130270
0.769617	0.098	91.023260
0.771317	0.102	91.324030
0.772950	0.098	91.554650
0.774617	0.1	91.489890
