Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.002664
0.001667	0.1	0.018768
0.003333	0.1	0.027664
0.005000	0.1	0.021783
0.006667	0.1	0.012722
0.008333	0.1	0.005370
0.010050	0.103	0.005334
0.011700	0.099	0.008899
0.013367	0.1	0.011634
0.015033	0.1	0.013496
0.016700	0.1	0.005833
0.018367	0.1	-0.012369
0.020033	0.1	-0.028692
0.021700	0.1	-0.037311
0.023367	0.1	-0.043026
0.025033	0.1	-0.048543
0.026700	0.1	-0.061293
0.028700	0.12	-0.084901
0.030367	0.1	-0.105155
0.032033	0.1	-0.111032
0.033700	0.1	-0.106927
0.035367	0.1	-0.097838
0.037050	0.101	-0.086006
0.038700	0.099	-0.074147
0.040367	0.1	-0.067518
0.042033	0.1	-0.068175
0.043700	0.1	-0.074680
0.045367	0.1	-0.079229
0.047033	0.1	-0.076318
0.048700	0.1	-0.067593
0.050367	0.1	-0.061348
0.052033	0.1	-0.063865
0.053717	0.101	-0.069239
0.055367	0.099	-0.077658
0.057033	0.1	-0.083943
0.058700	0.1	-0.085275
0.060367	0.1	-0.078811
0.062383	0.121	-0.066109
0.064050	0.1	-0.052305
0.065750	0.102	-0.042359
0.067367	0.097	-0.032172
0.069050	0.101	-0.026010
0.070700	0.099	-0.035095
0.072383	0.101	-0.044590
0.074033	0.099	-0.046985
0.075717	0.101	-0.044270
0.077350	0.098	-0.041331
0.079033	0.101	-0.042221
0.080683	0.099	-0.046735
0.082367	0.101	-0.051082
0.084017	0.099	-0.050956
0.085700	0.101	-0.045270
0.087350	0.099	-0.037294
0.089033	0.101	-0.026929
0.090683	0.099	-0.017984
0.092367	0.101	-0.018085
0.094000	0.098	-0.025118
0.096033	0.122	-0.037260
0.097700	0.1	-0.048239
0.099333	0.098	-0.054970
0.101000	0.1	-0.055833
0.102667	0.1	-0.055577
0.104333	0.1	-0.056314
0.106000	0.1	-0.053162
0.107667	0.1	-0.042568
0.109333	0.1	-0.026958
0.111000	0.1	-0.015408
0.112667	0.1	-0.007125
0.114333	0.1	-0.003052
0.116000	0.1	-0.013222
0.117667	0.1	-0.032341
0.119333	0.1	-0.049683
0.121000	0.1	-0.055027
0.122667	0.1	-0.048523
0.124350	0.101	-0.030798
0.126000	0.099	-0.009701
0.127667	0.1	-0.002496
0.129667	0.12	-0.007833
0.131333	0.1	-0.014157
0.133017	0.101	-0.020070
0.134700	0.101	-0.027000
0.136333	0.098	-0.028330
0.138000	0.1	-0.019044
0.139667	0.1	-0.004530
0.141333	0.1	-0.000268
0.143000	0.1	-0.012616
0.144667	0.1	-0.030180
0.146333	0.1	-0.038349
0.148000	0.1	-0.029381
0.149667	0.1	-0.011236
0.151333	0.1	-0.004335
0.153000	0.1	-0.008800
0.154667	0.1	-0.011243
0.156333	0.1	-0.016080
0.158000	0.1	-0.022333
0.159667	0.1	-0.021089
0.161333	0.1	-0.019229
0.163333	0.12	-0.019882
0.165000	0.1	-0.018119
0.166667	0.1	-0.015489
0.168333	0.1	-0.016574
0.170000	0.1	-0.014151
0.171667	0.1	-0.010723
0.173333	0.1	-0.012678
0.175000	0.1	-0.015327
0.176667	0.1	-0.018169
0.178333	0.1	-0.018781
0.180000	0.1	-0.018729
0.181667	0.1	-0.020125
0.183333	0.1	-0.021673
0.185000	0.1	-0.022546
0.186667	0.1	-0.025493
0.188333	0.1	-0.034252
0.190000	0.1	-0.045696
0.191667	0.1	-0.048899
0.193367	0.102	-0.045741
0.195033	0.1	-0.050878
0.197117	0.125	-0.055993
0.198750	0.098	-0.051247
0.200417	0.1	-0.045008
0.202083	0.1	-0.053375
0.203750	0.1	-0.065037
0.205417	0.1	-0.065259
0.207083	0.1	-0.060882
0.208750	0.1	-0.063745
0.210417	0.1	-0.079122
0.212083	0.1	-0.088977
0.213750	0.1	-0.078212
0.215417	0.1	-0.052157
0.217083	0.1	-0.028353
0.218750	0.1	-0.017866
0.220417	0.1	-0.021907
0.222083	0.1	-0.025822
0.223750	0.1	-0.026823
0.225417	0.1	-0.029165
0.227083	0.1	-0.034163
0.229200	0.127	-0.036687
0.230867	0.1	-0.031372
0.232533	0.1	-0.017976
0.234233	0.102	-0.005155
0.235867	0.098	-0.001491
0.237533	0.1	-0.002894
0.239200	0.1	-0.004114
0.240867	0.1	-0.000198
0.242533	0.1	-0.002868
0.244183	0.099	-0.015448
0.245850	0.1	-0.019933
0.247517	0.1	-0.007602
0.249183	0.1	0.003739
0.250850	0.1	-0.000014
0.252517	0.1	-0.012597
0.254183	0.1	-0.020750
0.255850	0.1	-0.021512
0.257517	0.1	-0.024472
0.259183	0.1	-0.033992
0.260833	0.099	-0.042734
0.262833	0.12	-0.041092
0.264500	0.1	-0.032860
0.266217	0.103	-0.032051
0.267833	0.097	-0.036631
0.269500	0.1	-0.048333
0.271183	0.101	-0.056582
0.272833	0.099	-0.043847
0.274500	0.1	-0.014299
0.276167	0.1	0.017580
0.277833	0.1	0.035543
0.279550	0.103	0.031235
0.281167	0.097	0.017945
0.282833	0.1	0.011753
0.284500	0.1	0.003721
0.286167	0.1	-0.014012
0.287833	0.1	-0.024374
0.289500	0.1	-0.013155
0.291167	0.1	0.010649
0.292833	0.1	0.026370
0.294500	0.1	0.029872
0.296500	0.12	0.030691
0.298167	0.1	0.035036
0.299833	0.1	0.042717
0.301500	0.1	0.041609
0.303167	0.1	0.024839
0.304833	0.1	0.005640
0.306500	0.1	-0.012338
0.308167	0.1	-0.029244
0.309833	0.1	-0.040586
0.311500	0.1	-0.041758
0.313167	0.1	-0.038688
0.314833	0.1	-0.041760
0.316500	0.1	-0.047435
0.318167	0.1	-0.048987
0.319833	0.1	-0.039489
0.321500	0.1	-0.016741
0.323167	0.1	0.013119
0.324833	0.1	0.035758
0.326500	0.1	0.048665
0.328167	0.1	0.056977
0.330167	0.12	0.062229
0.331833	0.1	0.062224
0.333500	0.1	0.055047
0.335167	0.1	0.042419
0.336833	0.1	0.024139
0.338500	0.1	0.005485
0.340167	0.1	-0.004988
0.341833	0.1	-0.010341
0.343500	0.1	-0.013475
0.345167	0.1	-0.012241
0.346833	0.1	-0.005358
0.348500	0.1	-0.001860
0.350167	0.1	-0.011323
0.351833	0.1	-0.021074
0.353500	0.1	-0.025683
0.355167	0.1	-0.028691
0.356833	0.1	-0.029773
0.358500	0.1	-0.029822
0.360167	0.1	-0.025479
0.362233	0.124	-0.024537
0.363833	0.096	-0.032287
0.365500	0.1	-0.037690
0.367167	0.1	-0.038071
0.368833	0.1	-0.031903
0.370500	0.1	-0.022033
0.372167	0.1	-0.016060
0.373833	0.1	-0.016900
0.375500	0.1	-0.020028
0.377200	0.102	-0.020040
0.378867	0.1	-0.016128
0.380533	0.1	-0.008164
0.382200	0.1	-0.001108
0.383867	0.1	-0.006663
0.385533	0.1	-0.017266
0.387200	0.1	-0.020912
0.388867	0.1	-0.016405
0.390533	0.1	-0.009264
0.392233	0.102	-0.010885
0.393867	0.098	-0.027941
0.395867	0.12	-0.043269
0.397533	0.1	-0.037083
0.399233	0.102	-0.011304
0.400867	0.098	0.016190
0.402533	0.1	0.031799
0.404200	0.1	0.037330
0.405867	0.1	0.034785
0.407533	0.1	0.027145
0.409200	0.1	0.019622
0.410867	0.1	0.015381
0.412533	0.1	0.013000
0.414200	0.1	0.011905
0.415867	0.1	0.010929
0.417533	0.1	0.004140
0.419200	0.1	-0.010509
0.420867	0.1	-0.028943
0.422533	0.1	-0.039005
0.424200	0.1	-0.033558
0.425867	0.1	-0.021734
0.427517	0.099	-0.014552
0.429517	0.12	-0.012591
0.431183	0.1	-0.009670
0.432900	0.103	-0.006702
0.434517	0.097	-0.013558
0.436183	0.1	-0.025227
0.437850	0.1	-0.023577
0.439517	0.1	-0.009428
0.441183	0.1	0.008316
0.442833	0.099	0.020775
0.444500	0.1	0.022871
0.446167	0.1	0.019110
0.447833	0.1	0.003258
0.449500	0.1	-0.018350
0.451167	0.1	-0.033680
0.452833	0.1	-0.039098
0.454500	0.1	-0.033854
0.456167	0.1	-0.022670
0.457833	0.1	-0.007033
0.459500	0.1	0.008840
0.461167	0.1	0.010999
0.463183	0.121	-0.006768
0.464833	0.099	-0.034337
0.466500	0.1	-0.054281
0.468167	0.1	-0.062775
0.469833	0.1	-0.065105
0.471500	0.1	-0.065340
0.473167	0.1	-0.061447
0.474833	0.1	-0.049803
0.476500	0.1	-0.034145
0.478167	0.1	-0.022996
0.479833	0.1	-0.021338
0.481500	0.1	-0.023535
0.483167	0.1	-0.029435
0.484833	0.1	-0.030017
0.486500	0.1	-0.025947
0.488167	0.1	-0.030609
0.489833	0.1	-0.031782
0.491500	0.1	-0.016790
0.493167	0.1	0.005859
0.494833	0.1	0.016661
0.496833	0.12	0.013136
0.498500	0.1	0.002658
0.500167	0.1	-0.008190
0.501833	0.1	-0.018094
0.503500	0.1	-0.023581
0.505167	0.1	-0.022877
0.506833	0.1	-0.020083
0.508500	0.1	-0.016265
0.510167	0.1	-0.011031
0.511833	0.1	-0.003445
0.513500	0.1	0.001319
0.515167	0.1	0.002201
0.516833	0.1	0.002758
0.518500	0.1	0.003621
0.520167	0.1	-0.001476
0.521833	0.1	-0.011413
0.523500	0.1	-0.015348
0.525167	0.1	-0.014041
