URL	chrom://farber-hplc/test001/Josh/Standards/1.8.24 Algorithm Rerun w different gradient.seq/955.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	1.8.24 Algorithm Rerun w different gradient
Name	0.5:0.5:0.5
Number	8
Position	RA8
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/8/2024 7:40:48 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003350
Time Max. (min)	65.003350
Data Points	19501
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-125,060.000000
Signal Max.	119,120.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /510 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003350	n.a.	0.000000
0.006683	0.2	0.000000
0.010017	0.2	0.000000
0.013350	0.2	0.000000
0.016683	0.2	0.000000
0.020017	0.2	-436.000000
0.023350	0.2	-1,601.000000
0.026683	0.2	-3,080.000000
0.030017	0.2	-4,492.000000
0.033350	0.2	-5,572.000000
0.036683	0.2	-6,181.000000
0.040017	0.2	-6,367.000000
0.043350	0.2	-6,230.000000
0.046683	0.2	-5,942.000000
0.050017	0.2	-5,556.000000
0.053350	0.2	-5,120.000000
0.056683	0.2	-4,724.000000
0.060017	0.2	-4,439.000000
0.063350	0.2	-4,384.000000
0.066683	0.2	-4,505.000000
0.070017	0.2	-4,678.000000
0.073350	0.2	-4,846.000000
0.076683	0.2	-4,969.000000
0.080017	0.2	-5,061.000000
0.083350	0.2	-5,162.000000
0.086683	0.2	-5,245.000000
0.090017	0.2	-5,296.000000
0.093350	0.2	-5,400.000000
0.096683	0.2	-5,684.000000
0.100017	0.2	-6,264.000000
0.103350	0.2	-7,090.000000
0.106683	0.2	-8,015.000000
0.110017	0.2	-9,057.000000
0.113350	0.2	-10,246.000000
0.116683	0.2	-11,419.000000
0.120017	0.2	-12,547.000000
0.123350	0.2	-13,626.000000
0.126683	0.2	-14,570.000000
0.130017	0.2	-15,293.000000
0.133350	0.2	-15,708.000000
0.136683	0.2	-15,848.000000
0.140017	0.2	-15,812.000000
0.143350	0.2	-15,667.000000
0.146683	0.2	-15,542.000000
0.150017	0.2	-15,449.000000
0.153350	0.2	-15,407.000000
0.156683	0.2	-15,458.000000
0.160017	0.2	-15,586.000000
0.163350	0.2	-15,748.000000
0.166683	0.2	-15,953.000000
0.170017	0.2	-16,238.000000
0.173350	0.2	-16,454.000000
0.176683	0.2	-16,415.000000
0.180017	0.2	-16,013.000000
0.183350	0.2	-15,289.000000
0.186683	0.2	-14,203.000000
0.190017	0.2	-12,879.000000
0.193350	0.2	-11,564.000000
0.196683	0.2	-10,471.000000
0.200017	0.2	-9,712.000000
0.203350	0.2	-9,171.000000
0.206683	0.2	-8,750.000000
0.210017	0.2	-8,454.000000
0.213350	0.2	-8,303.000000
0.216683	0.2	-8,293.000000
0.220017	0.2	-8,375.000000
0.223350	0.2	-8,505.000000
0.226683	0.2	-8,621.000000
0.230017	0.2	-8,669.000000
0.233350	0.2	-8,635.000000
0.236683	0.2	-8,487.000000
0.240017	0.2	-8,211.000000
0.243350	0.2	-7,866.000000
0.246683	0.2	-7,541.000000
0.250017	0.2	-7,344.000000
0.253350	0.2	-7,452.000000
0.256683	0.2	-8,037.000000
0.260017	0.2	-9,033.000000
0.263350	0.2	-10,172.000000
0.266683	0.2	-11,281.000000
0.270017	0.2	-12,325.000000
0.273350	0.2	-13,350.000000
0.276683	0.2	-14,376.000000
0.280017	0.2	-15,365.000000
0.283350	0.2	-16,290.000000
0.286683	0.2	-16,986.000000
0.290017	0.2	-17,361.000000
0.293350	0.2	-17,448.000000
0.296683	0.2	-17,358.000000
0.300017	0.2	-17,188.000000
0.303350	0.2	-16,902.000000
0.306683	0.2	-16,445.000000
0.310017	0.2	-15,776.000000
0.313350	0.2	-14,867.000000
0.316683	0.2	-13,658.000000
0.320017	0.2	-12,327.000000
0.323350	0.2	-11,151.000000
0.326683	0.2	-10,122.000000
0.330017	0.2	-9,286.000000
0.333350	0.2	-8,722.000000
0.336683	0.2	-8,494.000000
0.340017	0.2	-8,582.000000
0.343350	0.2	-8,832.000000
0.346683	0.2	-9,167.000000
0.350017	0.2	-9,542.000000
0.353350	0.2	-9,962.000000
0.356683	0.2	-10,391.000000
0.360017	0.2	-10,842.000000
0.363350	0.2	-11,365.000000
0.366683	0.2	-12,036.000000
0.370017	0.2	-12,780.000000
0.373350	0.2	-13,445.000000
0.376683	0.2	-14,009.000000
0.380017	0.2	-14,499.000000
0.383350	0.2	-14,943.000000
0.386683	0.2	-15,393.000000
0.390017	0.2	-15,808.000000
0.393350	0.2	-16,176.000000
0.396683	0.2	-16,517.000000
0.400017	0.2	-16,899.000000
0.403350	0.2	-17,293.000000
0.406683	0.2	-17,539.000000
0.410017	0.2	-17,551.000000
0.413350	0.2	-17,244.000000
0.416683	0.2	-16,490.000000
0.420017	0.2	-15,182.000000
0.423350	0.2	-13,411.000000
0.426683	0.2	-11,413.000000
0.430017	0.2	-9,390.000000
0.433350	0.2	-7,414.000000
0.436683	0.2	-5,580.000000
0.440017	0.2	-4,000.000000
0.443350	0.2	-2,830.000000
0.446683	0.2	-2,191.000000
0.450017	0.2	-2,075.000000
0.453350	0.2	-2,385.000000
0.456683	0.2	-3,042.000000
0.460017	0.2	-3,925.000000
0.463350	0.2	-4,953.000000
0.466683	0.2	-6,024.000000
0.470017	0.2	-7,055.000000
0.473350	0.2	-8,012.000000
0.476683	0.2	-8,901.000000
0.480017	0.2	-9,744.000000
