URL	chrom://farber-hplc/test001/Josh/Standards/1.8.24 Algorithm Rerun w different gradient.seq/656.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.8.24 Algorithm Rerun w different gradient
Name	0.5:0.5:1
Number	11
Position	RB3
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/8/2024 10:59:30 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000950
Data Points	38603
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.433507
Signal Max.	56.266660
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.128
Average Step (s)	0.10103251

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.002733
0.001650	0.099	0.001859
0.003317	0.1	-0.009210
0.004983	0.1	-0.029090
0.006650	0.1	-0.042573
0.008317	0.1	-0.036882
0.009983	0.1	-0.025543
0.011650	0.1	-0.016094
0.013317	0.1	-0.010110
0.014983	0.1	-0.017164
0.016650	0.1	-0.035399
0.018333	0.101	-0.056458
0.019967	0.098	-0.071323
0.021633	0.1	-0.071489
0.023300	0.1	-0.065538
0.024967	0.1	-0.060388
0.026633	0.1	-0.049094
0.028300	0.1	-0.035122
0.029967	0.1	-0.029936
0.031967	0.12	-0.033388
0.033633	0.1	-0.043689
0.035300	0.1	-0.062107
0.036950	0.099	-0.076901
0.038617	0.1	-0.084750
0.040283	0.1	-0.087255
0.041950	0.1	-0.081940
0.043617	0.1	-0.071090
0.045283	0.1	-0.054939
0.046950	0.1	-0.043790
0.048617	0.1	-0.046253
0.050283	0.1	-0.053000
0.051950	0.1	-0.053315
0.053617	0.1	-0.046424
0.055283	0.1	-0.041495
0.056950	0.1	-0.036438
0.058617	0.1	-0.031167
