URL	chrom://farber-hplc/test001/Josh/Standards/1.8.24 Algorithm Rerun w different gradient.seq/656.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	1.8.24 Algorithm Rerun w different gradient
Name	0.5:0.5:1
Number	11
Position	RB3
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/8/2024 10:59:30 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003383
Time Max. (min)	65.003383
Data Points	19501
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-107,219.000000
Signal Max.	124,924.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /510 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003383	n.a.	0.000000
0.006717	0.2	0.000000
0.010050	0.2	0.000000
0.013383	0.2	0.000000
0.016717	0.2	0.000000
0.020050	0.2	-179.000000
0.023383	0.2	-570.000000
0.026717	0.2	-914.000000
0.030050	0.2	-1,116.000000
0.033383	0.2	-1,207.000000
0.036717	0.2	-1,295.000000
0.040050	0.2	-1,570.000000
0.043383	0.2	-2,164.000000
0.046717	0.2	-2,943.000000
0.050050	0.2	-3,682.000000
0.053383	0.2	-4,193.000000
0.056717	0.2	-4,369.000000
0.060050	0.2	-4,287.000000
0.063383	0.2	-4,065.000000
0.066717	0.2	-3,732.000000
0.070050	0.2	-3,317.000000
0.073383	0.2	-2,775.000000
0.076717	0.2	-2,040.000000
0.080050	0.2	-1,107.000000
0.083383	0.2	-195.000000
0.086717	0.2	532.000000
0.090050	0.2	887.000000
0.093383	0.2	823.000000
0.096717	0.2	457.000000
0.100050	0.2	64.000000
0.103383	0.2	-129.000000
0.106717	0.2	-52.000000
0.110050	0.2	158.000000
0.113383	0.2	491.000000
0.116717	0.2	928.000000
0.120050	0.2	1,512.000000
