URL	chrom://farber-hplc/test001/Josh/Standards/1.8.24 Algorithm Rerun w different gradient.seq/879.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.8.24 Algorithm Rerun w different gradient
Name	0.5:0:0
Number	2
Position	RA2
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/8/2024 1:03:25 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000667
Data Points	38601
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.456629
Signal Max.	18.565380
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.128
Average Step (s)	0.10103731

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.030442
0.001667	0.1	0.017216
0.003333	0.1	0.000496
0.005017	0.101	-0.017336
0.006667	0.099	-0.033707
0.008333	0.1	-0.046925
0.010000	0.1	-0.046320
0.011667	0.1	-0.032777
0.013333	0.1	-0.013165
0.015000	0.1	-0.001932
0.016667	0.1	0.001369
0.018333	0.1	-0.000388
0.020000	0.1	-0.003798
0.021667	0.1	-0.000825
0.023333	0.1	0.005213
0.025000	0.1	0.011048
0.026667	0.1	0.007139
0.028333	0.1	-0.007729
0.030000	0.1	-0.024359
0.032067	0.124	-0.040392
0.033667	0.096	-0.052778
0.035333	0.1	-0.064462
0.037000	0.1	-0.070797
0.038717	0.103	-0.073652
0.040333	0.097	-0.079439
0.042033	0.102	-0.083499
0.043700	0.1	-0.079167
0.045367	0.1	-0.068526
0.047067	0.102	-0.057401
0.048700	0.098	-0.056986
0.050367	0.1	-0.065885
0.052033	0.1	-0.068738
0.053700	0.1	-0.062929
0.055367	0.1	-0.053356
0.057033	0.1	-0.045968
0.058700	0.1	-0.044538
0.060367	0.1	-0.051957
0.062033	0.1	-0.057558
0.063700	0.1	-0.060762
0.065700	0.12	-0.065613
0.067383	0.101	-0.068577
0.069033	0.099	-0.073682
0.070700	0.1	-0.075686
0.072367	0.1	-0.066749
0.074033	0.1	-0.045589
0.075700	0.1	-0.024763
0.077367	0.1	-0.011001
0.079033	0.1	-0.000606
0.080700	0.1	0.003079
0.082367	0.1	0.002467
0.084033	0.1	0.006420
0.085700	0.1	0.006554
0.087367	0.1	-0.009818
0.089033	0.1	-0.030453
0.090700	0.1	-0.034294
0.092350	0.099	-0.022575
0.094017	0.1	-0.005620
0.095683	0.1	0.006746
0.097350	0.1	0.009937
0.099350	0.12	0.003441
0.101050	0.102	-0.011973
0.102683	0.098	-0.035466
0.104350	0.1	-0.049284
0.106017	0.1	-0.050896
0.107683	0.1	-0.053694
0.109333	0.099	-0.054093
0.111000	0.1	-0.044175
0.112667	0.1	-0.023489
0.114333	0.1	-0.008900
0.116000	0.1	-0.004797
0.117667	0.1	-0.004823
0.119333	0.1	-0.009481
0.121000	0.1	-0.006403
0.122667	0.1	0.010089
0.124333	0.1	0.025373
0.126000	0.1	0.027691
0.127667	0.1	0.022366
0.129333	0.1	0.010858
0.131000	0.1	-0.003182
0.133000	0.12	-0.011640
0.134667	0.1	-0.015475
0.136333	0.1	-0.012974
0.138000	0.1	-0.013092
0.139667	0.1	-0.011913
0.141333	0.1	-0.010650
0.143000	0.1	-0.009220
0.144667	0.1	-0.008872
0.146333	0.1	-0.012007
0.148000	0.1	-0.014937
0.149667	0.1	-0.013306
0.151333	0.1	-0.002282
0.153000	0.1	0.008044
0.154667	0.1	-0.001243
0.156333	0.1	-0.023863
0.158000	0.1	-0.035165
0.159667	0.1	-0.035859
0.161333	0.1	-0.032528
0.163000	0.1	-0.029255
0.164667	0.1	-0.030102
0.166683	0.121	-0.029830
0.168333	0.099	-0.036624
0.170017	0.101	-0.063977
0.171667	0.099	-0.091561
