URL	chrom://farber-hplc/test001/Josh/Standards/1.8.24 Algorithm Rerun w different gradient.seq/879.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	1.8.24 Algorithm Rerun w different gradient
Name	0.5:0:0
Number	2
Position	RA2
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/8/2024 1:03:25 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003383
Time Max. (min)	65.003383
Data Points	19501
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-123,818.000000
Signal Max.	132,919.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /510 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003383	n.a.	0.000000
0.006717	0.2	0.000000
0.010050	0.2	0.000000
0.013383	0.2	0.000000
0.016717	0.2	0.000000
0.020050	0.2	333.000000
0.023383	0.2	1,144.000000
0.026717	0.2	1,986.000000
0.030050	0.2	2,628.000000
0.033383	0.2	3,031.000000
0.036717	0.2	3,147.000000
0.040050	0.2	2,884.000000
0.043383	0.2	2,224.000000
0.046717	0.2	1,260.000000
0.050050	0.2	44.000000
0.053383	0.2	-1,297.000000
0.056717	0.2	-2,621.000000
0.060050	0.2	-3,837.000000
0.063383	0.2	-4,932.000000
0.066717	0.2	-5,861.000000
0.070050	0.2	-6,495.000000
0.073383	0.2	-6,785.000000
0.076717	0.2	-6,784.000000
0.080050	0.2	-6,489.000000
0.083383	0.2	-5,880.000000
0.086717	0.2	-5,098.000000
0.090050	0.2	-4,353.000000
0.093383	0.2	-3,726.000000
0.096717	0.2	-3,141.000000
0.100050	0.2	-2,531.000000
0.103383	0.2	-1,867.000000
0.106717	0.2	-1,103.000000
0.110050	0.2	-228.000000
0.113383	0.2	578.000000
