URL	chrom://farber-hplc/test001/Josh/Standards/1.8.24 Algorithm Rerun w different gradient.seq/711.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.8.24 Algorithm Rerun w different gradient
Name	0.5:1:0.5
Number	10
Position	RB2
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/8/2024 9:53:15 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.001300
Data Points	38602
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.399731
Signal Max.	97.558380
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.13
Average Step (s)	0.10103567

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.023999
0.001667	0.1	-0.016058
0.003333	0.1	-0.006524
0.005000	0.1	0.001476
0.006667	0.1	0.006520
0.008333	0.1	0.002276
0.010000	0.1	-0.007856
0.011667	0.1	-0.015369
0.013333	0.1	-0.019475
0.015000	0.1	-0.015863
0.016667	0.1	-0.000826
0.018333	0.1	0.019700
0.020000	0.1	0.033834
0.021667	0.1	0.029318
0.023333	0.1	0.013516
0.025000	0.1	0.000707
0.026667	0.1	-0.008316
0.028333	0.1	-0.027493
0.030500	0.13	-0.054999
0.032167	0.1	-0.072803
0.033867	0.102	-0.074517
0.035500	0.098	-0.071566
0.037183	0.101	-0.068096
0.038867	0.101	-0.063995
0.040500	0.098	-0.069157
0.042167	0.1	-0.072978
0.043833	0.1	-0.060731
0.045500	0.1	-0.039831
0.047167	0.1	-0.020551
0.048833	0.1	-0.008871
0.050500	0.1	-0.008416
0.052167	0.1	-0.011419
0.053833	0.1	-0.009501
0.055500	0.1	-0.005230
0.057167	0.1	-0.007072
0.058833	0.1	-0.014837
0.060500	0.1	-0.021698
0.062167	0.1	-0.024439
0.064167	0.12	-0.021296
0.065833	0.1	-0.016917
0.067500	0.1	-0.016623
0.069167	0.1	-0.019848
0.070833	0.1	-0.018214
0.072500	0.1	-0.009563
0.074167	0.1	-0.000087
0.075833	0.1	-0.004470
0.077500	0.1	-0.023171
0.079167	0.1	-0.039755
0.080833	0.1	-0.041412
0.082500	0.1	-0.031106
0.084167	0.1	-0.013684
0.085833	0.1	0.003517
0.087500	0.1	0.007358
0.089167	0.1	0.005939
0.090833	0.1	0.002173
0.092500	0.1	-0.013815
0.094167	0.1	-0.030817
0.095833	0.1	-0.039014
0.097817	0.119	-0.037028
0.099483	0.1	-0.025757
0.101150	0.1	-0.020216
0.102850	0.102	-0.023103
0.104483	0.098	-0.029613
0.106150	0.1	-0.031295
0.107817	0.1	-0.030138
0.109483	0.1	-0.026396
0.111150	0.1	-0.015895
0.112817	0.1	-0.000624
0.114467	0.099	0.009535
0.116133	0.1	0.007946
0.117800	0.1	0.002969
0.119467	0.1	0.004561
0.121150	0.101	0.004799
0.122800	0.099	0.000031
0.124467	0.1	-0.009728
0.126133	0.1	-0.018744
0.127800	0.1	-0.018204
0.129467	0.1	-0.005409
0.131467	0.12	0.016251
0.133167	0.102	0.032423
0.134800	0.098	0.036531
0.136483	0.101	0.040021
0.138133	0.099	0.044231
0.139800	0.1	0.035433
0.141467	0.1	0.019974
0.143133	0.1	0.007310
0.144800	0.1	0.001412
0.146467	0.1	0.007556
0.148133	0.1	0.014950
0.149800	0.1	0.012460
0.151467	0.1	0.005136
0.153133	0.1	-0.007577
0.154800	0.1	-0.024441
0.156467	0.1	-0.038952
0.158133	0.1	-0.046920
0.159800	0.1	-0.040329
0.161467	0.1	-0.020815
0.163133	0.1	-0.008385
0.165133	0.12	-0.005165
0.166800	0.1	-0.001427
0.168467	0.1	0.008340
0.170133	0.1	0.021694
0.171800	0.1	0.036578
0.173467	0.1	0.049617
0.175133	0.1	0.053496
0.176800	0.1	0.046410
0.178467	0.1	0.033946
0.180133	0.1	0.019916
0.181800	0.1	0.009508
0.183467	0.1	-0.002649
0.185133	0.1	-0.015943
0.186800	0.1	-0.016319
0.188467	0.1	-0.005799
0.190133	0.1	0.007516
0.191800	0.1	0.012461
0.193467	0.1	0.007296
0.195133	0.1	0.003454
0.196800	0.1	0.005326
0.198883	0.125	0.000750
0.200550	0.1	-0.015063
0.202217	0.1	-0.029698
0.203900	0.101	-0.032840
0.205550	0.099	-0.026668
0.207217	0.1	-0.019117
0.208883	0.1	-0.012686
0.210550	0.1	-0.021353
0.212217	0.1	-0.041061
0.213883	0.1	-0.053039
0.215550	0.1	-0.041707
0.217217	0.1	-0.015433
0.218883	0.1	0.006212
0.220550	0.1	0.015975
0.222217	0.1	0.020494
0.223883	0.1	0.023188
0.225550	0.1	0.023731
0.227217	0.1	0.015143
0.228883	0.1	-0.001407
0.230883	0.12	-0.016029
0.232550	0.1	-0.024549
0.234217	0.1	-0.022529
0.235883	0.1	-0.011675
0.237550	0.1	0.001892
0.239217	0.1	0.012385
0.240883	0.1	0.018740
0.242550	0.1	0.021632
0.244217	0.1	0.018308
0.245883	0.1	0.014146
0.247550	0.1	0.014320
0.249217	0.1	0.013076
0.250883	0.1	0.006630
0.252550	0.1	-0.001758
0.254217	0.1	-0.000022
0.255883	0.1	0.005413
0.257550	0.1	0.006222
0.259217	0.1	-0.000811
0.260883	0.1	-0.012405
0.262550	0.1	-0.028551
0.264567	0.121	-0.051543
0.266217	0.099	-0.077727
0.267900	0.101	-0.086272
0.269550	0.099	-0.068874
0.271217	0.1	-0.050744
0.272883	0.1	-0.046856
0.274550	0.1	-0.045821
0.276217	0.1	-0.038062
0.277883	0.1	-0.030801
0.279550	0.1	-0.033482
0.281283	0.104	-0.042213
0.282883	0.096	-0.044494
0.284550	0.1	-0.035438
0.286217	0.1	-0.020041
0.287883	0.1	-0.005037
0.289550	0.1	-0.000165
