URL	chrom://farber-hplc/test001/Josh/Standards/1.8.24 Algorithm Rerun w different gradient.seq/711.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	1.8.24 Algorithm Rerun w different gradient
Name	0.5:1:0.5
Number	10
Position	RB2
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/8/2024 9:53:15 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003217
Time Max. (min)	65.003217
Data Points	19501
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-128,865.000000
Signal Max.	112,996.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /510 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003217	n.a.	0.000000
0.006550	0.2	0.000000
0.009883	0.2	0.000000
0.013217	0.2	0.000000
0.016550	0.2	0.000000
0.019883	0.2	202.000000
0.023217	0.2	642.000000
0.026550	0.2	887.000000
0.029883	0.2	513.000000
0.033217	0.2	-729.000000
0.036550	0.2	-2,891.000000
0.039883	0.2	-5,752.000000
0.043217	0.2	-8,901.000000
0.046550	0.2	-11,805.000000
0.049883	0.2	-13,991.000000
0.053217	0.2	-15,291.000000
0.056550	0.2	-15,904.000000
0.059883	0.2	-16,181.000000
0.063217	0.2	-16,485.000000
0.066550	0.2	-17,038.000000
0.069883	0.2	-17,849.000000
0.073217	0.2	-18,870.000000
0.076550	0.2	-20,085.000000
0.079883	0.2	-21,403.000000
0.083217	0.2	-22,661.000000
0.086550	0.2	-23,781.000000
0.089883	0.2	-24,735.000000
0.093217	0.2	-25,553.000000
0.096550	0.2	-26,204.000000
0.099883	0.2	-26,552.000000
0.103217	0.2	-26,483.000000
0.106550	0.2	-26,041.000000
0.109883	0.2	-25,372.000000
0.113217	0.2	-24,631.000000
0.116550	0.2	-23,906.000000
0.119883	0.2	-23,227.000000
0.123217	0.2	-22,669.000000
0.126550	0.2	-22,332.000000
0.129883	0.2	-22,249.000000
0.133217	0.2	-22,377.000000
0.136550	0.2	-22,615.000000
0.139883	0.2	-22,905.000000
0.143217	0.2	-23,242.000000
0.146550	0.2	-23,621.000000
0.149883	0.2	-23,974.000000
0.153217	0.2	-24,251.000000
0.156550	0.2	-24,412.000000
0.159883	0.2	-24,460.000000
0.163217	0.2	-24,363.000000
0.166550	0.2	-24,057.000000
0.169883	0.2	-23,441.000000
0.173217	0.2	-22,446.000000
0.176550	0.2	-21,080.000000
0.179883	0.2	-19,538.000000
0.183217	0.2	-17,956.000000
0.186550	0.2	-16,519.000000
0.189883	0.2	-15,443.000000
0.193217	0.2	-14,851.000000
0.196550	0.2	-14,633.000000
0.199883	0.2	-14,600.000000
0.203217	0.2	-14,611.000000
0.206550	0.2	-14,732.000000
0.209883	0.2	-15,055.000000
0.213217	0.2	-15,542.000000
0.216550	0.2	-16,037.000000
0.219883	0.2	-16,372.000000
0.223217	0.2	-16,545.000000
0.226550	0.2	-16,708.000000
0.229883	0.2	-16,920.000000
0.233217	0.2	-17,268.000000
0.236550	0.2	-17,750.000000
0.239883	0.2	-18,333.000000
0.243217	0.2	-18,960.000000
0.246550	0.2	-19,555.000000
0.249883	0.2	-20,053.000000
0.253217	0.2	-20,359.000000
0.256550	0.2	-20,391.000000
0.259883	0.2	-20,086.000000
0.263217	0.2	-19,516.000000
0.266550	0.2	-18,876.000000
0.269883	0.2	-18,318.000000
0.273217	0.2	-17,899.000000
0.276550	0.2	-17,612.000000
0.279883	0.2	-17,461.000000
0.283217	0.2	-17,502.000000
0.286550	0.2	-17,728.000000
0.289883	0.2	-18,024.000000
0.293217	0.2	-18,357.000000
0.296550	0.2	-18,659.000000
0.299883	0.2	-18,906.000000
0.303217	0.2	-19,158.000000
0.306550	0.2	-19,333.000000
0.309883	0.2	-19,350.000000
