URL	chrom://farber-hplc/test001/Josh/Standards/1.8.24 Algorithm Rerun w different gradient.seq/695.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.8.24 Algorithm Rerun w different gradient
Name	0:0.5:0
Number	4
Position	RA4
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/8/2024 3:15:54 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.001283
Data Points	38602
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.410724
Signal Max.	50.737950
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103565

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.013288
0.001650	0.099	-0.017679
0.003317	0.1	-0.020428
0.004983	0.1	-0.016320
0.006650	0.1	-0.005089
0.008317	0.1	0.004514
0.009983	0.1	0.004428
0.011650	0.1	-0.002735
0.013317	0.1	-0.010601
0.014983	0.1	-0.010388
0.016650	0.1	-0.002258
0.018317	0.1	0.011095
0.020000	0.101	0.021730
0.021650	0.099	0.020015
0.023317	0.1	0.003146
0.024983	0.1	-0.016590
0.026650	0.1	-0.030350
0.028317	0.1	-0.035485
0.029983	0.1	-0.034069
0.031650	0.1	-0.035404
0.033667	0.121	-0.043713
0.035317	0.099	-0.059530
0.037017	0.102	-0.079237
0.038650	0.098	-0.093964
0.040333	0.101	-0.101654
0.041967	0.098	-0.103718
0.043650	0.101	-0.102710
0.045300	0.099	-0.103157
0.046983	0.101	-0.097795
0.048633	0.099	-0.085840
0.050317	0.101	-0.074207
0.051967	0.099	-0.065609
0.053650	0.101	-0.067617
0.055300	0.099	-0.074668
0.056983	0.101	-0.072650
0.058617	0.098	-0.059288
0.060300	0.101	-0.044400
0.061950	0.099	-0.039627
0.063633	0.101	-0.038638
0.065683	0.123	-0.041339
0.067367	0.101	-0.045945
0.069033	0.1	-0.044256
0.070700	0.1	-0.032454
0.072367	0.1	-0.024970
0.074033	0.1	-0.027486
0.075733	0.102	-0.031542
0.077400	0.1	-0.031908
0.079067	0.1	-0.030093
0.080733	0.1	-0.027350
0.082400	0.1	-0.022597
0.084067	0.1	-0.025590
0.085733	0.1	-0.037084
0.087400	0.1	-0.046893
0.089067	0.1	-0.048492
0.090733	0.1	-0.038481
0.092400	0.1	-0.023236
0.094067	0.1	-0.013314
0.095733	0.1	-0.012736
0.097400	0.1	-0.017933
0.099433	0.122	-0.019231
0.101067	0.098	-0.017997
0.102733	0.1	-0.020958
0.104400	0.1	-0.022973
0.106067	0.1	-0.024167
0.107767	0.102	-0.029732
0.109450	0.101	-0.032636
0.111117	0.1	-0.030672
0.112783	0.1	-0.022914
0.114450	0.1	-0.008230
0.116117	0.1	0.004815
0.117783	0.1	0.007106
0.119450	0.1	0.000684
0.121117	0.1	-0.009089
0.122783	0.1	-0.015645
0.124450	0.1	-0.024546
0.126117	0.1	-0.051710
0.127783	0.1	-0.093443
0.129450	0.1	-0.121235
0.131117	0.1	-0.116114
0.133133	0.121	-0.086606
0.134783	0.099	-0.047806
0.136450	0.1	-0.019374
0.138183	0.104	-0.009003
0.139783	0.096	-0.009459
0.141467	0.101	-0.016235
0.143117	0.099	-0.023274
0.144783	0.1	-0.022376
0.146450	0.1	-0.008424
0.148117	0.1	0.012837
0.149850	0.104	0.025354
0.151450	0.096	0.024363
0.153117	0.1	0.018305
0.154783	0.1	0.008729
0.156450	0.1	-0.006653
0.158117	0.1	-0.027921
0.159817	0.102	-0.046638
0.161483	0.1	-0.055196
0.163150	0.1	-0.053468
0.164817	0.1	-0.041931
0.166833	0.121	-0.023419
0.168517	0.101	-0.005560
0.170167	0.099	0.007421
0.171817	0.099	0.015426
0.173500	0.101	0.017206
0.175150	0.099	0.014783
0.176833	0.101	0.008802
0.178483	0.099	0.000387
0.180167	0.101	-0.006842
0.181817	0.099	-0.007300
0.183500	0.101	-0.011318
0.185150	0.099	-0.019028
0.186833	0.101	-0.026415
0.188483	0.099	-0.027118
0.190167	0.101	-0.016066
0.191817	0.099	0.002014
0.193500	0.101	0.015217
0.195150	0.099	0.015291
0.196833	0.101	0.013784
0.198483	0.099	0.014547
0.200483	0.12	0.007773
0.202150	0.1	-0.001842
0.203817	0.1	-0.015192
0.205483	0.1	-0.023539
0.207150	0.1	-0.017918
0.208800	0.099	-0.015819
0.210467	0.1	-0.020747
0.212133	0.1	-0.024405
0.213800	0.1	-0.029978
0.215467	0.1	-0.030784
0.217133	0.1	-0.030977
0.218800	0.1	-0.038276
0.220467	0.1	-0.045221
0.222133	0.1	-0.048664
0.223800	0.1	-0.049760
0.225450	0.099	-0.049186
0.227117	0.1	-0.046720
0.228800	0.101	-0.043372
0.230450	0.099	-0.041104
0.232117	0.1	-0.041103
0.234117	0.12	-0.040849
0.235783	0.1	-0.042164
0.237483	0.102	-0.054727
0.239133	0.099	-0.065167
0.240783	0.099	-0.066335
0.242450	0.1	-0.057328
0.244117	0.1	-0.042707
0.245783	0.1	-0.025785
0.247450	0.1	-0.007344
0.249117	0.1	0.005222
0.250783	0.1	0.006865
0.252450	0.1	-0.002494
0.254117	0.1	-0.016224
0.255783	0.1	-0.024136
0.257450	0.1	-0.020445
0.259117	0.1	-0.013216
0.260783	0.1	-0.007375
0.262450	0.1	0.000798
0.264133	0.101	0.008249
0.266167	0.122	0.008942
0.267900	0.104	0.007101
0.269567	0.1	-0.000697
0.271250	0.101	-0.004725
0.272933	0.101	-0.000656
0.274567	0.098	0.002327
0.276233	0.1	0.005555
0.277900	0.1	0.001092
0.279567	0.1	-0.011996
0.281267	0.102	-0.021040
0.282900	0.098	-0.023460
0.284567	0.1	-0.017460
0.286233	0.1	-0.009104
0.287900	0.1	-0.010051
0.289567	0.1	-0.014057
0.291233	0.1	-0.012169
0.292900	0.1	-0.011384
0.294567	0.1	-0.014737
0.296233	0.1	-0.019681
0.297900	0.1	-0.028855
0.299900	0.12	-0.041184
0.301567	0.1	-0.051076
0.303233	0.1	-0.059905
0.304900	0.1	-0.058146
0.306567	0.1	-0.049318
0.308233	0.1	-0.054425
0.309883	0.099	-0.067535
0.311550	0.1	-0.075757
0.313217	0.1	-0.074430
0.314883	0.1	-0.067064
0.316550	0.1	-0.061882
0.318217	0.1	-0.061672
0.319883	0.1	-0.057565
0.321550	0.1	-0.047767
0.323217	0.1	-0.033756
0.324883	0.1	-0.019658
0.326533	0.099	-0.006870
0.328217	0.101	-0.001525
0.329867	0.099	-0.007618
0.331533	0.1	-0.012460
0.333533	0.12	-0.006066
0.335200	0.1	0.005921
0.336867	0.1	0.014337
0.338533	0.1	0.015464
0.340200	0.1	0.002575
0.341867	0.1	-0.017998
0.343533	0.1	-0.030809
0.345200	0.1	-0.031551
0.346867	0.1	-0.032710
0.348533	0.1	-0.037389
0.350200	0.1	-0.041075
0.351867	0.1	-0.037915
0.353533	0.1	-0.027159
0.355200	0.1	-0.018146
0.356867	0.1	-0.021954
0.358533	0.1	-0.026625
0.360200	0.1	-0.022192
0.361867	0.1	-0.022275
0.363533	0.1	-0.026808
0.365200	0.1	-0.036259
0.367200	0.12	-0.051898
0.368867	0.1	-0.064685
0.370533	0.1	-0.064309
0.372200	0.1	-0.053513
0.373867	0.1	-0.039576
0.375533	0.1	-0.027864
0.377200	0.1	-0.024461
0.378867	0.1	-0.030528
0.380533	0.1	-0.040830
0.382200	0.1	-0.050596
0.383867	0.1	-0.049163
0.385533	0.1	-0.034351
0.387200	0.1	-0.017066
0.388867	0.1	-0.012324
0.390533	0.1	-0.014867
0.392200	0.1	-0.017823
0.393867	0.1	-0.013803
0.395533	0.1	-0.005999
0.397200	0.1	-0.004729
0.398867	0.1	-0.016716
0.400867	0.12	-0.036172
0.402533	0.1	-0.049102
0.404217	0.101	-0.045877
0.405867	0.099	-0.030568
0.407533	0.1	-0.016030
0.409200	0.1	-0.001697
0.410867	0.1	0.008408
0.412550	0.101	0.005296
0.414200	0.099	0.002881
0.415867	0.1	0.007938
0.417533	0.1	0.005954
0.419200	0.1	-0.006303
0.420867	0.1	-0.021429
0.422533	0.1	-0.034247
0.424200	0.1	-0.043728
0.425867	0.1	-0.049563
0.427533	0.1	-0.045203
0.429200	0.1	-0.028461
0.430867	0.1	-0.016636
0.432917	0.123	-0.017638
0.434533	0.097	-0.021933
0.436200	0.1	-0.024557
0.437867	0.1	-0.023015
0.439533	0.1	-0.019478
0.441200	0.1	-0.014184
0.442900	0.102	-0.006708
0.444567	0.1	-0.001634
0.446233	0.1	0.004601
0.447900	0.1	0.015372
0.449567	0.1	0.015166
0.451233	0.1	-0.000846
0.452900	0.1	-0.013803
0.454567	0.1	-0.012032
0.456233	0.1	-0.001637
0.457900	0.1	-0.001149
0.459567	0.1	-0.017921
0.461233	0.1	-0.035492
0.462900	0.1	-0.046702
0.464567	0.1	-0.053433
0.466583	0.121	-0.059404
0.468233	0.099	-0.060027
0.469933	0.102	-0.047099
0.471567	0.098	-0.029308
0.473250	0.101	-0.013034
0.474900	0.099	-0.003073
0.476583	0.101	-0.002462
0.478233	0.099	-0.005374
0.479917	0.101	-0.005016
0.481567	0.099	-0.002345
0.483250	0.101	-0.003064
0.484900	0.099	-0.009165
0.486583	0.101	-0.012930
0.488233	0.099	-0.016989
0.489917	0.101	-0.026314
0.491567	0.099	-0.033731
0.493233	0.1	-0.045838
0.494883	0.099	-0.067072
0.496567	0.101	-0.082177
0.498217	0.099	-0.078363
0.500250	0.122	-0.058490
0.501917	0.1	-0.036602
0.503550	0.098	-0.016767
0.505217	0.1	0.003083
0.506883	0.1	0.018304
0.508533	0.099	0.021279
0.510200	0.1	0.015601
0.511867	0.1	0.010179
0.513533	0.1	0.002046
0.515200	0.1	-0.010697
0.516867	0.1	-0.028841
0.518533	0.1	-0.044761
0.520200	0.1	-0.049025
0.521867	0.1	-0.043966
0.523533	0.1	-0.035029
