URL	chrom://farber-hplc/test001/Josh/Standards/1.8.24 Algorithm Rerun w different gradient.seq/695.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	1.8.24 Algorithm Rerun w different gradient
Name	0:0.5:0
Number	4
Position	RA4
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/8/2024 3:15:54 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003333
Time Max. (min)	65.003333
Data Points	19501
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-118,465.000000
Signal Max.	123,425.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /510 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003333	n.a.	0.000000
0.006667	0.2	0.000000
0.010000	0.2	0.000000
0.013333	0.2	0.000000
0.016667	0.2	0.000000
0.020000	0.2	-160.000000
0.023333	0.2	-615.000000
0.026667	0.2	-1,239.000000
0.030000	0.2	-2,054.000000
0.033333	0.2	-3,057.000000
0.036667	0.2	-4,186.000000
0.040000	0.2	-5,538.000000
0.043333	0.2	-7,075.000000
0.046667	0.2	-8,668.000000
0.050000	0.2	-10,277.000000
0.053333	0.2	-11,777.000000
0.056667	0.2	-13,144.000000
0.060000	0.2	-14,405.000000
0.063333	0.2	-15,363.000000
0.066667	0.2	-16,003.000000
0.070000	0.2	-16,457.000000
0.073333	0.2	-16,724.000000
0.076667	0.2	-16,869.000000
0.080000	0.2	-16,940.000000
0.083333	0.2	-16,980.000000
0.086667	0.2	-16,971.000000
0.090000	0.2	-16,710.000000
0.093333	0.2	-16,009.000000
0.096667	0.2	-14,824.000000
0.100000	0.2	-13,301.000000
0.103333	0.2	-11,825.000000
0.106667	0.2	-10,572.000000
0.110000	0.2	-9,455.000000
0.113333	0.2	-8,415.000000
0.116667	0.2	-7,461.000000
0.120000	0.2	-6,662.000000
0.123333	0.2	-6,204.000000
0.126667	0.2	-6,145.000000
0.130000	0.2	-6,371.000000
0.133333	0.2	-6,740.000000
0.136667	0.2	-7,077.000000
0.140000	0.2	-7,210.000000
0.143333	0.2	-7,221.000000
0.146667	0.2	-7,412.000000
0.150000	0.2	-7,931.000000
0.153333	0.2	-8,665.000000
0.156667	0.2	-9,401.000000
0.160000	0.2	-9,997.000000
0.163333	0.2	-10,376.000000
0.166667	0.2	-10,584.000000
0.170000	0.2	-10,692.000000
0.173333	0.2	-10,628.000000
0.176667	0.2	-10,366.000000
0.180000	0.2	-10,021.000000
0.183333	0.2	-9,733.000000
0.186667	0.2	-9,512.000000
0.190000	0.2	-9,278.000000
0.193333	0.2	-9,027.000000
0.196667	0.2	-8,883.000000
0.200000	0.2	-8,983.000000
0.203333	0.2	-9,509.000000
0.206667	0.2	-10,440.000000
0.210000	0.2	-11,714.000000
0.213333	0.2	-13,349.000000
0.216667	0.2	-15,244.000000
0.220000	0.2	-17,157.000000
0.223333	0.2	-18,772.000000
0.226667	0.2	-19,864.000000
0.230000	0.2	-20,344.000000
0.233333	0.2	-20,215.000000
0.236667	0.2	-19,699.000000
0.240000	0.2	-19,000.000000
0.243333	0.2	-18,260.000000
0.246667	0.2	-17,522.000000
0.250000	0.2	-16,894.000000
0.253333	0.2	-16,562.000000
0.256667	0.2	-16,566.000000
0.260000	0.2	-16,855.000000
0.263333	0.2	-17,311.000000
0.266667	0.2	-17,870.000000
0.270000	0.2	-18,321.000000
0.273333	0.2	-18,455.000000
0.276667	0.2	-18,155.000000
0.280000	0.2	-17,420.000000
0.283333	0.2	-16,389.000000
0.286667	0.2	-15,137.000000
0.290000	0.2	-13,680.000000
0.293333	0.2	-12,071.000000
0.296667	0.2	-10,486.000000
0.300000	0.2	-9,125.000000
0.303333	0.2	-8,097.000000
0.306667	0.2	-7,465.000000
0.310000	0.2	-7,289.000000
0.313333	0.2	-7,583.000000
0.316667	0.2	-8,244.000000
0.320000	0.2	-9,107.000000
0.323333	0.2	-10,007.000000
0.326667	0.2	-10,843.000000
0.330000	0.2	-11,514.000000
0.333333	0.2	-11,959.000000
0.336667	0.2	-12,245.000000
0.340000	0.2	-12,554.000000
0.343333	0.2	-13,015.000000
0.346667	0.2	-13,545.000000
0.350000	0.2	-14,054.000000
0.353333	0.2	-14,496.000000
0.356667	0.2	-14,890.000000
0.360000	0.2	-15,369.000000
0.363333	0.2	-15,962.000000
0.366667	0.2	-16,570.000000
0.370000	0.2	-17,033.000000
0.373333	0.2	-17,325.000000
0.376667	0.2	-17,568.000000
0.380000	0.2	-17,871.000000
0.383333	0.2	-18,264.000000
0.386667	0.2	-18,552.000000
0.390000	0.2	-18,654.000000
0.393333	0.2	-18,513.000000
0.396667	0.2	-17,996.000000
0.400000	0.2	-17,020.000000
0.403333	0.2	-15,576.000000
0.406667	0.2	-13,752.000000
0.410000	0.2	-11,750.000000
0.413333	0.2	-9,826.000000
0.416667	0.2	-8,034.000000
0.420000	0.2	-6,373.000000
0.423333	0.2	-4,904.000000
0.426667	0.2	-3,812.000000
0.430000	0.2	-3,249.000000
0.433333	0.2	-3,268.000000
0.436667	0.2	-3,938.000000
0.440000	0.2	-5,193.000000
0.443333	0.2	-6,825.000000
0.446667	0.2	-8,484.000000
0.450000	0.2	-9,977.000000
0.453333	0.2	-11,269.000000
0.456667	0.2	-12,407.000000
0.460000	0.2	-13,423.000000
0.463333	0.2	-14,279.000000
0.466667	0.2	-14,943.000000
0.470000	0.2	-15,385.000000
0.473333	0.2	-15,618.000000
0.476667	0.2	-15,701.000000
0.480000	0.2	-15,665.000000
0.483333	0.2	-15,549.000000
0.486667	0.2	-15,361.000000
0.490000	0.2	-15,142.000000
0.493333	0.2	-14,969.000000
0.496667	0.2	-15,013.000000
0.500000	0.2	-15,285.000000
0.503333	0.2	-15,683.000000
0.506667	0.2	-16,140.000000
0.510000	0.2	-16,483.000000
0.513333	0.2	-16,588.000000
0.516667	0.2	-16,360.000000
0.520000	0.2	-15,796.000000
0.523333	0.2	-15,021.000000
0.526667	0.2	-14,335.000000
0.530000	0.2	-13,940.000000
0.533333	0.2	-13,804.000000
0.536667	0.2	-13,898.000000
0.540000	0.2	-14,175.000000
0.543333	0.2	-14,538.000000
0.546667	0.2	-14,959.000000
0.550000	0.2	-15,364.000000
0.553333	0.2	-15,697.000000
0.556667	0.2	-15,915.000000
0.560000	0.2	-15,942.000000
0.563333	0.2	-15,712.000000
0.566667	0.2	-15,296.000000
0.570000	0.2	-14,786.000000
0.573333	0.2	-14,245.000000
0.576667	0.2	-13,809.000000
0.580000	0.2	-13,626.000000
0.583333	0.2	-13,771.000000
0.586667	0.2	-14,140.000000
0.590000	0.2	-14,466.000000
0.593333	0.2	-14,665.000000
0.596667	0.2	-14,866.000000
0.600000	0.2	-15,208.000000
0.603333	0.2	-15,754.000000
0.606667	0.2	-16,438.000000
0.610000	0.2	-17,072.000000
0.613333	0.2	-17,379.000000
0.616667	0.2	-17,156.000000
0.620000	0.2	-16,448.000000
0.623333	0.2	-15,436.000000
0.626667	0.2	-14,383.000000
0.630000	0.2	-13,446.000000
0.633333	0.2	-12,678.000000
0.636667	0.2	-11,977.000000
0.640000	0.2	-11,213.000000
0.643333	0.2	-10,294.000000
0.646667	0.2	-9,167.000000
0.650000	0.2	-7,891.000000
0.653333	0.2	-6,434.000000
0.656667	0.2	-4,626.000000
0.660000	0.2	-2,388.000000
0.663333	0.2	246.000000
0.666667	0.2	3,210.000000
0.670000	0.2	6,405.000000
0.673333	0.2	9,556.000000
0.676667	0.2	12,241.000000
0.680000	0.2	14,152.000000
0.683333	0.2	15,225.000000
0.686667	0.2	15,447.000000
0.690000	0.2	14,806.000000
0.693333	0.2	13,404.000000
0.696667	0.2	11,446.000000
0.700000	0.2	9,007.000000
0.703333	0.2	6,201.000000
0.706667	0.2	3,299.000000
0.710000	0.2	436.000000
0.713333	0.2	-2,337.000000
0.716667	0.2	-4,990.000000
0.720000	0.2	-7,527.000000
0.723333	0.2	-10,177.000000
0.726667	0.2	-13,448.000000
0.730000	0.2	-18,076.000000
0.733333	0.2	-24,726.000000
0.736667	0.2	-33,591.000000
0.740000	0.2	-44,463.000000
0.743333	0.2	-56,861.000000
0.746667	0.2	-70,107.000000
0.750000	0.2	-83,358.000000
0.753333	0.2	-95,586.000000
0.756667	0.2	-105,866.000000
0.760000	0.2	-113,425.000000
0.763333	0.2	-117,718.000000
0.766667	0.2	-118,465.000000
0.770000	0.2	-115,665.000000
0.773333	0.2	-109,656.000000
0.776667	0.2	-100,972.000000
0.780000	0.2	-90,102.000000
0.783333	0.2	-77,677.000000
0.786667	0.2	-64,408.000000
0.790000	0.2	-50,921.000000
0.793333	0.2	-37,785.000000
0.796667	0.2	-25,462.000000
0.800000	0.2	-14,253.000000
0.803333	0.2	-4,157.000000
0.806667	0.2	4,927.000000
0.810000	0.2	13,056.000000
0.813333	0.2	20,331.000000
0.816667	0.2	26,776.000000
0.820000	0.2	32,389.000000
0.823333	0.2	37,298.000000
0.826667	0.2	41,597.000000
0.830000	0.2	45,166.000000
0.833333	0.2	47,961.000000
0.836667	0.2	50,098.000000
0.840000	0.2	51,697.000000
0.843333	0.2	52,830.000000
0.846667	0.2	53,492.000000
0.850000	0.2	53,766.000000
0.853333	0.2	53,722.000000
0.856667	0.2	53,398.000000
0.860000	0.2	52,809.000000
0.863333	0.2	51,946.000000
0.866667	0.2	50,825.000000
0.870000	0.2	49,328.000000
0.873333	0.2	47,357.000000
0.876667	0.2	44,938.000000
0.880000	0.2	42,116.000000
0.883333	0.2	38,832.000000
0.886667	0.2	34,987.000000
0.890000	0.2	30,571.000000
0.893333	0.2	25,784.000000
0.896667	0.2	20,903.000000
0.900000	0.2	16,249.000000
0.903333	0.2	12,139.000000
0.906667	0.2	8,792.000000
0.910000	0.2	6,147.000000
0.913333	0.2	3,930.000000
0.916667	0.2	1,996.000000
0.920000	0.2	350.000000
0.923333	0.2	-1,137.000000
0.926667	0.2	-2,661.000000
0.930000	0.2	-4,183.000000
0.933333	0.2	-5,665.000000
0.936667	0.2	-7,104.000000
0.940000	0.2	-8,489.000000
0.943333	0.2	-9,714.000000
0.946667	0.2	-10,626.000000
0.950000	0.2	-11,193.000000
0.953333	0.2	-11,523.000000
0.956667	0.2	-11,750.000000
0.960000	0.2	-11,806.000000
0.963333	0.2	-11,416.000000
0.966667	0.2	-10,390.000000
0.970000	0.2	-8,807.000000
0.973333	0.2	-6,839.000000
0.976667	0.2	-4,770.000000
0.980000	0.2	-2,818.000000
0.983333	0.2	-1,159.000000
0.986667	0.2	112.000000
0.990000	0.2	889.000000
0.993333	0.2	1,161.000000
0.996667	0.2	809.000000
1.000000	0.2	-177.000000
1.003333	0.2	-1,590.000000
1.006667	0.2	-3,108.000000
1.010000	0.2	-4,445.000000
1.013333	0.2	-5,367.000000
1.016667	0.2	-5,857.000000
1.020000	0.2	-6,077.000000
1.023333	0.2	-6,199.000000
1.026667	0.2	-6,423.000000
1.030000	0.2	-6,875.000000
1.033333	0.2	-7,580.000000
1.036667	0.2	-8,424.000000
1.040000	0.2	-9,163.000000
1.043333	0.2	-9,538.000000
1.046667	0.2	-9,458.000000
1.050000	0.2	-9,032.000000
1.053333	0.2	-8,424.000000
1.056667	0.2	-7,743.000000
1.060000	0.2	-7,010.000000
1.063333	0.2	-6,367.000000
1.066667	0.2	-5,908.000000
1.070000	0.2	-5,576.000000
1.073333	0.2	-5,287.000000
1.076667	0.2	-5,061.000000
1.080000	0.2	-4,939.000000
1.083333	0.2	-4,996.000000
1.086667	0.2	-5,301.000000
1.090000	0.2	-5,780.000000
1.093333	0.2	-6,294.000000
1.096667	0.2	-6,819.000000
1.100000	0.2	-7,388.000000
1.103333	0.2	-7,907.000000
1.106667	0.2	-8,438.000000
1.110000	0.2	-9,102.000000
1.113333	0.2	-9,800.000000
1.116667	0.2	-10,334.000000
1.120000	0.2	-10,580.000000
1.123333	0.2	-10,507.000000
1.126667	0.2	-10,147.000000
1.130000	0.2	-9,627.000000
1.133333	0.2	-9,119.000000
1.136667	0.2	-8,783.000000
1.140000	0.2	-8,694.000000
1.143333	0.2	-8,890.000000
1.146667	0.2	-9,421.000000
1.150000	0.2	-10,164.000000
1.153333	0.2	-11,023.000000
1.156667	0.2	-11,960.000000
1.160000	0.2	-13,019.000000
1.163333	0.2	-14,138.000000
1.166667	0.2	-15,236.000000
1.170000	0.2	-16,180.000000
1.173333	0.2	-16,829.000000
1.176667	0.2	-17,248.000000
1.180000	0.2	-17,409.000000
1.183333	0.2	-17,293.000000
1.186667	0.2	-17,019.000000
1.190000	0.2	-16,682.000000
1.193333	0.2	-16,258.000000
1.196667	0.2	-15,604.000000
1.200000	0.2	-14,647.000000
1.203333	0.2	-13,520.000000
1.206667	0.2	-12,347.000000
1.210000	0.2	-11,279.000000
1.213333	0.2	-10,409.000000
1.216667	0.2	-9,678.000000
1.220000	0.2	-8,965.000000
1.223333	0.2	-8,266.000000
1.226667	0.2	-7,701.000000
1.230000	0.2	-7,354.000000
1.233333	0.2	-7,192.000000
1.236667	0.2	-7,133.000000
1.240000	0.2	-7,074.000000
1.243333	0.2	-6,838.000000
1.246667	0.2	-6,436.000000
1.250000	0.2	-6,045.000000
1.253333	0.2	-5,816.000000
1.256667	0.2	-5,799.000000
1.260000	0.2	-5,892.000000
1.263333	0.2	-6,072.000000
1.266667	0.2	-6,268.000000
1.270000	0.2	-6,360.000000
1.273333	0.2	-6,278.000000
1.276667	0.2	-6,069.000000
1.280000	0.2	-5,841.000000
1.283333	0.2	-5,695.000000
1.286667	0.2	-5,784.000000
1.290000	0.2	-6,209.000000
1.293333	0.2	-6,901.000000
1.296667	0.2	-7,677.000000
1.300000	0.2	-8,290.000000
1.303333	0.2	-8,711.000000
1.306667	0.2	-9,047.000000
1.310000	0.2	-9,409.000000
1.313333	0.2	-9,880.000000
1.316667	0.2	-10,474.000000
1.320000	0.2	-11,078.000000
1.323333	0.2	-11,608.000000
1.326667	0.2	-11,995.000000
1.330000	0.2	-12,283.000000
1.333333	0.2	-12,441.000000
1.336667	0.2	-12,399.000000
1.340000	0.2	-12,158.000000
1.343333	0.2	-11,736.000000
1.346667	0.2	-11,228.000000
1.350000	0.2	-10,826.000000
1.353333	0.2	-10,646.000000
1.356667	0.2	-10,712.000000
1.360000	0.2	-10,909.000000
1.363333	0.2	-11,105.000000
1.366667	0.2	-11,215.000000
1.370000	0.2	-11,320.000000
1.373333	0.2	-11,450.000000
1.376667	0.2	-11,664.000000
1.380000	0.2	-11,975.000000
1.383333	0.2	-12,445.000000
1.386667	0.2	-13,150.000000
1.390000	0.2	-14,104.000000
1.393333	0.2	-15,314.000000
1.396667	0.2	-16,755.000000
1.400000	0.2	-18,221.000000
1.403333	0.2	-19,368.000000
1.406667	0.2	-19,991.000000
1.410000	0.2	-20,212.000000
1.413333	0.2	-20,172.000000
1.416667	0.2	-19,888.000000
1.420000	0.2	-19,289.000000
1.423333	0.2	-18,297.000000
1.426667	0.2	-16,862.000000
1.430000	0.2	-15,002.000000
1.433333	0.2	-12,939.000000
1.436667	0.2	-10,853.000000
1.440000	0.2	-8,920.000000
1.443333	0.2	-7,250.000000
1.446667	0.2	-5,957.000000
1.450000	0.2	-5,201.000000
1.453333	0.2	-4,983.000000
1.456667	0.2	-5,242.000000
1.460000	0.2	-5,804.000000
1.463333	0.2	-6,524.000000
1.466667	0.2	-7,348.000000
1.470000	0.2	-8,297.000000
1.473333	0.2	-9,243.000000
1.476667	0.2	-10,079.000000
1.480000	0.2	-10,839.000000
1.483333	0.2	-11,555.000000
1.486667	0.2	-12,196.000000
1.490000	0.2	-12,687.000000
1.493333	0.2	-13,055.000000
1.496667	0.2	-13,378.000000
1.500000	0.2	-13,658.000000
1.503333	0.2	-13,796.000000
1.506667	0.2	-13,695.000000
1.510000	0.2	-13,343.000000
1.513333	0.2	-12,751.000000
1.516667	0.2	-12,032.000000
1.520000	0.2	-11,187.000000
1.523333	0.2	-10,193.000000
1.526667	0.2	-9,022.000000
1.530000	0.2	-7,692.000000
1.533333	0.2	-6,177.000000
1.536667	0.2	-4,544.000000
1.540000	0.2	-2,921.000000
1.543333	0.2	-1,423.000000
1.546667	0.2	-224.000000
1.550000	0.2	511.000000
1.553333	0.2	794.000000
1.556667	0.2	681.000000
1.560000	0.2	181.000000
1.563333	0.2	-611.000000
1.566667	0.2	-1,618.000000
1.570000	0.2	-2,806.000000
1.573333	0.2	-4,182.000000
1.576667	0.2	-5,659.000000
1.580000	0.2	-7,211.000000
1.583333	0.2	-8,812.000000
1.586667	0.2	-10,255.000000
1.590000	0.2	-11,369.000000
1.593333	0.2	-12,068.000000
1.596667	0.2	-12,522.000000
1.600000	0.2	-12,876.000000
1.603333	0.2	-13,232.000000
1.606667	0.2	-13,613.000000
1.610000	0.2	-13,983.000000
1.613333	0.2	-14,444.000000
1.616667	0.2	-15,024.000000
1.620000	0.2	-15,703.000000
1.623333	0.2	-16,415.000000
1.626667	0.2	-17,040.000000
1.630000	0.2	-17,505.000000
1.633333	0.2	-17,785.000000
1.636667	0.2	-17,758.000000
1.640000	0.2	-17,317.000000
1.643333	0.2	-16,438.000000
1.646667	0.2	-15,169.000000
1.650000	0.2	-13,698.000000
1.653333	0.2	-12,149.000000
1.656667	0.2	-10,590.000000
1.660000	0.2	-9,106.000000
1.663333	0.2	-7,806.000000
1.666667	0.2	-6,815.000000
1.670000	0.2	-6,281.000000
1.673333	0.2	-6,269.000000
1.676667	0.2	-6,732.000000
1.680000	0.2	-7,540.000000
1.683333	0.2	-8,477.000000
1.686667	0.2	-9,394.000000
1.690000	0.2	-10,353.000000
1.693333	0.2	-11,379.000000
1.696667	0.2	-12,492.000000
1.700000	0.2	-13,659.000000
1.703333	0.2	-14,758.000000
1.706667	0.2	-15,601.000000
1.710000	0.2	-16,065.000000
1.713333	0.2	-16,161.000000
1.716667	0.2	-16,052.000000
1.720000	0.2	-16,008.000000
1.723333	0.2	-16,251.000000
1.726667	0.2	-16,875.000000
1.730000	0.2	-17,858.000000
1.733333	0.2	-19,009.000000
1.736667	0.2	-20,196.000000
1.740000	0.2	-21,259.000000
1.743333	0.2	-22,116.000000
1.746667	0.2	-22,842.000000
1.750000	0.2	-23,436.000000
1.753333	0.2	-23,802.000000
1.756667	0.2	-23,827.000000
1.760000	0.2	-23,414.000000
1.763333	0.2	-22,633.000000
1.766667	0.2	-21,618.000000
1.770000	0.2	-20,488.000000
1.773333	0.2	-19,294.000000
1.776667	0.2	-17,989.000000
1.780000	0.2	-16,468.000000
1.783333	0.2	-14,864.000000
1.786667	0.2	-13,388.000000
1.790000	0.2	-12,146.000000
1.793333	0.2	-11,243.000000
1.796667	0.2	-10,660.000000
1.800000	0.2	-10,249.000000
1.803333	0.2	-10,003.000000
1.806667	0.2	-9,972.000000
1.810000	0.2	-10,034.000000
1.813333	0.2	-10,055.000000
1.816667	0.2	-10,012.000000
1.820000	0.2	-9,963.000000
1.823333	0.2	-9,972.000000
1.826667	0.2	-10,056.000000
1.830000	0.2	-10,225.000000
1.833333	0.2	-10,404.000000
1.836667	0.2	-10,535.000000
1.840000	0.2	-10,579.000000
1.843333	0.2	-10,609.000000
1.846667	0.2	-10,601.000000
1.850000	0.2	-10,523.000000
