URL	chrom://farber-hplc/test001/Josh/Standards/1.8.24 Algorithm Rerun w different gradient.seq/673.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.8.24 Algorithm Rerun w different gradient
Name	0:0:0.5
Number	6
Position	RA6
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/8/2024 5:28:21 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.001333
Data Points	38602
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.399364
Signal Max.	20.086060
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.128
Average Step (s)	0.10103572

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.004267
0.001667	0.1	0.006073
0.003333	0.1	0.007622
0.005000	0.1	0.009264
0.006667	0.1	0.002627
0.008333	0.1	-0.012384
0.010000	0.1	-0.027393
0.011667	0.1	-0.031034
0.013333	0.1	-0.025499
0.015000	0.1	-0.019510
0.016667	0.1	-0.018732
0.018333	0.1	-0.022374
0.020000	0.1	-0.025046
0.021667	0.1	-0.025082
0.023333	0.1	-0.022495
0.025000	0.1	-0.021057
0.026667	0.1	-0.021868
0.028333	0.1	-0.020727
0.030000	0.1	-0.018797
0.031667	0.1	-0.023634
0.033667	0.12	-0.032324
0.035400	0.104	-0.037612
0.037000	0.096	-0.036290
0.038667	0.1	-0.027178
0.040333	0.1	-0.021004
0.042000	0.1	-0.026284
0.043667	0.1	-0.035863
0.045333	0.1	-0.038302
0.047000	0.1	-0.036994
0.048667	0.1	-0.033955
0.050333	0.1	-0.026237
0.052000	0.1	-0.020386
0.053667	0.1	-0.017816
0.055333	0.1	-0.012250
0.057000	0.1	-0.009726
0.058667	0.1	-0.014930
0.060333	0.1	-0.017524
0.062000	0.1	-0.016935
0.063667	0.1	-0.018468
0.065750	0.125	-0.022173
0.067367	0.097	-0.020199
0.069033	0.1	-0.012072
0.070717	0.101	-0.002514
0.072367	0.099	0.006968
0.074033	0.1	0.018711
0.075700	0.1	0.030500
0.077367	0.1	0.033811
0.079033	0.1	0.025142
0.080700	0.1	0.010678
0.082367	0.1	-0.000537
0.084033	0.1	-0.008446
0.085700	0.1	-0.012903
0.087367	0.1	-0.009964
0.089033	0.1	-0.001254
0.090700	0.1	0.002620
0.092367	0.1	0.005097
0.094033	0.1	0.004602
0.095700	0.1	0.002658
0.097367	0.1	0.005058
0.099367	0.12	0.009143
0.101033	0.1	0.014986
0.102700	0.1	0.015941
0.104367	0.1	0.009037
0.106033	0.1	-0.002638
0.107700	0.1	-0.009202
0.109367	0.1	-0.007866
0.111033	0.1	0.002242
0.112700	0.1	0.016582
0.114350	0.099	0.028275
0.116017	0.1	0.035853
0.117683	0.1	0.043735
0.119350	0.1	0.048498
0.121017	0.1	0.048716
0.122683	0.1	0.051192
0.124350	0.1	0.060512
0.126017	0.1	0.073833
0.127683	0.1	0.077339
0.129350	0.1	0.066170
0.131000	0.099	0.053468
0.133000	0.12	0.044808
0.134667	0.1	0.046197
0.136333	0.1	0.054952
0.138017	0.101	0.058671
0.139717	0.102	0.054944
0.141333	0.097	0.039603
0.143000	0.1	0.014659
0.144667	0.1	-0.006857
0.146333	0.1	-0.015621
0.148000	0.1	-0.007920
0.149667	0.1	0.014733
0.151333	0.1	0.038328
0.153000	0.1	0.042802
0.154667	0.1	0.033380
0.156333	0.1	0.027296
