URL	chrom://farber-hplc/test001/Josh/Standards/1.8.24 Algorithm Rerun w different gradient.seq/673.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	1.8.24 Algorithm Rerun w different gradient
Name	0:0:0.5
Number	6
Position	RA6
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/8/2024 5:28:21 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003417
Time Max. (min)	65.003417
Data Points	19501
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-134,092.000000
Signal Max.	126,241.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /510 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003417	n.a.	0.000000
0.006750	0.2	0.000000
0.010083	0.2	0.000000
0.013417	0.2	0.000000
0.016750	0.2	0.000000
0.020083	0.2	-42.000000
0.023417	0.2	-157.000000
0.026750	0.2	-286.000000
0.030083	0.2	-523.000000
0.033417	0.2	-1,001.000000
0.036750	0.2	-1,800.000000
0.040083	0.2	-2,913.000000
0.043417	0.2	-4,178.000000
0.046750	0.2	-5,389.000000
0.050083	0.2	-6,457.000000
0.053417	0.2	-7,459.000000
0.056750	0.2	-8,389.000000
0.060083	0.2	-9,248.000000
0.063417	0.2	-10,102.000000
0.066750	0.2	-10,923.000000
0.070083	0.2	-11,627.000000
0.073417	0.2	-12,177.000000
0.076750	0.2	-12,469.000000
0.080083	0.2	-12,509.000000
0.083417	0.2	-12,406.000000
0.086750	0.2	-12,320.000000
0.090083	0.2	-12,339.000000
0.093417	0.2	-12,549.000000
0.096750	0.2	-12,975.000000
0.100083	0.2	-13,540.000000
0.103417	0.2	-14,119.000000
0.106750	0.2	-14,592.000000
0.110083	0.2	-14,852.000000
0.113417	0.2	-14,819.000000
0.116750	0.2	-14,541.000000
0.120083	0.2	-14,092.000000
0.123417	0.2	-13,571.000000
0.126750	0.2	-13,008.000000
0.130083	0.2	-12,427.000000
0.133417	0.2	-11,801.000000
0.136750	0.2	-11,233.000000
0.140083	0.2	-10,881.000000
0.143417	0.2	-10,812.000000
0.146750	0.2	-11,063.000000
0.150083	0.2	-11,616.000000
0.153417	0.2	-12,370.000000
0.156750	0.2	-13,186.000000
0.160083	0.2	-14,038.000000
0.163417	0.2	-14,950.000000
0.166750	0.2	-15,958.000000
0.170083	0.2	-17,020.000000
0.173417	0.2	-17,953.000000
0.176750	0.2	-18,521.000000
0.180083	0.2	-18,689.000000
0.183417	0.2	-18,540.000000
0.186750	0.2	-18,037.000000
0.190083	0.2	-17,191.000000
0.193417	0.2	-16,257.000000
0.196750	0.2	-15,512.000000
0.200083	0.2	-14,928.000000
0.203417	0.2	-14,302.000000
0.206750	0.2	-13,551.000000
0.210083	0.2	-12,725.000000
0.213417	0.2	-11,887.000000
0.216750	0.2	-11,025.000000
0.220083	0.2	-10,199.000000
0.223417	0.2	-9,595.000000
0.226750	0.2	-9,407.000000
0.230083	0.2	-9,738.000000
0.233417	0.2	-10,415.000000
0.236750	0.2	-11,248.000000
0.240083	0.2	-12,187.000000
0.243417	0.2	-13,118.000000
