URL	chrom://farber-hplc/test001/Josh/Standards/1.8.24 Algorithm Rerun w different gradient.seq/949.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.8.24 Algorithm Rerun w different gradient
Name	1:0.5:0.5
Number	9
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/8/2024 8:47:01 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.001400
Data Points	38603
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.392458
Signal Max.	67.832640
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103321

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.025226
0.001650	0.099	0.033245
0.003317	0.1	0.040421
0.004983	0.1	0.045438
0.006650	0.1	0.049439
0.008317	0.1	0.044610
0.009983	0.1	0.028097
0.011650	0.1	0.009098
0.013317	0.1	-0.002404
0.014983	0.1	-0.011531
0.016650	0.1	-0.020583
0.018317	0.1	-0.023528
0.019983	0.1	-0.016532
0.021650	0.1	0.002641
0.023317	0.1	0.024932
0.024983	0.1	0.034834
0.026650	0.1	0.023513
0.028317	0.1	-0.002845
0.030317	0.12	-0.024826
0.031983	0.1	-0.034557
0.033650	0.1	-0.041598
0.035317	0.1	-0.044631
0.036983	0.1	-0.040952
0.038650	0.1	-0.039127
0.040317	0.1	-0.046409
0.041983	0.1	-0.056756
0.043650	0.1	-0.061164
0.045317	0.1	-0.058260
0.046983	0.1	-0.050241
0.048650	0.1	-0.039458
0.050317	0.1	-0.027370
0.051983	0.1	-0.015088
0.053650	0.1	-0.012789
0.055317	0.1	-0.018945
0.056983	0.1	-0.023429
0.058650	0.1	-0.024007
0.060317	0.1	-0.019154
0.061983	0.1	-0.012706
0.063983	0.12	-0.013156
0.065667	0.101	-0.017381
0.067317	0.099	-0.019103
0.068983	0.1	-0.021452
0.070650	0.1	-0.030810
0.072317	0.1	-0.042288
0.073983	0.1	-0.053227
0.075650	0.1	-0.062584
0.077317	0.1	-0.061641
0.078983	0.1	-0.048259
0.080650	0.1	-0.036022
0.082317	0.1	-0.026361
