URL	chrom://farber-hplc/test001/Josh/Standards/1.8.24 Algorithm Rerun w different gradient.seq/949.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	1.8.24 Algorithm Rerun w different gradient
Name	1:0.5:0.5
Number	9
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/8/2024 8:47:01 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003317
Time Max. (min)	65.003317
Data Points	19501
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-115,222.000000
Signal Max.	119,642.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /510 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003317	n.a.	0.000000
0.006650	0.2	0.000000
0.009983	0.2	0.000000
0.013317	0.2	0.000000
0.016650	0.2	0.000000
0.019983	0.2	35.000000
0.023317	0.2	-18.000000
0.026650	0.2	-439.000000
0.029983	0.2	-1,308.000000
0.033317	0.2	-2,616.000000
0.036650	0.2	-4,261.000000
0.039983	0.2	-5,965.000000
0.043317	0.2	-7,409.000000
0.046650	0.2	-8,523.000000
0.049983	0.2	-9,384.000000
0.053317	0.2	-10,060.000000
0.056650	0.2	-10,792.000000
0.059983	0.2	-11,747.000000
0.063317	0.2	-12,987.000000
0.066650	0.2	-14,407.000000
0.069983	0.2	-15,766.000000
0.073317	0.2	-16,844.000000
0.076650	0.2	-17,397.000000
0.079983	0.2	-17,320.000000
0.083317	0.2	-16,786.000000
0.086650	0.2	-15,985.000000
0.089983	0.2	-14,997.000000
0.093317	0.2	-13,770.000000
0.096650	0.2	-12,326.000000
0.099983	0.2	-10,772.000000
0.103317	0.2	-9,274.000000
0.106650	0.2	-7,912.000000
0.109983	0.2	-6,602.000000
0.113317	0.2	-5,314.000000
0.116650	0.2	-4,165.000000
0.119983	0.2	-3,260.000000
0.123317	0.2	-2,607.000000
0.126650	0.2	-2,322.000000
0.129983	0.2	-2,521.000000
0.133317	0.2	-3,200.000000
0.136650	0.2	-4,221.000000
0.139983	0.2	-5,376.000000
0.143317	0.2	-6,512.000000
0.146650	0.2	-7,521.000000
0.149983	0.2	-8,288.000000
0.153317	0.2	-8,636.000000
0.156650	0.2	-8,515.000000
0.159983	0.2	-8,058.000000
0.163317	0.2	-7,391.000000
0.166650	0.2	-6,663.000000
0.169983	0.2	-6,063.000000
0.173317	0.2	-5,733.000000
0.176650	0.2	-5,628.000000
0.179983	0.2	-5,660.000000
0.183317	0.2	-5,735.000000
0.186650	0.2	-5,757.000000
0.189983	0.2	-5,752.000000
0.193317	0.2	-5,817.000000
0.196650	0.2	-5,999.000000
0.199983	0.2	-6,223.000000
0.203317	0.2	-6,440.000000
0.206650	0.2	-6,505.000000
0.209983	0.2	-6,282.000000
0.213317	0.2	-5,756.000000
0.216650	0.2	-4,911.000000
0.219983	0.2	-3,762.000000
0.223317	0.2	-2,479.000000
0.226650	0.2	-1,380.000000
0.229983	0.2	-617.000000
0.233317	0.2	-155.000000
0.236650	0.2	45.000000
0.239983	0.2	-48.000000
0.243317	0.2	-470.000000
0.246650	0.2	-1,112.000000
0.249983	0.2	-1,837.000000
0.253317	0.2	-2,604.000000
0.256650	0.2	-3,416.000000
0.259983	0.2	-4,265.000000
0.263317	0.2	-5,051.000000
0.266650	0.2	-5,635.000000
0.269983	0.2	-5,991.000000
0.273317	0.2	-6,268.000000
0.276650	0.2	-6,634.000000
0.279983	0.2	-7,126.000000
0.283317	0.2	-7,712.000000
0.286650	0.2	-8,327.000000
0.289983	0.2	-8,830.000000
0.293317	0.2	-9,168.000000
0.296650	0.2	-9,415.000000
0.299983	0.2	-9,607.000000
0.303317	0.2	-9,749.000000
0.306650	0.2	-9,847.000000
0.309983	0.2	-9,904.000000
0.313317	0.2	-9,925.000000
0.316650	0.2	-9,860.000000
0.319983	0.2	-9,670.000000
0.323317	0.2	-9,363.000000
0.326650	0.2	-9,091.000000
0.329983	0.2	-9,007.000000
0.333317	0.2	-9,160.000000
0.336650	0.2	-9,612.000000
0.339983	0.2	-10,413.000000
0.343317	0.2	-11,366.000000
0.346650	0.2	-12,137.000000
0.349983	0.2	-12,613.000000
0.353317	0.2	-12,753.000000
0.356650	0.2	-12,397.000000
0.359983	0.2	-11,414.000000
0.363317	0.2	-9,803.000000
0.366650	0.2	-7,762.000000
0.369983	0.2	-5,583.000000
0.373317	0.2	-3,606.000000
0.376650	0.2	-1,958.000000
0.379983	0.2	-720.000000
0.383317	0.2	117.000000
0.386650	0.2	649.000000
0.389983	0.2	952.000000
0.393317	0.2	990.000000
0.396650	0.2	781.000000
0.399983	0.2	449.000000
0.403317	0.2	139.000000
0.406650	0.2	-137.000000
0.409983	0.2	-387.000000
0.413317	0.2	-523.000000
0.416650	0.2	-557.000000
0.419983	0.2	-632.000000
0.423317	0.2	-876.000000
0.426650	0.2	-1,358.000000
0.429983	0.2	-1,956.000000
0.433317	0.2	-2,530.000000
0.436650	0.2	-3,093.000000
0.439983	0.2	-3,704.000000
0.443317	0.2	-4,410.000000
0.446650	0.2	-5,188.000000
0.449983	0.2	-6,036.000000
0.453317	0.2	-6,922.000000
0.456650	0.2	-7,828.000000
0.459983	0.2	-8,693.000000
0.463317	0.2	-9,448.000000
0.466650	0.2	-10,071.000000
0.469983	0.2	-10,657.000000
0.473317	0.2	-11,136.000000
0.476650	0.2	-11,343.000000
0.479983	0.2	-11,145.000000
0.483317	0.2	-10,454.000000
0.486650	0.2	-9,387.000000
0.489983	0.2	-8,209.000000
0.493317	0.2	-7,225.000000
0.496650	0.2	-6,655.000000
0.499983	0.2	-6,588.000000
0.503317	0.2	-6,956.000000
0.506650	0.2	-7,582.000000
0.509983	0.2	-8,259.000000
0.513317	0.2	-8,797.000000
0.516650	0.2	-9,159.000000
0.519983	0.2	-9,301.000000
0.523317	0.2	-9,275.000000
0.526650	0.2	-9,186.000000
0.529983	0.2	-9,034.000000
0.533317	0.2	-8,833.000000
0.536650	0.2	-8,656.000000
0.539983	0.2	-8,512.000000
0.543317	0.2	-8,285.000000
0.546650	0.2	-7,940.000000
0.549983	0.2	-7,492.000000
0.553317	0.2	-7,090.000000
0.556650	0.2	-6,864.000000
0.559983	0.2	-6,859.000000
0.563317	0.2	-6,958.000000
0.566650	0.2	-7,054.000000
0.569983	0.2	-7,049.000000
0.573317	0.2	-6,886.000000
0.576650	0.2	-6,548.000000
0.579983	0.2	-6,056.000000
0.583317	0.2	-5,473.000000
0.586650	0.2	-4,949.000000
0.589983	0.2	-4,579.000000
0.593317	0.2	-4,429.000000
0.596650	0.2	-4,522.000000
0.599983	0.2	-4,749.000000
0.603317	0.2	-5,066.000000
0.606650	0.2	-5,449.000000
0.609983	0.2	-5,789.000000
0.613317	0.2	-5,968.000000
0.616650	0.2	-6,036.000000
0.619983	0.2	-6,026.000000
0.623317	0.2	-5,823.000000
0.626650	0.2	-5,346.000000
0.629983	0.2	-4,654.000000
0.633317	0.2	-3,764.000000
0.636650	0.2	-2,614.000000
0.639983	0.2	-1,111.000000
0.643317	0.2	696.000000
0.646650	0.2	2,670.000000
0.649983	0.2	4,694.000000
0.653317	0.2	6,565.000000
0.656650	0.2	8,135.000000
0.659983	0.2	9,456.000000
0.663317	0.2	10,535.000000
0.666650	0.2	11,364.000000
0.669983	0.2	12,055.000000
0.673317	0.2	12,717.000000
0.676650	0.2	13,388.000000
0.679983	0.2	14,077.000000
0.683317	0.2	14,707.000000
0.686650	0.2	15,133.000000
0.689983	0.2	15,234.000000
0.693317	0.2	14,946.000000
0.696650	0.2	14,221.000000
0.699983	0.2	13,052.000000
0.703317	0.2	11,493.000000
0.706650	0.2	9,695.000000
0.709983	0.2	7,809.000000
0.713317	0.2	6,065.000000
0.716650	0.2	4,606.000000
0.719983	0.2	3,233.000000
0.723317	0.2	1,459.000000
0.726650	0.2	-1,569.000000
0.729983	0.2	-6,824.000000
0.733317	0.2	-14,844.000000
0.736650	0.2	-25,708.000000
0.739983	0.2	-39,024.000000
0.743317	0.2	-53,923.000000
0.746650	0.2	-69,315.000000
0.749983	0.2	-83,981.000000
0.753317	0.2	-96,756.000000
0.756650	0.2	-106,666.000000
0.759983	0.2	-112,948.000000
0.763317	0.2	-115,222.000000
0.766650	0.2	-113,418.000000
0.769983	0.2	-107,741.000000
0.773317	0.2	-98,769.000000
0.776650	0.2	-87,148.000000
0.779983	0.2	-73,533.000000
0.783317	0.2	-58,693.000000
0.786650	0.2	-43,577.000000
0.789983	0.2	-29,190.000000
0.793317	0.2	-16,281.000000
0.796650	0.2	-5,124.000000
0.799983	0.2	4,383.000000
0.803317	0.2	12,434.000000
0.806650	0.2	19,206.000000
0.809983	0.2	24,934.000000
0.813317	0.2	29,791.000000
0.816650	0.2	33,868.000000
0.819983	0.2	37,261.000000
0.823317	0.2	40,094.000000
0.826650	0.2	42,439.000000
0.829983	0.2	44,471.000000
0.833317	0.2	46,314.000000
0.836650	0.2	48,039.000000
0.839983	0.2	49,753.000000
0.843317	0.2	51,564.000000
0.846650	0.2	53,512.000000
0.849983	0.2	55,427.000000
0.853317	0.2	56,934.000000
0.856650	0.2	57,687.000000
0.859983	0.2	57,492.000000
0.863317	0.2	56,270.000000
0.866650	0.2	53,969.000000
0.869983	0.2	50,588.000000
0.873317	0.2	46,285.000000
0.876650	0.2	41,414.000000
0.879983	0.2	36,340.000000
0.883317	0.2	31,345.000000
0.886650	0.2	26,619.000000
0.889983	0.2	22,330.000000
0.893317	0.2	18,622.000000
0.896650	0.2	15,612.000000
0.899983	0.2	13,411.000000
0.903317	0.2	11,898.000000
0.906650	0.2	10,807.000000
0.909983	0.2	9,891.000000
0.913317	0.2	9,027.000000
0.916650	0.2	8,209.000000
0.919983	0.2	7,383.000000
0.923317	0.2	6,359.000000
0.926650	0.2	4,978.000000
0.929983	0.2	3,091.000000
0.933317	0.2	755.000000
0.936650	0.2	-1,762.000000
0.939983	0.2	-4,145.000000
0.943317	0.2	-6,175.000000
0.946650	0.2	-7,755.000000
0.949983	0.2	-8,787.000000
0.953317	0.2	-9,264.000000
0.956650	0.2	-9,191.000000
0.959983	0.2	-8,691.000000
0.963317	0.2	-8,016.000000
0.966650	0.2	-7,368.000000
0.969983	0.2	-6,800.000000
0.973317	0.2	-6,418.000000
0.976650	0.2	-6,272.000000
0.979983	0.2	-6,323.000000
0.983317	0.2	-6,564.000000
0.986650	0.2	-6,957.000000
0.989983	0.2	-7,333.000000
0.993317	0.2	-7,538.000000
0.996650	0.2	-7,427.000000
0.999983	0.2	-6,930.000000
1.003317	0.2	-6,041.000000
1.006650	0.2	-4,840.000000
1.009983	0.2	-3,621.000000
1.013317	0.2	-2,639.000000
1.016650	0.2	-2,103.000000
1.019983	0.2	-2,183.000000
1.023317	0.2	-2,742.000000
1.026650	0.2	-3,317.000000
1.029983	0.2	-3,642.000000
1.033317	0.2	-3,785.000000
1.036650	0.2	-3,844.000000
1.039983	0.2	-3,876.000000
1.043317	0.2	-3,970.000000
1.046650	0.2	-4,119.000000
1.049983	0.2	-4,162.000000
1.053317	0.2	-4,024.000000
1.056650	0.2	-3,762.000000
1.059983	0.2	-3,497.000000
1.063317	0.2	-3,381.000000
1.066650	0.2	-3,476.000000
1.069983	0.2	-3,708.000000
1.073317	0.2	-4,054.000000
1.076650	0.2	-4,547.000000
1.079983	0.2	-5,198.000000
1.083317	0.2	-5,999.000000
1.086650	0.2	-6,872.000000
1.089983	0.2	-7,660.000000
1.093317	0.2	-8,172.000000
1.096650	0.2	-8,388.000000
1.099983	0.2	-8,345.000000
1.103317	0.2	-8,065.000000
1.106650	0.2	-7,507.000000
1.109983	0.2	-6,776.000000
1.113317	0.2	-5,969.000000
1.116650	0.2	-5,163.000000
1.119983	0.2	-4,481.000000
1.123317	0.2	-4,096.000000
1.126650	0.2	-4,123.000000
1.129983	0.2	-4,522.000000
1.133317	0.2	-5,173.000000
1.136650	0.2	-5,926.000000
1.139983	0.2	-6,826.000000
1.143317	0.2	-7,905.000000
1.146650	0.2	-9,073.000000
1.149983	0.2	-10,168.000000
