URL	chrom://farber-hplc/test001/Josh/Standards/1.8.24 Algorithm Rerun w different gradient.seq/904.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.8.24 Algorithm Rerun w different gradient
Name	1:0:0
Number	3
Position	RA3
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/8/2024 2:09:39 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.001467
Data Points	38602
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.431958
Signal Max.	41.058090
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103593

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.024592
0.001650	0.099	-0.004524
0.003317	0.1	0.008571
0.004983	0.1	0.014134
0.006633	0.099	0.012645
0.008300	0.1	0.000889
0.009967	0.1	-0.014991
0.011633	0.1	-0.026621
0.013300	0.1	-0.036580
0.014967	0.1	-0.042434
0.016633	0.1	-0.036054
0.018300	0.1	-0.020663
0.019967	0.1	-0.010010
0.021633	0.1	-0.009518
0.023283	0.099	-0.017438
0.024950	0.1	-0.030964
0.026617	0.1	-0.041223
0.028283	0.1	-0.045361
0.029950	0.1	-0.055087
0.031967	0.121	-0.066116
0.033617	0.099	-0.068958
0.035283	0.1	-0.057935
0.036950	0.1	-0.040982
0.038617	0.1	-0.031614
0.040283	0.1	-0.039594
0.041950	0.1	-0.054630
0.043617	0.1	-0.060164
0.045283	0.1	-0.050440
0.046950	0.1	-0.033767
0.048617	0.1	-0.015408
0.050283	0.1	0.002176
0.051950	0.1	0.012420
0.053617	0.1	0.009637
0.055283	0.1	0.005094
0.056950	0.1	0.007288
0.058617	0.1	0.009670
0.060283	0.1	-0.004114
0.061950	0.1	-0.031618
0.063617	0.1	-0.053921
0.065633	0.121	-0.057046
0.067283	0.099	-0.041995
0.068950	0.1	-0.023696
0.070617	0.1	-0.016704
0.072283	0.1	-0.014417
0.073950	0.1	-0.011658
0.075617	0.1	-0.013197
0.077283	0.1	-0.022650
0.078950	0.1	-0.034373
0.080617	0.1	-0.039238
0.082283	0.1	-0.041678
0.083950	0.1	-0.044813
0.085617	0.1	-0.040591
0.087283	0.1	-0.036507
0.088950	0.1	-0.033222
0.090617	0.1	-0.026392
0.092283	0.1	-0.019467
0.093950	0.1	-0.015951
0.095617	0.1	-0.018038
0.097283	0.1	-0.026497
0.099367	0.125	-0.033304
0.100950	0.095	-0.027781
0.102617	0.1	-0.012300
0.104283	0.1	0.000198
0.105950	0.1	0.004891
0.107617	0.1	-0.003769
0.109283	0.1	-0.018340
0.110950	0.1	-0.029221
0.112617	0.1	-0.031948
0.114283	0.1	-0.025152
0.115950	0.1	-0.015224
0.117617	0.1	-0.002028
0.119283	0.1	0.010698
0.120950	0.1	0.016475
0.122650	0.102	0.012759
0.124317	0.1	0.004163
0.125983	0.1	-0.010086
0.127650	0.1	-0.020987
0.129317	0.1	-0.015672
0.130983	0.1	-0.002226
0.133000	0.121	0.005257
0.134650	0.099	0.000002
0.136317	0.1	-0.013641
0.138000	0.101	-0.017823
0.139650	0.099	-0.004752
0.141317	0.1	0.017253
0.142983	0.1	0.038921
0.144650	0.1	0.054874
0.146317	0.1	0.059495
0.147983	0.1	0.044703
0.149650	0.1	0.019313
0.151317	0.1	-0.001917
0.152983	0.1	-0.012997
0.154650	0.1	-0.017472
0.156317	0.1	-0.014538
0.157983	0.1	-0.004840
0.159650	0.1	-0.003270
0.161317	0.1	-0.013235
0.162983	0.1	-0.017970
0.164650	0.1	-0.012282
0.166650	0.12	0.003444
0.168317	0.1	0.022370
0.169983	0.1	0.036275
0.171650	0.1	0.044732
0.173300	0.099	0.046252
0.174967	0.1	0.035973
0.176633	0.1	0.019877
0.178300	0.1	0.007010
0.179967	0.1	-0.006925
0.181633	0.1	-0.016654
0.183300	0.1	-0.021659
0.184967	0.1	-0.019244
0.186633	0.1	-0.012347
0.188300	0.1	-0.008773
0.189950	0.099	-0.017208
0.191617	0.1	-0.032101
0.193283	0.1	-0.032480
0.194950	0.1	-0.014303
0.196617	0.1	0.010700
0.198283	0.1	0.031285
0.200283	0.12	0.039806
0.201950	0.1	0.037784
0.203617	0.1	0.029738
0.205283	0.1	0.022657
0.206950	0.1	0.022040
0.208617	0.1	0.025385
