URL	chrom://farber-hplc/test001/Josh/Standards/1.8.24 Algorithm Rerun w different gradient.seq/904.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	1.8.24 Algorithm Rerun w different gradient
Name	1:0:0
Number	3
Position	RA3
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/8/2024 2:09:39 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003417
Time Max. (min)	65.003417
Data Points	19501
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-104,431.000000
Signal Max.	142,408.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /510 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003417	n.a.	0.000000
0.006750	0.2	0.000000
0.010083	0.2	0.000000
0.013417	0.2	0.000000
0.016750	0.2	0.000000
0.020083	0.2	304.000000
0.023417	0.2	1,111.000000
0.026750	0.2	2,212.000000
0.030083	0.2	3,410.000000
0.033417	0.2	4,585.000000
0.036750	0.2	5,652.000000
0.040083	0.2	6,544.000000
0.043417	0.2	7,161.000000
0.046750	0.2	7,522.000000
0.050083	0.2	7,719.000000
0.053417	0.2	7,810.000000
0.056750	0.2	7,812.000000
0.060083	0.2	7,704.000000
0.063417	0.2	7,518.000000
0.066750	0.2	7,225.000000
0.070083	0.2	6,733.000000
0.073417	0.2	6,103.000000
0.076750	0.2	5,464.000000
0.080083	0.2	4,790.000000
0.083417	0.2	4,083.000000
0.086750	0.2	3,367.000000
0.090083	0.2	2,675.000000
0.093417	0.2	1,937.000000
0.096750	0.2	1,197.000000
0.100083	0.2	602.000000
0.103417	0.2	284.000000
0.106750	0.2	278.000000
0.110083	0.2	469.000000
0.113417	0.2	851.000000
0.116750	0.2	1,467.000000
0.120083	0.2	2,349.000000
0.123417	0.2	3,431.000000
0.126750	0.2	4,690.000000
0.130083	0.2	6,155.000000
0.133417	0.2	7,707.000000
0.136750	0.2	9,137.000000
0.140083	0.2	10,318.000000
0.143417	0.2	11,151.000000
0.146750	0.2	11,620.000000
0.150083	0.2	11,807.000000
0.153417	0.2	11,836.000000
0.156750	0.2	11,763.000000
0.160083	0.2	11,477.000000
0.163417	0.2	10,910.000000
0.166750	0.2	10,113.000000
0.170083	0.2	9,283.000000
0.173417	0.2	8,529.000000
0.176750	0.2	7,788.000000
0.180083	0.2	6,964.000000
0.183417	0.2	6,117.000000
0.186750	0.2	5,380.000000
0.190083	0.2	4,884.000000
0.193417	0.2	4,616.000000
0.196750	0.2	4,500.000000
0.200083	0.2	4,481.000000
0.203417	0.2	4,545.000000
0.206750	0.2	4,692.000000
0.210083	0.2	5,009.000000
0.213417	0.2	5,564.000000
0.216750	0.2	6,326.000000
0.220083	0.2	7,254.000000
0.223417	0.2	8,328.000000
0.226750	0.2	9,491.000000
0.230083	0.2	10,619.000000
0.233417	0.2	11,631.000000
0.236750	0.2	12,440.000000
0.240083	0.2	12,895.000000
0.243417	0.2	12,876.000000
0.246750	0.2	12,395.000000
0.250083	0.2	11,493.000000
0.253417	0.2	10,308.000000
0.256750	0.2	9,146.000000
