URL	chrom://farber-hplc/test001/Josh/Standards/1.8.24 Algorithm Rerun w different gradient.seq/844.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.8.24 Algorithm Rerun w different gradient
Name	Isopropanol Loading Blank
Number	1
Position	RA1
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/8/2024 11:57:10 AM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.001467
Data Points	38602
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.414674
Signal Max.	31.183500
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.095
Max. Step (s)	0.129
Average Step (s)	0.10103593

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.015249
0.001667	0.1	0.010977
0.003333	0.1	0.007665
0.005000	0.1	0.002402
0.006667	0.1	-0.005810
0.008333	0.1	-0.017160
0.010000	0.1	-0.027726
0.011667	0.1	-0.033288
0.013333	0.1	-0.037875
0.015000	0.1	-0.034910
0.016667	0.1	-0.018039
0.018350	0.101	-0.001651
0.020000	0.099	-0.000080
0.021667	0.1	-0.018846
0.023333	0.1	-0.047256
0.025000	0.1	-0.069053
0.026667	0.1	-0.077022
0.028717	0.123	-0.073561
0.030350	0.098	-0.065489
0.032000	0.099	-0.065213
0.033667	0.1	-0.077158
0.035333	0.1	-0.087358
0.037000	0.1	-0.084101
0.038667	0.1	-0.077514
0.040333	0.1	-0.072293
0.042000	0.1	-0.065345
0.043667	0.1	-0.058616
0.045333	0.1	-0.055796
0.047000	0.1	-0.054585
0.048667	0.1	-0.045094
0.050333	0.1	-0.027446
0.051983	0.099	-0.012934
0.053650	0.1	-0.007400
0.055317	0.1	-0.005108
0.056983	0.1	-0.004130
0.058650	0.1	-0.016522
0.060317	0.1	-0.032289
0.062333	0.121	-0.039365
0.063983	0.099	-0.035942
0.065650	0.1	-0.032099
0.067333	0.101	-0.036457
0.069000	0.1	-0.041825
