URL	chrom://farber-hplc/test001/Josh/Standards/1.8.24 Algorithm Rerun w different gradient.seq/844.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	1.8.24 Algorithm Rerun w different gradient
Name	Isopropanol Loading Blank
Number	1
Position	RA1
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/8/2024 11:57:10 AM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.006717
Time Max. (min)	65.003383
Data Points	19500
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-113,414.000000
Signal Max.	144,867.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /510 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.006717	n.a.	0.000000
0.010050	0.2	0.000000
0.013383	0.2	0.000000
0.016717	0.2	0.000000
0.020050	0.2	201.000000
0.023383	0.2	708.000000
0.026717	0.2	1,309.000000
0.030050	0.2	1,895.000000
0.033383	0.2	2,369.000000
0.036717	0.2	2,553.000000
0.040050	0.2	2,348.000000
0.043383	0.2	1,781.000000
0.046717	0.2	940.000000
0.050050	0.2	66.000000
0.053383	0.2	-529.000000
0.056717	0.2	-560.000000
0.060050	0.2	26.000000
0.063383	0.2	1,132.000000
0.066717	0.2	2,559.000000
0.070050	0.2	4,123.000000
0.073383	0.2	5,800.000000
0.076717	0.2	7,551.000000
0.080050	0.2	9,288.000000
0.083383	0.2	10,794.000000
0.086717	0.2	11,846.000000
0.090050	0.2	12,389.000000
0.093383	0.2	12,397.000000
0.096717	0.2	11,888.000000
0.100050	0.2	11,004.000000
0.103383	0.2	9,957.000000
0.106717	0.2	8,930.000000
0.110050	0.2	8,028.000000
0.113383	0.2	7,299.000000
0.116717	0.2	6,867.000000
0.120050	0.2	6,811.000000
0.123383	0.2	7,171.000000
0.126717	0.2	7,883.000000
0.130050	0.2	8,836.000000
