URL	chrom://farber-hplc/test001/Josh/Standards/1.9.24 Algorithm Rerun w different gradient Rep 2.seq/955.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.9.24 Algorithm Rerun w different gradient Rep 2
Name	0.5:0.5:0.5
Number	8
Position	RA8
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/9/2024 7:38:53 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000400
Data Points	38602
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.458090
Signal Max.	66.880420
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.128
Average Step (s)	0.10103427

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.020683
0.001683	0.101	0.013137
0.003333	0.099	-0.003173
0.005017	0.101	-0.022357
0.006667	0.099	-0.042105
0.008350	0.101	-0.060589
0.010000	0.099	-0.064864
0.011683	0.101	-0.047854
0.013333	0.099	-0.019099
0.015000	0.1	0.010937
0.016650	0.099	0.026060
0.018333	0.101	0.022607
0.019983	0.099	0.010166
0.021667	0.101	-0.005653
0.023317	0.099	-0.014380
0.025000	0.101	-0.016241
0.026650	0.099	-0.016376
0.028333	0.101	-0.015979
0.029983	0.099	-0.018699
0.031983	0.12	-0.028094
0.033650	0.1	-0.051392
0.035317	0.1	-0.076145
0.036983	0.1	-0.086343
0.038650	0.1	-0.080188
0.040317	0.1	-0.061476
0.041983	0.1	-0.044875
0.043650	0.1	-0.039896
0.045317	0.1	-0.042759
0.046983	0.1	-0.052057
0.048650	0.1	-0.058342
0.050317	0.1	-0.053241
0.051983	0.1	-0.045084
0.053650	0.1	-0.040088
0.055317	0.1	-0.038415
0.056983	0.1	-0.041750
0.058650	0.1	-0.044994
0.060317	0.1	-0.038410
0.061983	0.1	-0.026340
0.063983	0.12	-0.025656
0.065650	0.1	-0.036533
0.067317	0.1	-0.042479
0.068983	0.1	-0.036540
0.070733	0.105	-0.021805
0.072333	0.096	-0.012026
0.073983	0.099	-0.008435
0.075650	0.1	-0.002511
0.077317	0.1	0.003719
0.078983	0.1	0.003756
0.080650	0.1	0.002099
0.082317	0.1	-0.003757
0.083983	0.1	-0.009778
0.085650	0.1	-0.008963
0.087317	0.1	-0.005712
0.088983	0.1	-0.004931
0.090650	0.1	-0.006608
0.092317	0.1	-0.013601
0.093983	0.1	-0.018039
0.095650	0.1	-0.015195
0.097650	0.12	-0.010414
0.099367	0.103	-0.014553
0.100983	0.097	-0.021506
0.102650	0.1	-0.022237
0.104317	0.1	-0.029041
0.105983	0.1	-0.043920
0.107650	0.1	-0.052864
0.109317	0.1	-0.047738
0.110983	0.1	-0.028482
0.112650	0.1	-0.006791
0.114350	0.102	-0.000834
0.116017	0.1	-0.009126
0.117683	0.1	-0.016900
0.119350	0.1	-0.019644
0.121017	0.1	-0.021613
0.122683	0.1	-0.021680
0.124350	0.1	-0.014808
0.126017	0.1	-0.005582
0.127683	0.1	-0.003215
0.129350	0.1	-0.008123
0.131350	0.12	-0.018237
0.133017	0.1	-0.033407
0.134683	0.1	-0.048497
0.136350	0.1	-0.050540
0.138017	0.1	-0.044758
0.139683	0.1	-0.042208
0.141350	0.1	-0.041045
0.143017	0.1	-0.037116
0.144683	0.1	-0.035449
0.146350	0.1	-0.038673
0.148017	0.1	-0.037952
0.149683	0.1	-0.035320
0.151350	0.1	-0.032149
0.153017	0.1	-0.027258
0.154683	0.1	-0.021432
0.156350	0.1	-0.014614
0.158017	0.1	-0.014452
0.159683	0.1	-0.022346
0.161350	0.1	-0.028701
0.163017	0.1	-0.025691
0.165017	0.12	-0.015410
0.166683	0.1	-0.003129
0.168350	0.1	0.007199
0.170017	0.1	0.011198
0.171683	0.1	0.015261
0.173350	0.1	0.023704
0.175017	0.1	0.028460
0.176683	0.1	0.025855
0.178350	0.1	0.016112
0.180017	0.1	0.006707
0.181667	0.099	0.005213
0.183333	0.1	0.009985
0.185000	0.1	0.022138
0.186667	0.1	0.039473
0.188333	0.1	0.054112
0.190000	0.1	0.058210
0.191667	0.1	0.045630
0.193333	0.1	0.022954
0.195000	0.1	0.002279
0.197067	0.124	-0.006636
0.198733	0.1	0.002661
0.200400	0.1	0.018671
0.202067	0.1	0.028876
0.203733	0.1	0.028196
0.205400	0.1	0.022059
0.207067	0.1	0.014161
0.208733	0.1	0.006208
0.210400	0.1	0.011326
0.212067	0.1	0.031946
0.213733	0.1	0.047595
0.215433	0.102	0.044012
0.217100	0.1	0.031153
0.218767	0.1	0.023917
0.220433	0.1	0.018431
0.222100	0.1	0.008836
0.223767	0.1	0.001751
0.225433	0.1	0.002788
0.227100	0.1	0.005741
0.228767	0.1	0.002978
0.230767	0.12	-0.002621
0.232433	0.1	-0.004354
0.234133	0.102	-0.000869
0.235767	0.098	-0.000803
0.237433	0.1	-0.005497
0.239100	0.1	-0.008076
0.240767	0.1	-0.016799
0.242433	0.1	-0.023486
0.244100	0.1	-0.018532
0.245767	0.1	-0.019025
0.247433	0.1	-0.036108
0.249100	0.1	-0.053627
0.250767	0.1	-0.054962
0.252433	0.1	-0.040420
0.254100	0.1	-0.020431
0.255767	0.1	-0.001656
0.257433	0.1	0.002986
0.259100	0.1	-0.007106
0.260767	0.1	-0.014855
0.262433	0.1	-0.013337
0.264433	0.12	-0.004348
0.266083	0.099	0.009789
0.267767	0.101	0.025008
0.269417	0.099	0.029924
0.271083	0.1	0.022062
0.272750	0.1	0.002793
0.274417	0.1	-0.019499
0.276083	0.1	-0.034369
0.277750	0.1	-0.039263
0.279417	0.1	-0.029978
0.281067	0.099	-0.009424
0.282733	0.1	0.011685
0.284400	0.1	0.027777
0.286083	0.101	0.037141
0.287733	0.099	0.041990
0.289400	0.1	0.042432
0.291067	0.1	0.033258
0.292733	0.1	0.017241
0.294400	0.1	0.005976
0.296067	0.1	-0.000062
0.298083	0.121	-0.009096
0.299733	0.099	-0.018862
0.301417	0.101	-0.019056
0.303067	0.099	-0.005949
0.304750	0.101	0.005782
0.306400	0.099	0.009719
0.308083	0.101	0.005511
0.309733	0.099	0.002238
0.311417	0.101	0.002546
0.313067	0.099	0.003334
0.314750	0.101	-0.003621
0.316400	0.099	-0.019653
0.318083	0.101	-0.041598
0.319733	0.099	-0.056325
0.321417	0.101	-0.052840
0.323067	0.099	-0.035819
0.324733	0.1	-0.018860
0.326400	0.1	-0.005738
0.328083	0.101	0.006526
0.329733	0.099	0.012128
0.331733	0.12	0.006915
0.333433	0.102	-0.006053
0.335083	0.099	-0.018750
0.336733	0.099	-0.026129
0.338400	0.1	-0.031283
0.340067	0.1	-0.039429
0.341733	0.1	-0.051664
0.343400	0.1	-0.056909
0.345067	0.1	-0.053005
0.346733	0.1	-0.038550
