URL	chrom://farber-hplc/test001/Josh/Standards/1.9.24 Algorithm Rerun w different gradient Rep 2.seq/955.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	1.9.24 Algorithm Rerun w different gradient Rep 2
Name	0.5:0.5:0.5
Number	8
Position	RA8
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/9/2024 7:38:53 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003417
Time Max. (min)	65.003417
Data Points	19501
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-114,859.000000
Signal Max.	133,818.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /510 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003417	n.a.	0.000000
0.006750	0.2	0.000000
0.010083	0.2	0.000000
0.013417	0.2	0.000000
0.016750	0.2	0.000000
0.020083	0.2	-101.000000
0.023417	0.2	-345.000000
0.026750	0.2	-653.000000
0.030083	0.2	-870.000000
0.033417	0.2	-898.000000
0.036750	0.2	-753.000000
0.040083	0.2	-523.000000
0.043417	0.2	-234.000000
0.046750	0.2	150.000000
0.050083	0.2	640.000000
0.053417	0.2	1,136.000000
0.056750	0.2	1,543.000000
0.060083	0.2	1,916.000000
0.063417	0.2	2,384.000000
0.066750	0.2	3,078.000000
0.070083	0.2	4,015.000000
0.073417	0.2	5,065.000000
0.076750	0.2	6,116.000000
0.080083	0.2	7,121.000000
0.083417	0.2	7,990.000000
0.086750	0.2	8,778.000000
0.090083	0.2	9,548.000000
0.093417	0.2	10,296.000000
0.096750	0.2	10,880.000000
0.100083	0.2	11,042.000000
0.103417	0.2	10,653.000000
0.106750	0.2	9,777.000000
0.110083	0.2	8,570.000000
0.113417	0.2	7,229.000000
0.116750	0.2	6,057.000000
0.120083	0.2	5,383.000000
0.123417	0.2	5,328.000000
0.126750	0.2	5,763.000000
0.130083	0.2	6,423.000000
0.133417	0.2	7,025.000000
0.136750	0.2	7,384.000000
0.140083	0.2	7,419.000000
0.143417	0.2	7,083.000000
0.146750	0.2	6,529.000000
0.150083	0.2	5,876.000000
0.153417	0.2	5,130.000000
0.156750	0.2	4,390.000000
0.160083	0.2	3,737.000000
0.163417	0.2	3,205.000000
0.166750	0.2	2,842.000000
0.170083	0.2	2,677.000000
0.173417	0.2	2,576.000000
0.176750	0.2	2,408.000000
0.180083	0.2	2,187.000000
0.183417	0.2	2,038.000000
0.186750	0.2	2,067.000000
0.190083	0.2	2,222.000000
0.193417	0.2	2,427.000000
0.196750	0.2	2,700.000000
0.200083	0.2	2,892.000000
0.203417	0.2	2,928.000000
0.206750	0.2	2,983.000000
0.210083	0.2	3,120.000000
0.213417	0.2	3,342.000000
0.216750	0.2	3,661.000000
0.220083	0.2	4,028.000000
0.223417	0.2	4,303.000000
0.226750	0.2	4,373.000000
0.230083	0.2	4,127.000000
0.233417	0.2	3,530.000000
0.236750	0.2	2,593.000000
0.240083	0.2	1,544.000000
0.243417	0.2	680.000000
0.246750	0.2	224.000000
0.250083	0.2	309.000000
0.253417	0.2	932.000000
0.256750	0.2	2,049.000000
