URL	chrom://farber-hplc/test001/Josh/Standards/1.9.24 Algorithm Rerun w different gradient Rep 2.seq/656.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.9.24 Algorithm Rerun w different gradient Rep 2
Name	0.5:0.5:1
Number	11
Position	RB3
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min_end
Type	Unknown
Status	Finished
Inject Time	1/9/2024 10:57:35 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000983
Data Points	38603
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.467028
Signal Max.	56.895830
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.13
Average Step (s)	0.10103256

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.013728
0.001667	0.1	0.012538
0.003317	0.099	0.004931
0.004983	0.1	-0.006963
0.006650	0.1	-0.016622
0.008317	0.1	-0.019870
0.009983	0.1	-0.011921
0.011650	0.1	0.002721
0.013317	0.1	0.010640
0.014983	0.1	0.013077
0.016650	0.1	0.012295
0.018317	0.1	0.010601
0.019983	0.1	0.013810
0.021650	0.1	0.015856
0.023317	0.1	0.013936
0.024983	0.1	0.010250
0.026650	0.1	-0.001752
0.028317	0.1	-0.021191
0.029983	0.1	-0.037279
0.031983	0.12	-0.039344
0.033650	0.1	-0.031767
0.035317	0.1	-0.027876
0.037000	0.101	-0.034773
0.038650	0.099	-0.045296
0.040317	0.1	-0.049967
0.041983	0.1	-0.045199
0.043650	0.1	-0.032939
0.045317	0.1	-0.021954
0.046983	0.1	-0.018453
0.048650	0.1	-0.014580
0.050317	0.1	-0.005492
0.051983	0.1	0.000371
0.053650	0.1	-0.003041
0.055317	0.1	-0.009365
0.056983	0.1	-0.011648
0.058650	0.1	-0.011120
0.060317	0.1	-0.009276
0.061983	0.1	-0.004516
0.064000	0.121	0.003597
0.065650	0.099	0.012593
0.067317	0.1	0.013527
0.069000	0.101	0.005622
0.070650	0.099	-0.009680
0.072317	0.1	-0.022772
0.073983	0.1	-0.027233
0.075650	0.1	-0.020378
0.077317	0.1	-0.011130
0.078983	0.1	-0.001940
0.080650	0.1	0.008941
0.082317	0.1	0.021824
0.083983	0.1	0.033430
0.085650	0.1	0.035928
0.087350	0.102	0.029389
0.089017	0.1	0.017291
0.090683	0.1	-0.000902
0.092350	0.1	-0.015361
0.094017	0.1	-0.020504
0.095683	0.1	-0.016253
0.097700	0.121	-0.008231
0.099350	0.099	0.001408
0.101017	0.1	0.009044
0.102683	0.1	0.008283
0.104350	0.1	-0.001308
0.106017	0.1	-0.013297
0.107683	0.1	-0.018981
0.109350	0.1	-0.012795
0.111017	0.1	0.003497
0.112683	0.1	0.020256
0.114350	0.1	0.032823
0.116017	0.1	0.034109
0.117683	0.1	0.028637
0.119350	0.1	0.025545
0.121017	0.1	0.023787
0.122683	0.1	0.021344
0.124350	0.1	0.018084
0.126017	0.1	0.017659
0.127683	0.1	0.022722
0.129350	0.1	0.026357
0.131350	0.12	0.022308
0.133017	0.1	0.011667
0.134683	0.1	0.001094
0.136333	0.099	-0.005119
0.138000	0.1	-0.007303
0.139667	0.1	-0.003120
0.141333	0.1	0.001598
0.143017	0.101	-0.001147
0.144667	0.099	-0.000468
0.146333	0.1	0.010632
0.148000	0.1	0.013945
0.149667	0.1	-0.003953
0.151333	0.1	-0.028299
0.152983	0.099	-0.040125
0.154650	0.1	-0.042174
0.156317	0.1	-0.050605
0.157983	0.1	-0.055873
0.159650	0.1	-0.042088
0.161317	0.1	-0.015980
0.162983	0.1	0.005656
0.165000	0.121	0.018613
0.166667	0.1	0.027786
0.168317	0.099	0.035400
0.170017	0.102	0.044013
0.171650	0.098	0.044326
0.173333	0.101	0.035386
0.174983	0.099	0.033499
0.176650	0.1	0.030301
0.178317	0.1	0.013558
0.179983	0.1	-0.011846
0.181650	0.1	-0.037067
0.183317	0.1	-0.051195
0.184983	0.1	-0.044140
0.186650	0.1	-0.020690
0.188317	0.1	0.008746
0.189983	0.1	0.033751
0.191650	0.1	0.040622
0.193317	0.1	0.033193
0.194983	0.1	0.016233
0.196650	0.1	-0.010260
0.198667	0.121	-0.032872
0.200317	0.099	-0.035686
0.202000	0.101	-0.019785
0.203650	0.099	-0.008446
0.205333	0.101	-0.005135
0.206983	0.099	-0.001791
0.208650	0.1	-0.001543
0.210317	0.1	-0.001433
0.212000	0.101	0.011792
0.213650	0.099	0.034405
0.215333	0.101	0.042674
0.216983	0.099	0.027880
0.218650	0.1	0.008913
0.220317	0.1	-0.001746
0.221983	0.1	-0.006347
0.223650	0.1	-0.006874
0.225317	0.1	-0.009578
0.226983	0.1	-0.016184
0.228650	0.1	-0.021045
0.230317	0.1	-0.016142
0.232317	0.12	-0.004346
0.233983	0.1	0.009698
0.235650	0.1	0.017592
0.237317	0.1	0.023285
0.238983	0.1	0.028799
0.240650	0.1	0.029121
0.242383	0.104	0.030756
0.243983	0.096	0.032596
0.245650	0.1	0.026897
0.247317	0.1	0.012826
0.248983	0.1	-0.009734
0.250650	0.1	-0.029534
0.252317	0.1	-0.031939
0.254017	0.102	-0.025306
0.255683	0.1	-0.020387
0.257350	0.1	-0.017172
0.259017	0.1	-0.005591
0.260683	0.1	0.006768
0.262350	0.1	0.002888
0.264400	0.123	-0.010373
0.266100	0.102	-0.021683
0.267750	0.099	-0.024023
0.269417	0.1	-0.017147
0.271067	0.099	-0.007879
0.272733	0.1	0.000487
0.274400	0.1	0.006316
0.276067	0.1	0.013123
0.277733	0.1	0.017355
0.279400	0.1	0.019081
0.281067	0.1	0.022330
0.282733	0.1	0.028896
0.284400	0.1	0.043130
0.286067	0.1	0.063093
0.287733	0.1	0.080735
0.289400	0.1	0.092712
0.291067	0.1	0.096589
0.292733	0.1	0.092915
0.294400	0.1	0.081092
0.296067	0.1	0.064410
0.298083	0.121	0.052341
0.299733	0.099	0.044245
0.301400	0.1	0.037185
0.303067	0.1	0.027461
0.304733	0.1	0.018095
0.306400	0.1	0.019685
0.308067	0.1	0.027871
0.309750	0.101	0.035694
0.311400	0.099	0.040151
0.313067	0.1	0.030942
0.314733	0.1	0.014448
0.316400	0.1	-0.000334
0.318067	0.1	-0.005285
0.319733	0.1	-0.007388
0.321400	0.1	-0.005579
0.323067	0.1	0.006980
0.324733	0.1	0.017353
0.326400	0.1	0.017354
0.328067	0.1	0.012334
0.329733	0.1	0.004952
0.331733	0.12	0.004253
0.333400	0.1	0.014109
0.335067	0.1	0.025492
0.336733	0.1	0.029642
0.338450	0.103	0.019942
0.340067	0.097	0.007803
0.341733	0.1	0.004681
0.343400	0.1	0.017112
0.345067	0.1	0.029350
0.346733	0.1	0.029120
0.348400	0.1	0.023928
0.350067	0.1	0.022374
0.351733	0.1	0.031345
0.353400	0.1	0.043789
0.355067	0.1	0.044648
0.356733	0.1	0.035435
0.358400	0.1	0.020459
0.360067	0.1	0.004174
0.361733	0.1	-0.010086
0.363400	0.1	-0.021839
0.365467	0.124	-0.030862
0.367067	0.096	-0.032335
0.368733	0.1	-0.022905
0.370450	0.103	-0.003907
0.372100	0.099	0.017408
0.373767	0.1	0.038868
0.375433	0.1	0.049307
0.377100	0.1	0.040994
0.378767	0.1	0.024793
0.380433	0.1	0.011756
0.382100	0.1	0.007022
0.383767	0.1	0.008138
0.385433	0.1	0.015002
0.387100	0.1	0.022855
0.388767	0.1	0.028735
0.390433	0.1	0.029698
0.392100	0.1	0.027317
0.393767	0.1	0.023629
0.395433	0.1	0.014277
0.397100	0.1	-0.002110
0.399133	0.122	-0.012419
0.400767	0.098	-0.017750
0.402433	0.1	-0.026872
0.404100	0.1	-0.027151
0.405767	0.1	-0.010700
0.407433	0.1	0.012305
0.409100	0.1	0.023148
0.410767	0.1	0.017817
0.412433	0.1	0.006365
0.414100	0.1	0.000957
0.415767	0.1	0.010104
0.417433	0.1	0.028970
0.419100	0.1	0.045021
0.420750	0.099	0.039404
0.422417	0.1	0.019360
0.424083	0.1	0.004545
0.425750	0.1	0.004841
0.427417	0.1	0.005762
0.429083	0.1	0.002428
0.430750	0.1	0.008088
0.432750	0.12	0.022172
0.434417	0.1	0.029677
0.436067	0.099	0.032715
0.437733	0.1	0.037822
0.439400	0.1	0.044028
0.441067	0.1	0.050742
0.442733	0.1	0.061382
0.444400	0.1	0.069371
0.446067	0.1	0.068321
0.447733	0.1	0.056550
0.449400	0.1	0.029774
0.451067	0.1	0.005682
0.452733	0.1	-0.005510
0.454400	0.1	-0.007903
0.456067	0.1	-0.009954
0.457733	0.1	-0.024307
0.459400	0.1	-0.036241
0.461083	0.101	-0.026105
0.462733	0.099	-0.001368
0.464750	0.121	0.021161
0.466400	0.099	0.039076
0.468067	0.1	0.049023
0.469733	0.1	0.052239
0.471400	0.1	0.048708
0.473067	0.1	0.032072
0.474733	0.1	0.009779
0.476417	0.101	0.000184
0.478067	0.099	0.006378
0.479733	0.1	0.015529
0.481400	0.1	0.019605
0.483067	0.1	0.018731
0.484733	0.1	0.012836
0.486400	0.1	0.004395
0.488067	0.1	-0.004922
0.489733	0.1	-0.015545
0.491400	0.1	-0.019486
0.493083	0.101	-0.007180
0.494733	0.099	0.009614
0.496400	0.1	0.014574
0.498400	0.12	0.018077
0.500067	0.1	0.026400
0.501750	0.101	0.031030
0.503467	0.103	0.027922
0.505067	0.096	0.024436
0.506733	0.1	0.025218
0.508400	0.1	0.030429
0.510067	0.1	0.032270
0.511733	0.1	0.030993
0.513400	0.1	0.026852
0.515067	0.1	0.017942
0.516733	0.1	0.013473
0.518400	0.1	0.015606
0.520067	0.1	0.018154
0.521733	0.1	0.011444
0.523400	0.1	0.009688
0.525067	0.1	0.025298
0.526733	0.1	0.044480
0.528400	0.1	0.057868
0.530067	0.1	0.068465
0.532067	0.12	0.072912
0.533800	0.104	0.058421
0.535400	0.096	0.031496
0.537100	0.102	0.013229
0.538767	0.1	0.007187
0.540433	0.1	0.000181
0.542100	0.1	-0.015875
0.543767	0.1	-0.024112
0.545433	0.1	-0.020228
0.547100	0.1	-0.016918
0.548767	0.1	-0.012138
0.550433	0.1	-0.002780
0.552100	0.1	0.007619
0.553767	0.1	0.019362
0.555433	0.1	0.024274
0.557100	0.1	0.022497
0.558767	0.1	0.026398
0.560433	0.1	0.037569
0.562100	0.1	0.045852
0.563767	0.1	0.042538
0.565800	0.122	0.033400
0.567433	0.098	0.022245
0.569100	0.1	0.008151
0.570783	0.101	-0.012237
0.572433	0.099	-0.022851
0.574100	0.1	-0.022181
0.575767	0.1	-0.017989
0.577433	0.1	-0.008058
0.579100	0.1	0.009120
0.580767	0.1	0.024812
0.582433	0.1	0.031640
0.584100	0.1	0.031035
0.585767	0.1	0.021054
0.587417	0.099	0.009931
0.589083	0.1	0.004340
0.590750	0.1	0.005483
0.592417	0.1	0.005763
0.594083	0.1	0.003002
0.595750	0.1	0.001933
0.597417	0.1	0.009807
0.599417	0.12	0.018643
0.601083	0.1	0.022674
0.602733	0.099	0.019781
0.604400	0.1	0.013356
0.606067	0.1	0.013313
0.607733	0.1	0.020975
0.609400	0.1	0.020302
0.611067	0.1	0.005637
0.612733	0.1	-0.008379
0.614400	0.1	-0.004665
0.616067	0.1	0.010582
0.617733	0.1	0.019913
0.619400	0.1	0.022238
0.621067	0.1	0.025119
0.622733	0.1	0.026944
0.624400	0.1	0.023167
0.626067	0.1	0.016642
0.627750	0.101	0.009378
0.629400	0.099	0.005994
0.631067	0.1	0.008175
0.633067	0.12	0.010852
0.634767	0.102	0.009102
0.636433	0.1	0.005922
0.638067	0.098	0.004949
0.639733	0.1	0.005833
0.641400	0.1	0.007524
0.643083	0.101	0.009654
0.644733	0.099	0.002998
0.646400	0.1	-0.017006
0.648067	0.1	-0.025614
0.649733	0.1	-0.012340
0.651400	0.1	0.015943
0.653067	0.1	0.037175
0.654733	0.1	0.035880
0.656400	0.1	0.021187
0.658067	0.1	0.015632
0.659750	0.101	0.029726
0.661400	0.099	0.054594
0.663067	0.1	0.076520
0.665100	0.122	0.100202
0.666733	0.098	0.151425
0.668400	0.1	0.281174
0.670067	0.1	0.532646
0.671750	0.101	0.928761
0.673400	0.099	1.499568
0.675067	0.1	2.263041
0.676733	0.1	3.246173
0.678400	0.1	4.432957
0.680067	0.1	5.761216
0.681733	0.1	7.199092
0.683400	0.1	8.750552
0.685067	0.1	10.391390
0.686733	0.1	12.046760
0.688400	0.1	13.553950
0.690067	0.1	14.860390
0.691733	0.1	15.995830
0.693400	0.1	17.059180
0.695067	0.1	18.162210
0.696733	0.1	19.390180
0.698733	0.12	20.789250
0.700400	0.1	22.119600
0.702067	0.1	23.109420
0.703733	0.1	23.688370
0.705400	0.1	23.991340
0.707067	0.1	24.138090
0.708733	0.1	24.350540
0.710400	0.1	24.711080
0.712067	0.1	25.075130
0.713733	0.1	25.322300
0.715400	0.1	25.485310
0.717067	0.1	25.635510
0.718733	0.1	25.968790
0.720433	0.102	26.568160
0.722100	0.1	27.143020
0.723767	0.1	27.229780
0.725433	0.1	26.923380
0.727100	0.1	26.613260
0.728767	0.1	26.449170
0.730433	0.1	26.440350
0.732450	0.121	26.670970
0.734100	0.099	27.211560
0.735767	0.1	27.821310
0.737433	0.1	28.531450
0.739100	0.1	29.398850
0.740767	0.1	30.340230
0.742433	0.1	31.123860
0.744100	0.1	31.738900
0.745767	0.1	32.313310
0.747433	0.1	32.934510
0.749100	0.1	33.550780
0.750767	0.1	33.884110
0.752433	0.1	34.052400
0.754100	0.1	34.657850
0.755767	0.1	35.893490
0.757433	0.1	37.382420
0.759100	0.1	38.778720
0.760767	0.1	39.950440
0.762433	0.1	41.093220
0.764100	0.1	42.509230
0.766100	0.12	44.087710
0.767767	0.1	45.570750
0.769433	0.1	46.892100
0.771083	0.099	48.139760
0.772750	0.1	49.177090
0.774417	0.1	50.055350
0.776083	0.1	50.875050
0.777750	0.1	51.384940
0.779417	0.1	51.672960
0.781083	0.1	51.960110
0.782750	0.1	52.401920
0.784417	0.1	53.240510
0.786067	0.099	54.441840
0.787733	0.1	55.507200
0.789400	0.1	56.151480
0.791067	0.1	56.495080
0.792733	0.1	56.634570
0.794417	0.101	56.705570
0.796067	0.099	56.812580
0.797733	0.1	56.895830
0.799733	0.12	56.596730
0.801417	0.101	55.648520
0.803067	0.099	54.103940
0.804750	0.101	52.499070
0.806400	0.099	51.207300
0.808067	0.1	50.387580
0.809750	0.101	50.139560
0.811417	0.1	50.025940
0.813067	0.099	49.825570
0.814733	0.1	49.486390
0.816400	0.1	48.910750
0.818067	0.1	48.363580
0.819733	0.1	47.968910
0.821400	0.1	47.775000
0.823067	0.1	47.714310
0.824750	0.101	47.514310
0.826417	0.1	47.082700
0.828067	0.099	46.534500
0.829783	0.103	45.918560
0.831417	0.098	45.257280
0.833517	0.126	44.559220
0.835183	0.1	43.690900
0.836867	0.101	42.695440
0.838550	0.101	41.775000
0.840233	0.101	41.395960
0.841900	0.1	41.563980
0.843567	0.1	41.648670
0.845233	0.1	41.083130
0.846900	0.1	40.029960
0.848567	0.1	38.959530
0.850233	0.1	38.215010
0.851900	0.1	37.856000
0.853567	0.1	37.756090
0.855250	0.101	37.735870
0.856900	0.099	37.475520
0.858567	0.1	37.090050
0.860233	0.1	36.872020
0.861900	0.1	36.731990
0.863567	0.1	36.451240
0.865567	0.12	36.025030
0.867233	0.1	35.666110
0.868900	0.1	35.326760
0.870583	0.101	34.817600
0.872233	0.099	34.149360
0.873900	0.1	33.482560
0.875567	0.1	32.755450
0.877233	0.1	32.083060
0.878900	0.1	31.609210
0.880567	0.1	31.128940
0.882233	0.1	30.758550
0.883900	0.1	30.639750
0.885567	0.1	30.665410
0.887233	0.1	30.560540
0.888900	0.1	30.357620
0.890567	0.1	30.231770
0.892233	0.1	30.174510
0.893900	0.1	30.046300
0.895567	0.1	29.818800
0.897233	0.1	29.488280
0.899233	0.12	29.192570
0.900900	0.1	28.841740
0.902583	0.101	28.211330
0.904233	0.099	27.432590
0.905900	0.1	27.076380
0.907567	0.1	27.140180
0.909233	0.1	27.019040
0.910900	0.1	26.513280
0.912567	0.1	26.025070
0.914233	0.1	25.779160
0.915900	0.1	25.786850
0.917567	0.1	25.765780
0.919233	0.1	25.607810
0.920933	0.102	25.669540
0.922600	0.1	26.065080
0.924267	0.1	26.562140
0.925933	0.1	26.847430
0.927600	0.1	26.900190
0.929267	0.1	26.859420
0.930933	0.1	26.700970
0.932933	0.12	26.438440
0.934617	0.101	26.225460
0.936300	0.101	26.108050
0.937967	0.1	25.962660
0.939600	0.098	25.823050
0.941283	0.101	25.690990
0.942933	0.099	25.412880
0.944617	0.101	25.094690
0.946267	0.099	24.913820
0.947950	0.101	24.822130
0.949600	0.099	24.809850
0.951283	0.101	24.876840
0.952933	0.099	24.947820
0.954617	0.101	24.941090
0.956267	0.099	25.031980
0.957950	0.101	25.336700
0.959600	0.099	25.613340
0.961283	0.101	25.545200
0.962933	0.099	25.182640
0.964617	0.101	24.706390
0.966600	0.119	24.322510
0.968300	0.102	24.159990
0.969933	0.098	24.230240
0.971583	0.099	24.291700
0.973250	0.1	24.202070
0.974917	0.1	23.986500
0.976583	0.1	23.792360
0.978250	0.1	23.751220
0.979917	0.1	23.866480
0.981583	0.1	23.965890
0.983250	0.1	23.850360
0.984917	0.1	23.708960
0.986567	0.099	23.546270
0.988233	0.1	23.302990
0.989900	0.1	23.252690
0.991567	0.1	23.331180
0.993233	0.1	23.293080
0.994900	0.1	23.118350
0.996567	0.1	22.832470
0.998583	0.121	22.541530
1.000233	0.099	22.295740
1.001933	0.102	22.257460
1.003567	0.098	22.452480
1.005250	0.101	22.598180
1.006900	0.099	22.595860
1.008567	0.1	22.554480
1.010233	0.1	22.602010
1.011900	0.1	22.678530
1.013567	0.1	22.695800
1.015233	0.1	22.665150
1.016900	0.1	22.649730
1.018567	0.1	22.478400
1.020233	0.1	22.149000
1.021900	0.1	21.755880
1.023567	0.1	21.247230
1.025233	0.1	20.813800
1.026900	0.1	20.659860
1.028567	0.1	20.677740
1.030250	0.101	20.750820
1.032267	0.121	20.921160
1.033900	0.098	21.184630
1.035567	0.1	21.415910
1.037250	0.101	21.371640
1.038900	0.099	21.232980
1.040567	0.1	21.134860
1.042233	0.1	21.145670
1.043900	0.1	21.301800
1.045567	0.1	21.543940
1.047233	0.1	21.653670
1.048900	0.1	21.569500
1.050567	0.1	21.387680
1.052233	0.1	21.189670
1.053900	0.1	20.833300
1.055567	0.1	20.426770
1.057233	0.1	20.212140
1.058900	0.1	20.085900
1.060567	0.1	19.927070
1.062233	0.1	19.800480
1.063900	0.1	19.824920
1.065900	0.12	19.864900
1.067583	0.101	19.857590
1.069233	0.099	19.890790
1.070900	0.1	20.074940
1.072567	0.1	20.368110
1.074233	0.1	20.712230
1.075917	0.101	21.072090
1.077567	0.099	21.226110
1.079233	0.1	21.081070
1.080900	0.1	20.810440
1.082567	0.1	20.682590
1.084233	0.1	20.748720
1.085900	0.1	20.914650
1.087567	0.1	21.053380
1.089233	0.1	21.107270
1.090900	0.1	20.919690
1.092567	0.1	20.643760
1.094233	0.1	20.445970
1.095900	0.1	20.236950
1.097567	0.1	19.988960
1.099567	0.12	19.749930
1.101250	0.101	19.570970
1.102900	0.099	19.532470
1.104583	0.101	19.636340
1.106233	0.099	19.823220
1.107900	0.1	19.956810
1.109567	0.1	20.081560
1.111250	0.101	20.135310
1.112900	0.099	19.962400
1.114583	0.101	19.685080
1.116233	0.099	19.459920
1.117917	0.101	19.378960
1.119567	0.099	19.426380
1.121250	0.101	19.472090
1.122900	0.099	19.451870
1.124583	0.101	19.358220
1.126233	0.099	19.201910
1.127917	0.101	19.072950
1.129567	0.099	19.070730
1.131250	0.101	19.112180
1.133233	0.119	19.109200
1.134900	0.1	18.990490
1.136567	0.1	18.730820
1.138233	0.1	18.453830
1.139900	0.1	18.326740
1.141567	0.1	18.402140
1.143233	0.1	18.429590
1.144900	0.1	18.311160
1.146567	0.1	18.222160
1.148233	0.1	18.183290
1.149900	0.1	18.168210
1.151567	0.1	18.222420
1.153233	0.1	18.375220
1.154900	0.1	18.590390
1.156567	0.1	18.755980
1.158233	0.1	18.681650
1.159900	0.1	18.411170
1.161567	0.1	18.064080
