URL	chrom://farber-hplc/test001/Josh/Standards/1.9.24 Algorithm Rerun w different gradient Rep 2.seq/879.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.9.24 Algorithm Rerun w different gradient Rep 2
Name	0.5:0:0
Number	2
Position	RA2
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/9/2024 1:01:29 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000317
Data Points	38600
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.451416
Signal Max.	19.895930
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103938

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.011921
0.001667	0.1	-0.014920
0.003333	0.1	-0.010312
0.005000	0.1	-0.006258
0.006667	0.1	-0.002956
0.008333	0.1	-0.005553
0.009983	0.099	-0.010223
0.011650	0.1	-0.013428
0.013317	0.1	-0.019776
0.014983	0.1	-0.031480
0.016667	0.101	-0.041663
0.018317	0.099	-0.044057
0.019983	0.1	-0.047475
0.021650	0.1	-0.054085
0.023317	0.1	-0.051472
0.024983	0.1	-0.044058
0.026650	0.1	-0.044401
0.028317	0.1	-0.061548
0.030317	0.12	-0.079895
0.031983	0.1	-0.079635
0.033650	0.1	-0.066138
0.035333	0.101	-0.052694
0.036983	0.099	-0.041149
0.038650	0.1	-0.033690
0.040317	0.1	-0.036725
0.041983	0.1	-0.044783
0.043650	0.1	-0.044426
0.045317	0.1	-0.038785
0.046983	0.1	-0.034727
0.048650	0.1	-0.030424
0.050317	0.1	-0.022326
0.051983	0.1	-0.013104
0.053650	0.1	-0.009145
0.055317	0.1	-0.009925
0.056983	0.1	-0.014558
0.058650	0.1	-0.026889
0.060317	0.1	-0.037500
