URL	chrom://farber-hplc/test001/Josh/Standards/1.9.24 Algorithm Rerun w different gradient Rep 2.seq/879.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	1.9.24 Algorithm Rerun w different gradient Rep 2
Name	0.5:0:0
Number	2
Position	RA2
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/9/2024 1:01:29 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003383
Time Max. (min)	65.003383
Data Points	19501
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-133,383.000000
Signal Max.	122,753.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /510 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003383	n.a.	0.000000
0.006717	0.2	0.000000
0.010050	0.2	0.000000
0.013383	0.2	0.000000
0.016717	0.2	0.000000
0.020050	0.2	6.000000
0.023383	0.2	-14.000000
0.026717	0.2	-118.000000
0.030050	0.2	-297.000000
0.033383	0.2	-493.000000
0.036717	0.2	-595.000000
0.040050	0.2	-648.000000
0.043383	0.2	-718.000000
0.046717	0.2	-896.000000
0.050050	0.2	-1,220.000000
0.053383	0.2	-1,655.000000
0.056717	0.2	-2,228.000000
0.060050	0.2	-2,975.000000
0.063383	0.2	-3,976.000000
0.066717	0.2	-5,196.000000
0.070050	0.2	-6,549.000000
0.073383	0.2	-8,032.000000
0.076717	0.2	-9,510.000000
0.080050	0.2	-10,783.000000
0.083383	0.2	-11,599.000000
0.086717	0.2	-11,776.000000
0.090050	0.2	-11,264.000000
0.093383	0.2	-10,316.000000
0.096717	0.2	-9,256.000000
0.100050	0.2	-8,244.000000
0.103383	0.2	-7,232.000000
0.106717	0.2	-6,159.000000
0.110050	0.2	-5,122.000000
0.113383	0.2	-4,299.000000
0.116717	0.2	-3,826.000000
