URL	chrom://farber-hplc/test001/Josh/Standards/1.9.24 Algorithm Rerun w different gradient Rep 2.seq/711.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	1.9.24 Algorithm Rerun w different gradient Rep 2
Name	0.5:1:0.5
Number	10
Position	RB2
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/9/2024 9:51:21 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003350
Time Max. (min)	65.003350
Data Points	19501
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-88,065.000000
Signal Max.	138,967.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /510 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003350	n.a.	0.000000
0.006683	0.2	0.000000
0.010017	0.2	0.000000
0.013350	0.2	0.000000
0.016683	0.2	0.000000
0.020017	0.2	104.000000
0.023350	0.2	371.000000
0.026683	0.2	743.000000
0.030017	0.2	1,175.000000
0.033350	0.2	1,573.000000
0.036683	0.2	1,825.000000
0.040017	0.2	1,992.000000
0.043350	0.2	2,257.000000
0.046683	0.2	2,700.000000
0.050017	0.2	3,325.000000
0.053350	0.2	3,979.000000
0.056683	0.2	4,458.000000
0.060017	0.2	4,754.000000
0.063350	0.2	4,918.000000
0.066683	0.2	5,032.000000
0.070017	0.2	5,156.000000
0.073350	0.2	5,233.000000
0.076683	0.2	5,042.000000
0.080017	0.2	4,508.000000
0.083350	0.2	3,780.000000
0.086683	0.2	3,007.000000
0.090017	0.2	2,300.000000
0.093350	0.2	1,739.000000
0.096683	0.2	1,472.000000
0.100017	0.2	1,605.000000
0.103350	0.2	2,215.000000
0.106683	0.2	3,220.000000
0.110017	0.2	4,431.000000
0.113350	0.2	5,631.000000
0.116683	0.2	6,445.000000
0.120017	0.2	6,591.000000
0.123350	0.2	6,058.000000
0.126683	0.2	4,992.000000
0.130017	0.2	3,673.000000
0.133350	0.2	2,263.000000
0.136683	0.2	802.000000
0.140017	0.2	-598.000000
0.143350	0.2	-1,697.000000
0.146683	0.2	-2,301.000000
0.150017	0.2	-2,386.000000
0.153350	0.2	-2,084.000000
0.156683	0.2	-1,527.000000
0.160017	0.2	-751.000000
0.163350	0.2	210.000000
0.166683	0.2	1,301.000000
0.170017	0.2	2,372.000000
0.173350	0.2	3,255.000000
0.176683	0.2	3,920.000000
0.180017	0.2	4,388.000000
0.183350	0.2	4,636.000000
0.186683	0.2	4,632.000000
0.190017	0.2	4,455.000000
0.193350	0.2	4,287.000000
0.196683	0.2	4,181.000000
0.200017	0.2	4,110.000000
0.203350	0.2	4,007.000000
0.206683	0.2	3,784.000000
0.210017	0.2	3,354.000000
0.213350	0.2	2,778.000000
0.216683	0.2	2,124.000000
0.220017	0.2	1,495.000000
0.223350	0.2	1,014.000000
0.226683	0.2	759.000000
0.230017	0.2	682.000000
0.233350	0.2	734.000000
0.236683	0.2	856.000000
0.240017	0.2	982.000000
0.243350	0.2	1,002.000000
0.246683	0.2	785.000000
0.250017	0.2	311.000000
0.253350	0.2	-240.000000
0.256683	0.2	-617.000000
0.260017	0.2	-779.000000
0.263350	0.2	-840.000000
0.266683	0.2	-827.000000
0.270017	0.2	-730.000000
0.273350	0.2	-602.000000
0.276683	0.2	-570.000000
0.280017	0.2	-728.000000
0.283350	0.2	-1,065.000000
0.286683	0.2	-1,462.000000
0.290017	0.2	-1,812.000000
0.293350	0.2	-1,947.000000
0.296683	0.2	-1,745.000000
0.300017	0.2	-1,206.000000
0.303350	0.2	-484.000000
0.306683	0.2	253.000000
0.310017	0.2	829.000000
0.313350	0.2	1,133.000000
0.316683	0.2	1,114.000000
0.320017	0.2	791.000000
0.323350	0.2	295.000000
0.326683	0.2	-215.000000
0.330017	0.2	-532.000000
0.333350	0.2	-487.000000
0.336683	0.2	17.000000
0.340017	0.2	958.000000
0.343350	0.2	2,113.000000
0.346683	0.2	3,296.000000
0.350017	0.2	4,308.000000
0.353350	0.2	4,901.000000
0.356683	0.2	4,968.000000
0.360017	0.2	4,631.000000
0.363350	0.2	4,063.000000
0.366683	0.2	3,355.000000
0.370017	0.2	2,523.000000
0.373350	0.2	1,712.000000
0.376683	0.2	1,016.000000
0.380017	0.2	442.000000
0.383350	0.2	-101.000000
0.386683	0.2	-649.000000
0.390017	0.2	-1,217.000000
0.393350	0.2	-1,775.000000
0.396683	0.2	-2,262.000000
0.400017	0.2	-2,587.000000
0.403350	0.2	-2,725.000000
0.406683	0.2	-2,706.000000
0.410017	0.2	-2,478.000000
0.413350	0.2	-2,049.000000
0.416683	0.2	-1,482.000000
0.420017	0.2	-894.000000
0.423350	0.2	-450.000000
0.426683	0.2	-313.000000
0.430017	0.2	-396.000000
0.433350	0.2	-400.000000
0.436683	0.2	-130.000000
0.440017	0.2	326.000000
0.443350	0.2	922.000000
0.446683	0.2	1,754.000000
0.450017	0.2	2,814.000000
0.453350	0.2	4,019.000000
0.456683	0.2	5,252.000000
0.460017	0.2	6,403.000000
0.463350	0.2	7,371.000000
0.466683	0.2	8,004.000000
0.470017	0.2	8,300.000000
0.473350	0.2	8,314.000000
0.476683	0.2	7,956.000000
0.480017	0.2	7,252.000000
0.483350	0.2	6,226.000000
0.486683	0.2	4,944.000000
0.490017	0.2	3,529.000000
0.493350	0.2	2,182.000000
0.496683	0.2	1,069.000000
0.500017	0.2	247.000000
0.503350	0.2	-209.000000
0.506683	0.2	-210.000000
0.510017	0.2	116.000000
0.513350	0.2	524.000000
0.516683	0.2	834.000000
