URL	chrom://farber-hplc/test001/Josh/Standards/1.9.24 Algorithm Rerun w different gradient Rep 2.seq/695.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.9.24 Algorithm Rerun w different gradient Rep 2
Name	0:0.5:0
Number	4
Position	RA4
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/9/2024 3:13:57 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000667
Data Points	38601
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.453574
Signal Max.	52.354480
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103731

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.004389
0.001667	0.1	0.004743
0.003333	0.1	0.001462
0.005000	0.1	-0.000262
0.006667	0.1	0.005755
0.008333	0.1	0.014599
0.010000	0.1	0.018871
0.011667	0.1	0.015779
0.013333	0.1	0.004916
0.015000	0.1	-0.001311
0.016667	0.1	-0.002372
0.018333	0.1	-0.001201
0.020000	0.1	0.002213
0.021667	0.1	0.005161
0.023333	0.1	0.002769
0.025000	0.1	-0.005713
0.026667	0.1	-0.008176
0.028667	0.12	-0.007028
0.030333	0.1	-0.010135
0.032050	0.103	-0.017470
0.033667	0.097	-0.023840
0.035333	0.1	-0.027738
0.037000	0.1	-0.028495
0.038667	0.1	-0.027780
0.040333	0.1	-0.029737
0.042000	0.1	-0.034877
0.043667	0.1	-0.041298
0.045383	0.103	-0.037341
0.047033	0.099	-0.018060
0.048717	0.101	0.004278
0.050367	0.099	0.014589
0.052050	0.101	0.013988
0.053700	0.099	0.015870
0.055383	0.101	0.024074
0.057033	0.099	0.028049
0.058717	0.101	0.024683
0.060367	0.099	0.011977
0.062367	0.12	0.000138
0.064033	0.1	-0.001757
0.065700	0.1	0.003141
0.067367	0.1	0.005009
0.069033	0.1	-0.002680
0.070700	0.1	-0.017213
0.072367	0.1	-0.033443
0.074033	0.1	-0.048403
0.075700	0.1	-0.048227
0.077367	0.1	-0.031059
0.079033	0.1	-0.011090
0.080700	0.1	-0.004656
0.082367	0.1	-0.015949
0.084033	0.1	-0.033077
0.085700	0.1	-0.054326
0.087367	0.1	-0.066811
0.089033	0.1	-0.060582
0.090700	0.1	-0.042596
0.092367	0.1	-0.031805
0.094033	0.1	-0.034747
0.096017	0.119	-0.038932
0.097683	0.1	-0.030740
0.099350	0.1	-0.021788
0.101017	0.1	-0.022065
0.102683	0.1	-0.031181
0.104350	0.1	-0.038578
0.106017	0.1	-0.034391
0.107683	0.1	-0.018867
0.109350	0.1	-0.000210
0.111000	0.099	0.014880
0.112667	0.1	0.026731
0.114333	0.1	0.034718
0.116000	0.1	0.025542
0.117667	0.1	0.003467
0.119333	0.1	-0.017062
0.121017	0.101	-0.028813
0.122667	0.099	-0.027213
0.124333	0.1	-0.010961
0.126000	0.1	0.007796
0.127667	0.1	0.013888
0.129667	0.12	0.002525
0.131333	0.1	-0.017214
0.133000	0.1	-0.039754
0.134683	0.101	-0.061286
0.136367	0.101	-0.078044
0.138000	0.098	-0.080478
0.139667	0.1	-0.061474
0.141333	0.1	-0.034926
0.143000	0.1	-0.019172
0.144700	0.102	-0.013810
0.146333	0.098	-0.017054
0.148000	0.1	-0.032728
0.149667	0.1	-0.048312
0.151350	0.101	-0.047127
0.153000	0.099	-0.032361
0.154667	0.1	-0.019495
0.156333	0.1	-0.019257
0.158000	0.1	-0.026182
0.159667	0.1	-0.037492
0.161333	0.1	-0.042158
0.163333	0.12	-0.035747
0.165033	0.102	-0.019756
0.166700	0.1	-0.007160
0.168350	0.099	0.000363
0.170000	0.099	0.013609
0.171667	0.1	0.030415
0.173333	0.1	0.035706
0.175000	0.1	0.027375
0.176667	0.1	0.014388
0.178333	0.1	0.007220
0.180000	0.1	0.002894
0.181667	0.1	-0.004361
0.183333	0.1	-0.018185
0.185000	0.1	-0.029494
0.186667	0.1	-0.024909
0.188333	0.1	-0.004487
0.190000	0.1	0.024133
0.191667	0.1	0.048969
0.193333	0.1	0.054151
0.195000	0.1	0.041149
0.197000	0.12	0.019466
0.198667	0.1	0.002808
0.200333	0.1	0.003588
0.202000	0.1	0.011969
0.203667	0.1	0.016931
0.205333	0.1	0.019905
0.207000	0.1	0.020286
0.208667	0.1	0.012084
0.210333	0.1	-0.000165
0.212000	0.1	-0.005923
0.213667	0.1	-0.000236
0.215333	0.1	0.015849
0.217000	0.1	0.035975
0.218667	0.1	0.050700
0.220333	0.1	0.041588
0.222000	0.1	0.015519
0.223667	0.1	-0.001882
0.225333	0.1	0.002146
0.227000	0.1	0.023756
0.229033	0.122	0.047195
0.230700	0.1	0.054908
0.232367	0.1	0.046273
0.234033	0.1	0.041925
0.235700	0.1	0.049109
0.237367	0.1	0.061092
0.239033	0.1	0.067163
0.240700	0.1	0.061254
0.242367	0.1	0.053003
0.244033	0.1	0.040869
0.245700	0.1	0.020261
0.247367	0.1	-0.001943
0.249033	0.1	-0.010208
0.250700	0.1	-0.003319
0.252367	0.1	0.008068
0.254033	0.1	0.017915
0.255700	0.1	0.033026
0.257367	0.1	0.047924
0.259033	0.1	0.054949
0.260700	0.1	0.054793
0.262700	0.12	0.045900
0.264367	0.1	0.033267
0.266033	0.1	0.021335
0.267700	0.1	0.014576
0.269367	0.1	0.011568
0.271033	0.1	0.012846
0.272700	0.1	0.024929
0.274367	0.1	0.041089
0.276033	0.1	0.048551
0.277683	0.099	0.040669
0.279350	0.1	0.016764
0.281017	0.1	-0.001956
0.282683	0.1	-0.003848
0.284350	0.1	0.002353
0.286017	0.1	0.006763
0.287683	0.1	0.014546
0.289350	0.1	0.030220
0.291017	0.1	0.045486
0.292683	0.1	0.047322
0.294333	0.099	0.038512
0.296333	0.12	0.029004
0.298000	0.1	0.023617
0.299667	0.1	0.020302
0.301350	0.101	0.024052
0.303000	0.099	0.027549
0.304667	0.1	0.023781
0.306333	0.1	0.020183
0.308000	0.1	0.016284
0.309667	0.1	0.009898
0.311333	0.1	0.005453
0.313000	0.1	0.007036
0.314667	0.1	0.016052
0.316333	0.1	0.022335
0.318017	0.101	0.021457
0.319667	0.099	0.025092
0.321333	0.1	0.036744
0.323000	0.1	0.048904
0.324667	0.1	0.053478
0.326333	0.1	0.057060
0.328000	0.1	0.069721
