URL	chrom://farber-hplc/test001/Josh/Standards/1.9.24 Algorithm Rerun w different gradient Rep 2.seq/695.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	1.9.24 Algorithm Rerun w different gradient Rep 2
Name	0:0.5:0
Number	4
Position	RA4
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/9/2024 3:13:57 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003150
Time Max. (min)	65.003150
Data Points	19501
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-90,574.000000
Signal Max.	144,108.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /510 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003150	n.a.	0.000000
0.006483	0.2	0.000000
0.009817	0.2	0.000000
0.013150	0.2	0.000000
0.016483	0.2	0.000000
0.019817	0.2	601.000000
0.023150	0.2	2,093.000000
0.026483	0.2	3,878.000000
0.029817	0.2	5,620.000000
0.033150	0.2	7,257.000000
0.036483	0.2	8,844.000000
0.039817	0.2	10,429.000000
0.043150	0.2	11,993.000000
0.046483	0.2	13,373.000000
0.049817	0.2	14,403.000000
0.053150	0.2	15,071.000000
0.056483	0.2	15,436.000000
0.059817	0.2	15,651.000000
0.063150	0.2	15,916.000000
0.066483	0.2	16,422.000000
0.069817	0.2	17,135.000000
0.073150	0.2	17,813.000000
0.076483	0.2	18,289.000000
0.079817	0.2	18,509.000000
0.083150	0.2	18,410.000000
0.086483	0.2	17,905.000000
0.089817	0.2	17,133.000000
0.093150	0.2	16,310.000000
0.096483	0.2	15,737.000000
0.099817	0.2	15,676.000000
0.103150	0.2	16,002.000000
0.106483	0.2	16,466.000000
0.109817	0.2	16,918.000000
0.113150	0.2	17,345.000000
0.116483	0.2	17,810.000000
0.119817	0.2	18,293.000000
0.123150	0.2	18,794.000000
0.126483	0.2	19,355.000000
0.129817	0.2	19,892.000000
0.133150	0.2	20,297.000000
0.136483	0.2	20,399.000000
0.139817	0.2	20,093.000000
0.143150	0.2	19,422.000000
0.146483	0.2	18,475.000000
0.149817	0.2	17,358.000000
0.153150	0.2	16,208.000000
0.156483	0.2	15,141.000000
0.159817	0.2	14,303.000000
0.163150	0.2	13,687.000000
0.166483	0.2	13,275.000000
0.169817	0.2	13,026.000000
0.173150	0.2	12,915.000000
0.176483	0.2	12,926.000000
0.179817	0.2	13,076.000000
0.183150	0.2	13,386.000000
0.186483	0.2	13,860.000000
0.189817	0.2	14,315.000000
0.193150	0.2	14,548.000000
0.196483	0.2	14,416.000000
0.199817	0.2	13,935.000000
0.203150	0.2	13,181.000000
0.206483	0.2	12,316.000000
0.209817	0.2	11,609.000000
0.213150	0.2	11,283.000000
0.216483	0.2	11,364.000000
0.219817	0.2	11,778.000000
0.223150	0.2	12,409.000000
0.226483	0.2	13,156.000000
0.229817	0.2	13,871.000000
0.233150	0.2	14,558.000000
0.236483	0.2	15,233.000000
0.239817	0.2	15,868.000000
0.243150	0.2	16,419.000000
0.246483	0.2	16,808.000000
0.249817	0.2	16,917.000000
0.253150	0.2	16,684.000000
0.256483	0.2	16,138.000000
0.259817	0.2	15,439.000000
0.263150	0.2	14,740.000000
0.266483	0.2	14,035.000000
0.269817	0.2	13,326.000000
0.273150	0.2	12,703.000000
0.276483	0.2	12,286.000000
0.279817	0.2	12,103.000000
0.283150	0.2	12,071.000000
0.286483	0.2	12,188.000000
0.289817	0.2	12,473.000000
0.293150	0.2	12,934.000000
0.296483	0.2	13,614.000000
0.299817	0.2	14,516.000000
0.303150	0.2	15,476.000000
0.306483	0.2	16,307.000000
0.309817	0.2	16,943.000000
0.313150	0.2	17,336.000000
0.316483	0.2	17,437.000000
0.319817	0.2	17,230.000000
0.323150	0.2	16,761.000000
0.326483	0.2	16,202.000000
0.329817	0.2	15,782.000000
0.333150	0.2	15,570.000000
0.336483	0.2	15,462.000000
0.339817	0.2	15,321.000000
0.343150	0.2	15,089.000000
0.346483	0.2	14,720.000000
0.349817	0.2	14,242.000000
0.353150	0.2	13,653.000000
0.356483	0.2	12,984.000000
0.359817	0.2	12,345.000000
0.363150	0.2	11,887.000000
0.366483	0.2	11,688.000000
0.369817	0.2	11,718.000000
0.373150	0.2	11,783.000000
0.376483	0.2	11,731.000000
0.379817	0.2	11,662.000000
0.383150	0.2	11,713.000000
0.386483	0.2	11,913.000000
0.389817	0.2	12,258.000000
0.393150	0.2	12,779.000000
0.396483	0.2	13,399.000000
0.399817	0.2	13,986.000000
0.403150	0.2	14,552.000000
0.406483	0.2	15,200.000000
0.409817	0.2	15,965.000000
0.413150	0.2	16,866.000000
0.416483	0.2	17,926.000000
0.419817	0.2	19,026.000000
0.423150	0.2	19,946.000000
0.426483	0.2	20,533.000000
0.429817	0.2	20,801.000000
0.433150	0.2	20,853.000000
0.436483	0.2	20,702.000000
0.439817	0.2	20,374.000000
0.443150	0.2	19,927.000000
0.446483	0.2	19,419.000000
0.449817	0.2	18,877.000000
0.453150	0.2	18,245.000000
0.456483	0.2	17,485.000000
0.459817	0.2	16,621.000000
0.463150	0.2	15,719.000000
0.466483	0.2	14,806.000000
0.469817	0.2	13,868.000000
0.473150	0.2	12,954.000000
0.476483	0.2	12,070.000000
0.479817	0.2	11,210.000000
0.483150	0.2	10,358.000000
0.486483	0.2	9,649.000000
0.489817	0.2	9,241.000000
0.493150	0.2	9,128.000000
0.496483	0.2	9,229.000000
0.499817	0.2	9,488.000000
0.503150	0.2	9,853.000000
0.506483	0.2	10,226.000000
0.509817	0.2	10,464.000000
0.513150	0.2	10,522.000000
0.516483	0.2	10,444.000000
0.519817	0.2	10,299.000000
0.523150	0.2	10,137.000000
0.526483	0.2	9,938.000000
0.529817	0.2	9,673.000000
0.533150	0.2	9,342.000000
0.536483	0.2	9,006.000000
0.539817	0.2	8,781.000000
0.543150	0.2	8,719.000000
0.546483	0.2	8,817.000000
0.549817	0.2	9,085.000000
0.553150	0.2	9,395.000000
0.556483	0.2	9,695.000000
0.559817	0.2	9,975.000000
0.563150	0.2	10,262.000000
0.566483	0.2	10,675.000000
0.569817	0.2	11,322.000000
0.573150	0.2	12,206.000000
0.576483	0.2	13,269.000000
0.579817	0.2	14,441.000000
0.583150	0.2	15,599.000000
0.586483	0.2	16,634.000000
0.589817	0.2	17,500.000000
0.593150	0.2	18,007.000000
0.596483	0.2	18,011.000000
0.599817	0.2	17,556.000000
0.603150	0.2	16,837.000000
0.606483	0.2	16,022.000000
0.609817	0.2	15,183.000000
0.613150	0.2	14,369.000000
0.616483	0.2	13,632.000000
0.619817	0.2	12,940.000000
0.623150	0.2	12,325.000000
