URL	chrom://farber-hplc/test001/Josh/Standards/1.9.24 Algorithm Rerun w different gradient Rep 2.seq/673.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.9.24 Algorithm Rerun w different gradient Rep 2
Name	0:0:0.5
Number	6
Position	RA6
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/9/2024 5:26:25 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000700
Data Points	38601
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.434839
Signal Max.	20.299590
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.128
Average Step (s)	0.10103736

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.010821
0.001667	0.1	0.004369
0.003333	0.1	0.023782
0.005000	0.1	0.034982
0.006667	0.1	0.038675
0.008333	0.1	0.032520
0.010000	0.1	0.016640
0.011667	0.1	0.006777
0.013333	0.1	0.009441
0.015000	0.1	0.016809
0.016667	0.1	0.020591
0.018333	0.1	0.016663
0.020000	0.1	0.010766
0.021667	0.1	0.013103
0.023333	0.1	0.026814
0.025000	0.1	0.039163
0.026667	0.1	0.033186
0.028333	0.1	0.016556
0.030000	0.1	-0.005445
0.032000	0.12	-0.030747
0.033683	0.101	-0.047270
0.035333	0.099	-0.053096
0.037000	0.1	-0.049777
0.038667	0.1	-0.036367
0.040333	0.1	-0.022686
0.042000	0.1	-0.017398
0.043667	0.1	-0.014640
0.045333	0.1	-0.010171
0.047000	0.1	-0.001074
0.048667	0.1	0.001025
0.050333	0.1	-0.015975
0.052000	0.1	-0.039399
0.053667	0.1	-0.055821
0.055333	0.1	-0.053721
0.057000	0.1	-0.030575
0.058667	0.1	-0.004849
0.060333	0.1	0.004517
0.062000	0.1	0.001852
0.063700	0.102	-0.002044
0.065700	0.12	-0.009524
0.067367	0.1	-0.024799
0.069050	0.101	-0.033545
0.070733	0.101	-0.026668
0.072367	0.098	-0.017698
0.074033	0.1	-0.011240
0.075700	0.1	-0.001893
0.077367	0.1	-0.002602
0.079033	0.1	-0.022111
0.080700	0.1	-0.041802
0.082367	0.1	-0.045859
0.084033	0.1	-0.031449
0.085700	0.1	-0.009218
0.087367	0.1	0.003678
0.089033	0.1	0.002068
0.090700	0.1	-0.012991
0.092367	0.1	-0.025598
0.094033	0.1	-0.020839
0.095700	0.1	-0.003520
0.097367	0.1	0.012561
0.099367	0.12	0.019583
0.101033	0.1	0.014632
0.102700	0.1	0.006620
0.104367	0.1	0.004477
0.106033	0.1	0.007778
0.107700	0.1	0.010391
0.109367	0.1	0.014411
0.111033	0.1	0.018524
0.112700	0.1	0.015559
0.114350	0.099	0.011238
0.116017	0.1	0.014064
0.117683	0.1	0.018747
0.119350	0.1	0.021252
0.121017	0.1	0.020933
0.122683	0.1	0.016729
0.124350	0.1	0.013364
0.126017	0.1	0.015485
0.127683	0.1	0.025709
0.129350	0.1	0.041846
0.131000	0.099	0.055898
0.133000	0.12	0.067338
0.134667	0.1	0.069549
0.136333	0.1	0.055315
0.138000	0.1	0.038240
0.139667	0.1	0.027344
0.141333	0.1	0.014398
0.143000	0.1	-0.005544
0.144667	0.1	-0.024090
0.146333	0.1	-0.039345
0.148000	0.1	-0.052035
0.149667	0.1	-0.049250
0.151333	0.1	-0.037500
0.153000	0.1	-0.024755
0.154667	0.1	-0.006966
0.156333	0.1	0.013210
0.158000	0.1	0.027271
0.159667	0.1	0.031937
0.161333	0.1	0.025468
0.163000	0.1	0.006806
0.164667	0.1	-0.017399
0.166683	0.121	-0.028468
0.168350	0.1	-0.024668
0.170000	0.099	-0.014698
0.171683	0.101	-0.010218
0.173333	0.099	-0.007884
0.175017	0.101	0.000373
0.176667	0.099	0.017200
0.178350	0.101	0.028356
0.180000	0.099	0.029185
0.181683	0.101	0.022307
0.183333	0.099	0.017069
0.185017	0.101	0.018497
0.186667	0.099	0.021595
0.188350	0.101	0.014966
0.190000	0.099	0.001226
0.191683	0.101	-0.005119
0.193333	0.099	0.002062
0.195017	0.101	0.014049
0.196667	0.099	0.021486
0.198750	0.125	0.017915
0.200333	0.095	0.008283
0.202000	0.1	0.005666
0.203667	0.1	0.011993
0.205333	0.1	0.017053
0.207017	0.101	0.004736
