URL	chrom://farber-hplc/test001/Josh/Standards/1.9.24 Algorithm Rerun w different gradient Rep 2.seq/673.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	1.9.24 Algorithm Rerun w different gradient Rep 2
Name	0:0:0.5
Number	6
Position	RA6
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/9/2024 5:26:25 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003333
Time Max. (min)	65.003333
Data Points	19501
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-113,850.000000
Signal Max.	135,515.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /510 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003333	n.a.	0.000000
0.006667	0.2	0.000000
0.010000	0.2	0.000000
0.013333	0.2	0.000000
0.016667	0.2	0.000000
0.020000	0.2	-14.000000
0.023333	0.2	-94.000000
0.026667	0.2	-224.000000
0.030000	0.2	-306.000000
0.033333	0.2	-296.000000
0.036667	0.2	-264.000000
0.040000	0.2	-273.000000
0.043333	0.2	-284.000000
0.046667	0.2	-280.000000
0.050000	0.2	-356.000000
0.053333	0.2	-539.000000
0.056667	0.2	-821.000000
0.060000	0.2	-1,197.000000
0.063333	0.2	-1,609.000000
0.066667	0.2	-1,991.000000
0.070000	0.2	-2,258.000000
0.073333	0.2	-2,378.000000
0.076667	0.2	-2,392.000000
0.080000	0.2	-2,305.000000
0.083333	0.2	-2,189.000000
0.086667	0.2	-2,121.000000
0.090000	0.2	-2,020.000000
0.093333	0.2	-1,679.000000
0.096667	0.2	-1,036.000000
0.100000	0.2	-184.000000
0.103333	0.2	743.000000
0.106667	0.2	1,669.000000
0.110000	0.2	2,513.000000
0.113333	0.2	3,303.000000
0.116667	0.2	4,183.000000
0.120000	0.2	5,162.000000
0.123333	0.2	6,026.000000
0.126667	0.2	6,573.000000
0.130000	0.2	6,698.000000
0.133333	0.2	6,392.000000
0.136667	0.2	5,849.000000
0.140000	0.2	5,166.000000
0.143333	0.2	4,401.000000
0.146667	0.2	3,597.000000
0.150000	0.2	2,804.000000
0.153333	0.2	2,083.000000
0.156667	0.2	1,618.000000
0.160000	0.2	1,668.000000
0.163333	0.2	2,364.000000
0.166667	0.2	3,703.000000
0.170000	0.2	5,530.000000
0.173333	0.2	7,690.000000
0.176667	0.2	9,939.000000
0.180000	0.2	11,942.000000
0.183333	0.2	13,561.000000
0.186667	0.2	14,692.000000
0.190000	0.2	15,224.000000
0.193333	0.2	15,170.000000
0.196667	0.2	14,553.000000
0.200000	0.2	13,329.000000
0.203333	0.2	11,438.000000
0.206667	0.2	8,949.000000
0.210000	0.2	6,150.000000
0.213333	0.2	3,401.000000
0.216667	0.2	883.000000
0.220000	0.2	-1,325.000000
0.223333	0.2	-3,204.000000
0.226667	0.2	-4,685.000000
0.230000	0.2	-5,758.000000
0.233333	0.2	-6,546.000000
0.236667	0.2	-7,234.000000
0.240000	0.2	-7,985.000000
0.243333	0.2	-8,703.000000
0.246667	0.2	-9,101.000000
0.250000	0.2	-8,943.000000
0.253333	0.2	-8,182.000000
0.256667	0.2	-6,944.000000
0.260000	0.2	-5,390.000000
0.263333	0.2	-3,625.000000
0.266667	0.2	-1,778.000000
0.270000	0.2	37.000000
0.273333	0.2	1,652.000000
0.276667	0.2	2,922.000000
0.280000	0.2	3,785.000000
0.283333	0.2	4,245.000000
0.286667	0.2	4,352.000000
0.290000	0.2	4,358.000000
0.293333	0.2	4,482.000000
0.296667	0.2	4,720.000000
0.300000	0.2	5,033.000000
0.303333	0.2	5,433.000000
0.306667	0.2	5,979.000000
0.310000	0.2	6,640.000000
0.313333	0.2	7,303.000000
0.316667	0.2	7,846.000000
0.320000	0.2	8,255.000000
0.323333	0.2	8,541.000000
0.326667	0.2	8,765.000000
0.330000	0.2	9,004.000000
0.333333	0.2	9,397.000000
0.336667	0.2	9,877.000000
0.340000	0.2	10,293.000000
0.343333	0.2	10,663.000000
0.346667	0.2	10,934.000000
0.350000	0.2	10,933.000000
0.353333	0.2	10,614.000000
0.356667	0.2	10,049.000000
0.360000	0.2	9,276.000000
0.363333	0.2	8,340.000000
0.366667	0.2	7,338.000000
0.370000	0.2	6,348.000000
0.373333	0.2	5,385.000000
0.376667	0.2	4,465.000000
0.380000	0.2	3,821.000000
0.383333	0.2	3,565.000000
0.386667	0.2	3,695.000000
0.390000	0.2	4,138.000000
0.393333	0.2	4,872.000000
0.396667	0.2	5,916.000000
0.400000	0.2	7,249.000000
0.403333	0.2	8,815.000000
0.406667	0.2	10,479.000000
0.410000	0.2	12,072.000000
0.413333	0.2	13,458.000000
0.416667	0.2	14,515.000000
0.420000	0.2	15,203.000000
0.423333	0.2	15,449.000000
0.426667	0.2	15,287.000000
0.430000	0.2	14,796.000000
0.433333	0.2	14,025.000000
0.436667	0.2	13,075.000000
0.440000	0.2	11,990.000000
0.443333	0.2	10,859.000000
0.446667	0.2	9,799.000000
0.450000	0.2	8,779.000000
0.453333	0.2	7,696.000000
0.456667	0.2	6,568.000000
0.460000	0.2	5,572.000000
0.463333	0.2	4,803.000000
0.466667	0.2	4,241.000000
0.470000	0.2	3,915.000000
0.473333	0.2	3,861.000000
0.476667	0.2	4,137.000000
0.480000	0.2	4,676.000000
0.483333	0.2	5,436.000000
0.486667	0.2	6,375.000000
0.490000	0.2	7,413.000000
0.493333	0.2	8,432.000000
0.496667	0.2	9,420.000000
0.500000	0.2	10,280.000000
0.503333	0.2	10,953.000000
0.506667	0.2	11,381.000000
0.510000	0.2	11,457.000000
0.513333	0.2	11,094.000000
0.516667	0.2	10,367.000000
0.520000	0.2	9,417.000000
0.523333	0.2	8,369.000000
0.526667	0.2	7,496.000000
0.530000	0.2	6,986.000000
0.533333	0.2	6,830.000000
0.536667	0.2	6,978.000000
0.540000	0.2	7,317.000000
0.543333	0.2	7,787.000000
0.546667	0.2	8,362.000000
0.550000	0.2	8,977.000000
0.553333	0.2	9,486.000000
0.556667	0.2	9,691.000000
0.560000	0.2	9,473.000000
0.563333	0.2	8,885.000000
0.566667	0.2	8,008.000000
0.570000	0.2	6,948.000000
0.573333	0.2	5,836.000000
0.576667	0.2	4,757.000000
0.580000	0.2	3,830.000000
0.583333	0.2	3,180.000000
0.586667	0.2	2,792.000000
0.590000	0.2	2,521.000000
0.593333	0.2	2,280.000000
0.596667	0.2	2,110.000000
0.600000	0.2	2,136.000000
0.603333	0.2	2,420.000000
0.606667	0.2	2,916.000000
0.610000	0.2	3,530.000000
0.613333	0.2	4,219.000000
0.616667	0.2	4,935.000000
0.620000	0.2	5,504.000000
0.623333	0.2	5,935.000000
0.626667	0.2	6,361.000000
0.630000	0.2	6,795.000000
0.633333	0.2	7,217.000000
0.636667	0.2	7,625.000000
0.640000	0.2	8,033.000000
0.643333	0.2	8,456.000000
0.646667	0.2	8,980.000000
0.650000	0.2	9,653.000000
0.653333	0.2	10,522.000000
0.656667	0.2	11,660.000000
0.660000	0.2	13,033.000000
0.663333	0.2	14,553.000000
0.666667	0.2	16,107.000000
0.670000	0.2	17,414.000000
0.673333	0.2	18,316.000000
0.676667	0.2	18,841.000000
0.680000	0.2	19,084.000000
0.683333	0.2	19,139.000000
0.686667	0.2	19,107.000000
0.690000	0.2	19,133.000000
0.693333	0.2	19,188.000000
0.696667	0.2	19,118.000000
0.700000	0.2	18,780.000000
0.703333	0.2	18,087.000000
0.706667	0.2	16,936.000000
0.710000	0.2	15,292.000000
0.713333	0.2	13,169.000000
0.716667	0.2	10,729.000000
0.720000	0.2	8,150.000000
0.723333	0.2	5,299.000000
0.726667	0.2	1,728.000000
0.730000	0.2	-3,146.000000
0.733333	0.2	-9,858.000000
0.736667	0.2	-18,805.000000
0.740000	0.2	-30,086.000000
0.743333	0.2	-43,368.000000
0.746667	0.2	-57,913.000000
0.750000	0.2	-72,681.000000
0.753333	0.2	-86,441.000000
0.756667	0.2	-98,078.000000
0.760000	0.2	-106,834.000000
0.763333	0.2	-112,190.000000
0.766667	0.2	-113,850.000000
0.770000	0.2	-111,696.000000
0.773333	0.2	-105,832.000000
0.776667	0.2	-96,631.000000
0.780000	0.2	-84,634.000000
0.783333	0.2	-70,596.000000
0.786667	0.2	-55,376.000000
0.790000	0.2	-39,833.000000
0.793333	0.2	-24,678.000000
0.796667	0.2	-10,339.000000
0.800000	0.2	2,876.000000
0.803333	0.2	14,723.000000
0.806667	0.2	25,191.000000
0.810000	0.2	34,378.000000
0.813333	0.2	42,423.000000
0.816667	0.2	49,417.000000
0.820000	0.2	55,405.000000
0.823333	0.2	60,372.000000
0.826667	0.2	64,320.000000
0.830000	0.2	67,313.000000
0.833333	0.2	69,530.000000
0.836667	0.2	71,154.000000
0.840000	0.2	72,407.000000
0.843333	0.2	73,513.000000
0.846667	0.2	74,446.000000
0.850000	0.2	75,048.000000
0.853333	0.2	75,153.000000
0.856667	0.2	74,633.000000
0.860000	0.2	73,567.000000
0.863333	0.2	72,040.000000
0.866667	0.2	69,948.000000
0.870000	0.2	67,224.000000
0.873333	0.2	63,815.000000
0.876667	0.2	59,884.000000
0.880000	0.2	55,876.000000
0.883333	0.2	52,110.000000
0.886667	0.2	48,654.000000
0.890000	0.2	45,477.000000
0.893333	0.2	42,663.000000
0.896667	0.2	40,278.000000
0.900000	0.2	38,364.000000
0.903333	0.2	36,794.000000
0.906667	0.2	35,388.000000
0.910000	0.2	34,095.000000
0.913333	0.2	32,878.000000
0.916667	0.2	31,722.000000
0.920000	0.2	30,581.000000
0.923333	0.2	29,361.000000
0.926667	0.2	28,037.000000
0.930000	0.2	26,711.000000
0.933333	0.2	25,475.000000
0.936667	0.2	24,281.000000
0.940000	0.2	23,046.000000
0.943333	0.2	21,830.000000
0.946667	0.2	20,736.000000
0.950000	0.2	19,685.000000
0.953333	0.2	18,564.000000
0.956667	0.2	17,345.000000
0.960000	0.2	15,998.000000
0.963333	0.2	14,411.000000
0.966667	0.2	12,640.000000
0.970000	0.2	10,681.000000
0.973333	0.2	8,592.000000
0.976667	0.2	6,597.000000
0.980000	0.2	4,843.000000
0.983333	0.2	3,505.000000
0.986667	0.2	2,670.000000
0.990000	0.2	2,244.000000
0.993333	0.2	2,076.000000
0.996667	0.2	1,976.000000
1.000000	0.2	1,904.000000
1.003333	0.2	1,920.000000
1.006667	0.2	2,122.000000
1.010000	0.2	2,495.000000
1.013333	0.2	2,921.000000
1.016667	0.2	3,315.000000
1.020000	0.2	3,675.000000
1.023333	0.2	4,067.000000
1.026667	0.2	4,477.000000
1.030000	0.2	4,781.000000
1.033333	0.2	4,870.000000
1.036667	0.2	4,767.000000
1.040000	0.2	4,599.000000
1.043333	0.2	4,497.000000
1.046667	0.2	4,540.000000
1.050000	0.2	4,658.000000
1.053333	0.2	4,604.000000
1.056667	0.2	4,217.000000
1.060000	0.2	3,483.000000
1.063333	0.2	2,508.000000
1.066667	0.2	1,499.000000
1.070000	0.2	713.000000
1.073333	0.2	317.000000
1.076667	0.2	496.000000
1.080000	0.2	1,241.000000
1.083333	0.2	2,283.000000
1.086667	0.2	3,331.000000
1.090000	0.2	4,194.000000
1.093333	0.2	4,830.000000
1.096667	0.2	5,315.000000
1.100000	0.2	5,653.000000
1.103333	0.2	5,902.000000
1.106667	0.2	6,007.000000
1.110000	0.2	5,903.000000
1.113333	0.2	5,498.000000
1.116667	0.2	4,744.000000
1.120000	0.2	3,682.000000
1.123333	0.2	2,436.000000
1.126667	0.2	1,179.000000
1.130000	0.2	154.000000
1.133333	0.2	-476.000000
1.136667	0.2	-674.000000
1.140000	0.2	-496.000000
1.143333	0.2	-70.000000
1.146667	0.2	529.000000
1.150000	0.2	1,269.000000
1.153333	0.2	2,140.000000
1.156667	0.2	3,052.000000
1.160000	0.2	3,918.000000
1.163333	0.2	4,615.000000
1.166667	0.2	5,055.000000
1.170000	0.2	5,218.000000
1.173333	0.2	5,108.000000
1.176667	0.2	4,742.000000
1.180000	0.2	4,255.000000
1.183333	0.2	3,788.000000
1.186667	0.2	3,348.000000
1.190000	0.2	2,946.000000
1.193333	0.2	2,685.000000
1.196667	0.2	2,676.000000
1.200000	0.2	2,858.000000
1.203333	0.2	3,012.000000
1.206667	0.2	3,033.000000
1.210000	0.2	2,947.000000
1.213333	0.2	2,891.000000
1.216667	0.2	2,989.000000
1.220000	0.2	3,222.000000
1.223333	0.2	3,516.000000
1.226667	0.2	3,777.000000
1.230000	0.2	3,977.000000
1.233333	0.2	4,222.000000
1.236667	0.2	4,747.000000
1.240000	0.2	5,607.000000
1.243333	0.2	6,632.000000
1.246667	0.2	7,625.000000
1.250000	0.2	8,516.000000
1.253333	0.2	9,227.000000
1.256667	0.2	9,672.000000
1.260000	0.2	9,794.000000
1.263333	0.2	9,591.000000
1.266667	0.2	9,178.000000
1.270000	0.2	8,711.000000
1.273333	0.2	8,387.000000
1.276667	0.2	8,442.000000
1.280000	0.2	8,960.000000
1.283333	0.2	9,856.000000
1.286667	0.2	10,920.000000
1.290000	0.2	11,951.000000
1.293333	0.2	12,648.000000
1.296667	0.2	12,845.000000
1.300000	0.2	12,558.000000
1.303333	0.2	12,018.000000
1.306667	0.2	11,464.000000
1.310000	0.2	11,059.000000
1.313333	0.2	10,855.000000
1.316667	0.2	10,780.000000
1.320000	0.2	10,741.000000
1.323333	0.2	10,725.000000
1.326667	0.2	10,660.000000
1.330000	0.2	10,441.000000
1.333333	0.2	10,088.000000
1.336667	0.2	9,685.000000
1.340000	0.2	9,338.000000
1.343333	0.2	9,017.000000
1.346667	0.2	8,482.000000
1.350000	0.2	7,405.000000
1.353333	0.2	5,747.000000
1.356667	0.2	3,663.000000
1.360000	0.2	1,373.000000
1.363333	0.2	-876.000000
1.366667	0.2	-2,896.000000
1.370000	0.2	-4,490.000000
1.373333	0.2	-5,534.000000
1.376667	0.2	-5,841.000000
1.380000	0.2	-5,224.000000
1.383333	0.2	-3,664.000000
1.386667	0.2	-1,420.000000
1.390000	0.2	1,216.000000
1.393333	0.2	3,862.000000
1.396667	0.2	6,102.000000
1.400000	0.2	7,700.000000
1.403333	0.2	8,612.000000
1.406667	0.2	8,953.000000
1.410000	0.2	8,904.000000
1.413333	0.2	8,589.000000
1.416667	0.2	8,148.000000
1.420000	0.2	7,658.000000
1.423333	0.2	7,187.000000
1.426667	0.2	6,863.000000
1.430000	0.2	6,777.000000
1.433333	0.2	6,870.000000
1.436667	0.2	7,007.000000
1.440000	0.2	7,020.000000
1.443333	0.2	6,873.000000
1.446667	0.2	6,676.000000
1.450000	0.2	6,596.000000
1.453333	0.2	6,701.000000
1.456667	0.2	6,968.000000
1.460000	0.2	7,310.000000
1.463333	0.2	7,759.000000
1.466667	0.2	8,412.000000
1.470000	0.2	9,248.000000
1.473333	0.2	10,221.000000
1.476667	0.2	11,081.000000
1.480000	0.2	11,514.000000
1.483333	0.2	11,299.000000
1.486667	0.2	10,444.000000
1.490000	0.2	9,085.000000
1.493333	0.2	7,513.000000
1.496667	0.2	6,088.000000
1.500000	0.2	5,031.000000
1.503333	0.2	4,461.000000
1.506667	0.2	4,391.000000
1.510000	0.2	4,827.000000
1.513333	0.2	5,654.000000
1.516667	0.2	6,631.000000
1.520000	0.2	7,636.000000
1.523333	0.2	8,604.000000
1.526667	0.2	9,449.000000
1.530000	0.2	10,008.000000
1.533333	0.2	10,179.000000
1.536667	0.2	10,045.000000
1.540000	0.2	9,731.000000
1.543333	0.2	9,362.000000
1.546667	0.2	8,977.000000
1.550000	0.2	8,594.000000
1.553333	0.2	8,218.000000
1.556667	0.2	7,830.000000
1.560000	0.2	7,482.000000
1.563333	0.2	7,151.000000
1.566667	0.2	6,844.000000
1.570000	0.2	6,627.000000
1.573333	0.2	6,497.000000
1.576667	0.2	6,407.000000
1.580000	0.2	6,436.000000
1.583333	0.2	6,761.000000
1.586667	0.2	7,481.000000
1.590000	0.2	8,458.000000
1.593333	0.2	9,499.000000
1.596667	0.2	10,422.000000
1.600000	0.2	11,013.000000
1.603333	0.2	11,167.000000
1.606667	0.2	10,923.000000
1.610000	0.2	10,412.000000
1.613333	0.2	9,710.000000
1.616667	0.2	8,746.000000
1.620000	0.2	7,565.000000
1.623333	0.2	6,421.000000
1.626667	0.2	5,554.000000
1.630000	0.2	4,975.000000
1.633333	0.2	4,648.000000
1.636667	0.2	4,543.000000
1.640000	0.2	4,711.000000
1.643333	0.2	5,115.000000
1.646667	0.2	5,650.000000
1.650000	0.2	6,184.000000
1.653333	0.2	6,583.000000
1.656667	0.2	6,834.000000
1.660000	0.2	6,914.000000
1.663333	0.2	6,845.000000
1.666667	0.2	6,670.000000
1.670000	0.2	6,415.000000
1.673333	0.2	6,125.000000
1.676667	0.2	5,816.000000
1.680000	0.2	5,489.000000
1.683333	0.2	5,316.000000
1.686667	0.2	5,454.000000
1.690000	0.2	5,928.000000
1.693333	0.2	6,616.000000
1.696667	0.2	7,408.000000
1.700000	0.2	8,261.000000
1.703333	0.2	9,021.000000
1.706667	0.2	9,577.000000
1.710000	0.2	9,880.000000
1.713333	0.2	9,929.000000
1.716667	0.2	9,775.000000
1.720000	0.2	9,410.000000
1.723333	0.2	8,875.000000
1.726667	0.2	8,373.000000
1.730000	0.2	8,068.000000
1.733333	0.2	7,992.000000
1.736667	0.2	7,998.000000
1.740000	0.2	8,008.000000
1.743333	0.2	8,027.000000
1.746667	0.2	8,078.000000
1.750000	0.2	8,113.000000
1.753333	0.2	7,941.000000
1.756667	0.2	7,491.000000
1.760000	0.2	6,885.000000
1.763333	0.2	6,084.000000
1.766667	0.2	5,066.000000
1.770000	0.2	3,951.000000
1.773333	0.2	2,909.000000
1.776667	0.2	2,009.000000
1.780000	0.2	1,354.000000
1.783333	0.2	1,054.000000
1.786667	0.2	1,160.000000
1.790000	0.2	1,513.000000
1.793333	0.2	1,984.000000
1.796667	0.2	2,620.000000
1.800000	0.2	3,436.000000
1.803333	0.2	4,305.000000
1.806667	0.2	5,072.000000
1.810000	0.2	5,646.000000
1.813333	0.2	6,010.000000
1.816667	0.2	6,157.000000
1.820000	0.2	6,177.000000
1.823333	0.2	6,136.000000
1.826667	0.2	6,026.000000
1.830000	0.2	5,848.000000
1.833333	0.2	5,648.000000
1.836667	0.2	5,452.000000
1.840000	0.2	5,276.000000
1.843333	0.2	5,139.000000
1.846667	0.2	5,054.000000
1.850000	0.2	4,940.000000
1.853333	0.2	4,679.000000
1.856667	0.2	4,162.000000
1.860000	0.2	3,409.000000
1.863333	0.2	2,573.000000
1.866667	0.2	1,847.000000
1.870000	0.2	1,328.000000
1.873333	0.2	1,001.000000
1.876667	0.2	855.000000
1.880000	0.2	849.000000
1.883333	0.2	862.000000
1.886667	0.2	771.000000
1.890000	0.2	504.000000
1.893333	0.2	95.000000
1.896667	0.2	-398.000000
1.900000	0.2	-875.000000
1.903333	0.2	-1,178.000000
1.906667	0.2	-1,179.000000
1.910000	0.2	-721.000000
1.913333	0.2	168.000000
1.916667	0.2	1,315.000000
1.920000	0.2	2,468.000000
1.923333	0.2	3,374.000000
1.926667	0.2	3,875.000000
1.930000	0.2	4,011.000000
1.933333	0.2	3,861.000000
1.936667	0.2	3,533.000000
1.940000	0.2	3,072.000000
1.943333	0.2	2,468.000000
