URL	chrom://farber-hplc/test001/Josh/Standards/1.9.24 Algorithm Rerun w different gradient Rep 2.seq/475.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.9.24 Algorithm Rerun w different gradient Rep 2
Name	0:0:1
Number	7
Position	RA7
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/9/2024 6:32:39 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000617
Data Points	38603
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.479424
Signal Max.	36.655960
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.128
Average Step (s)	0.10103199

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.022147
0.001667	0.1	-0.022739
0.003333	0.1	-0.025216
0.005000	0.1	-0.029942
0.006667	0.1	-0.030286
0.008333	0.1	-0.027541
0.010000	0.1	-0.037051
0.011667	0.1	-0.051771
0.013333	0.1	-0.055533
0.015000	0.1	-0.045547
0.016667	0.1	-0.028667
0.018333	0.1	-0.008071
0.020000	0.1	0.012066
0.021667	0.1	0.024678
0.023333	0.1	0.024855
0.025000	0.1	0.007056
0.026667	0.1	-0.028035
0.028333	0.1	-0.057683
0.030000	0.1	-0.065768
0.031667	0.1	-0.057040
0.033667	0.12	-0.051784
0.035333	0.1	-0.056300
0.037050	0.103	-0.060610
0.038667	0.097	-0.057636
0.040333	0.1	-0.055305
0.042000	0.1	-0.063521
0.043667	0.1	-0.067444
0.045333	0.1	-0.055697
0.047000	0.1	-0.033793
0.048667	0.1	-0.015281
0.050367	0.102	-0.009823
0.052033	0.1	-0.014127
0.053700	0.1	-0.016841
0.055367	0.1	-0.013814
0.057033	0.1	-0.021520
0.058700	0.1	-0.046148
0.060367	0.1	-0.074222
0.062033	0.1	-0.089999
0.063700	0.1	-0.096602
0.065717	0.121	-0.106546
0.067367	0.099	-0.111891
0.069033	0.1	-0.099299
0.070700	0.1	-0.073038
0.072367	0.1	-0.047586
0.074033	0.1	-0.028167
0.075700	0.1	-0.016379
0.077367	0.1	-0.020555
0.079033	0.1	-0.039202
0.080700	0.1	-0.056820
0.082400	0.102	-0.064115
0.084033	0.098	-0.064391
0.085700	0.1	-0.059944
0.087367	0.1	-0.046513
0.089033	0.1	-0.029030
0.090700	0.1	-0.021117
0.092367	0.1	-0.022152
0.094033	0.1	-0.027065
0.095700	0.1	-0.041776
0.097367	0.1	-0.058369
0.099367	0.12	-0.055486
0.101033	0.1	-0.033354
0.102733	0.102	-0.004511
0.104367	0.098	0.017957
0.106050	0.101	0.026417
0.107700	0.099	0.017388
0.109367	0.1	0.001589
0.111033	0.1	-0.005395
0.112717	0.101	0.000007
0.114367	0.099	0.010717
0.116017	0.099	0.020248
0.117683	0.1	0.028231
0.119350	0.1	0.029545
0.121017	0.1	0.018306
0.122700	0.101	0.002316
0.124350	0.099	-0.010866
0.126017	0.1	-0.014276
0.127683	0.1	-0.009388
0.129350	0.1	-0.005617
0.131017	0.1	-0.000752
0.133000	0.119	0.004422
0.134667	0.1	0.008405
0.136333	0.1	0.008643
0.138017	0.101	0.010588
0.139667	0.099	0.017408
0.141333	0.1	0.024234
0.143000	0.1	0.018940
0.144667	0.1	0.001721
0.146333	0.1	-0.014551
0.148000	0.1	-0.017620
0.149667	0.1	-0.006322
0.151333	0.1	0.004486
0.153000	0.1	0.003399
0.154667	0.1	-0.008864
0.156333	0.1	-0.024595
0.158000	0.1	-0.029116
0.159667	0.1	-0.021902
0.161333	0.1	-0.003883
0.163000	0.1	0.011664
0.164667	0.1	0.009865
0.166667	0.12	-0.004987
0.168333	0.1	-0.015670
0.170000	0.1	-0.014354
0.171667	0.1	-0.000366
0.173333	0.1	0.012031
0.175000	0.1	0.013791
0.176667	0.1	0.011823
0.178333	0.1	0.011117
0.180000	0.1	0.003432
0.181667	0.1	-0.006542
0.183333	0.1	-0.007102
0.185000	0.1	-0.008114
0.186667	0.1	-0.016286
0.188333	0.1	-0.020941
0.190000	0.1	-0.017068
0.191667	0.1	-0.007779
0.193333	0.1	0.002397
0.195000	0.1	0.003636
0.196667	0.1	-0.012625
0.198333	0.1	-0.024950
0.200350	0.121	-0.020377
0.202000	0.099	-0.005627
0.203667	0.1	0.009464
0.205333	0.1	0.019906
0.207000	0.1	0.027694
0.208667	0.1	0.031937
0.210333	0.1	0.027557
0.212000	0.1	0.014581
0.213667	0.1	0.002382
0.215333	0.1	0.000039
0.217000	0.1	0.001971
0.218667	0.1	0.007410
0.220333	0.1	0.012466
0.222000	0.1	0.016775
0.223667	0.1	0.025890
0.225333	0.1	0.036229
0.227000	0.1	0.035344
0.228667	0.1	0.021912
0.230333	0.1	0.001214
0.232000	0.1	-0.015601
0.234117	0.127	-0.019795
0.235783	0.1	-0.015546
0.237450	0.1	-0.005528
0.239100	0.099	0.000203
0.240783	0.101	-0.003554
0.242433	0.099	-0.006433
0.244117	0.101	-0.010029
0.245767	0.099	-0.017675
0.247450	0.101	-0.034824
0.249083	0.098	-0.060725
0.250767	0.101	-0.081784
0.252417	0.099	-0.084898
0.254100	0.101	-0.063338
0.255750	0.099	-0.025666
0.257433	0.101	0.012011
0.259083	0.099	0.037861
0.260767	0.101	0.047122
0.262417	0.099	0.038197
0.264100	0.101	0.023067
0.266083	0.119	0.006705
0.267750	0.1	-0.005134
0.269433	0.101	-0.004462
0.271083	0.099	0.002153
0.272767	0.101	0.010257
0.274417	0.099	0.020284
0.276083	0.1	0.029872
0.277750	0.1	0.036396
0.279417	0.1	0.037426
0.281083	0.1	0.036732
0.282750	0.1	0.036219
0.284417	0.1	0.027500
0.286083	0.1	0.017875
0.287750	0.1	0.017234
0.289433	0.101	0.014445
0.291083	0.099	0.004262
0.292750	0.1	-0.007143
0.294417	0.1	-0.014560
0.296083	0.1	-0.018610
0.297750	0.1	-0.016267
0.299750	0.12	-0.014775
0.301417	0.1	-0.012712
0.303117	0.102	-0.000750
0.304750	0.098	0.019902
0.306417	0.1	0.038432
0.308083	0.1	0.044552
0.309750	0.1	0.035738
0.311417	0.1	0.014993
0.313083	0.1	-0.002011
0.314750	0.1	-0.010751
0.316417	0.1	-0.015295
