URL	chrom://farber-hplc/test001/Josh/Standards/1.9.24 Algorithm Rerun w different gradient Rep 2.seq/949.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.9.24 Algorithm Rerun w different gradient Rep 2
Name	1:0.5:0.5
Number	9
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/9/2024 8:45:06 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000317
Data Points	38603
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.502692
Signal Max.	75.770150
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.128
Average Step (s)	0.10103153

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.018644
0.001650	0.099	-0.002641
0.003317	0.1	-0.028273
0.004983	0.1	-0.040061
0.006650	0.1	-0.039365
0.008317	0.1	-0.034941
0.009983	0.1	-0.033963
0.011650	0.1	-0.032913
0.013317	0.1	-0.029447
0.014983	0.1	-0.035082
0.016650	0.1	-0.044720
0.018317	0.1	-0.048887
0.019983	0.1	-0.051307
0.021650	0.1	-0.056488
0.023317	0.1	-0.061128
0.024983	0.1	-0.064263
0.026650	0.1	-0.070486
0.028317	0.1	-0.078509
0.029983	0.1	-0.085468
0.031983	0.12	-0.083034
0.033650	0.1	-0.070898
0.035400	0.105	-0.053767
0.036983	0.095	-0.039152
0.038650	0.1	-0.040596
0.040317	0.1	-0.055503
0.041983	0.1	-0.067827
0.043650	0.1	-0.067091
0.045333	0.101	-0.061704
0.046983	0.099	-0.054538
0.048650	0.1	-0.047739
0.050317	0.1	-0.046805
0.051983	0.1	-0.047268
0.053650	0.1	-0.044833
0.055317	0.1	-0.041940
0.056983	0.1	-0.043802
0.058650	0.1	-0.052619
0.060317	0.1	-0.062533
0.061983	0.1	-0.062823
0.063650	0.1	-0.056521
0.065650	0.12	-0.058990
0.067317	0.1	-0.067323
0.068983	0.1	-0.073422
0.070717	0.104	-0.069438
0.072317	0.096	-0.059346
0.073983	0.1	-0.048862
0.075650	0.1	-0.046057
0.077317	0.1	-0.058865
0.078983	0.1	-0.068122
0.080650	0.1	-0.056592
0.082317	0.1	-0.033136
0.084017	0.102	-0.015797
0.085683	0.1	-0.009190
0.087350	0.1	-0.007681
0.089017	0.1	-0.014202
0.090683	0.1	-0.036336
0.092350	0.1	-0.062188
0.094017	0.1	-0.067233
0.095683	0.1	-0.051233
0.097350	0.1	-0.032745
0.099350	0.12	-0.029293
0.101017	0.1	-0.038319
0.102683	0.1	-0.046246
0.104367	0.101	-0.045868
0.106033	0.1	-0.036690
0.107683	0.099	-0.033609
0.109350	0.1	-0.033311
0.111017	0.1	-0.028479
0.112683	0.1	-0.017797
0.114367	0.101	-0.008599
0.116017	0.099	-0.004660
0.117683	0.1	-0.002723
0.119350	0.1	-0.007540
0.121017	0.1	-0.021404
0.122683	0.1	-0.034994
0.124350	0.1	-0.044559
0.126017	0.1	-0.054244
0.127683	0.1	-0.065289
0.129350	0.1	-0.067585
0.131017	0.1	-0.055690
0.133050	0.122	-0.042366
0.134767	0.103	-0.030266
0.136433	0.1	-0.023768
0.138067	0.098	-0.027477
0.139733	0.1	-0.035936
0.141417	0.101	-0.039529
0.143067	0.099	-0.034365
0.144733	0.1	-0.028481
0.146400	0.1	-0.021428
0.148067	0.1	-0.007343
0.149733	0.1	0.005507
0.151400	0.1	-0.000876
0.153067	0.1	-0.026807
0.154733	0.1	-0.047893
0.156400	0.1	-0.047297
0.158067	0.1	-0.032524
0.159733	0.1	-0.016898
0.161400	0.1	-0.012343
0.163067	0.1	-0.017227
0.165133	0.124	-0.021041
0.166733	0.096	-0.023743
0.168400	0.1	-0.023333
0.170067	0.1	-0.013875
0.171733	0.1	-0.001839
0.173400	0.1	0.007622
0.175067	0.1	0.013749
0.176733	0.1	0.017091
0.178400	0.1	0.014478
0.180067	0.1	0.003835
0.181733	0.1	-0.009408
0.183433	0.102	-0.024139
0.185100	0.1	-0.032318
0.186767	0.1	-0.029448
0.188433	0.1	-0.017442
0.190100	0.1	-0.010767
0.191767	0.1	-0.011338
0.193433	0.1	-0.015204
0.195100	0.1	-0.024191
0.196767	0.1	-0.042669
0.198767	0.12	-0.066887
0.200433	0.1	-0.079510
0.202100	0.1	-0.073614
0.203767	0.1	-0.054911
0.205433	0.1	-0.037902
0.207100	0.1	-0.030865
0.208767	0.1	-0.029644
0.210433	0.1	-0.027226
0.212100	0.1	-0.014538
0.213767	0.1	0.000433
0.215433	0.1	0.009693
0.217100	0.1	0.011106
0.218767	0.1	0.005546
0.220433	0.1	0.002274
0.222100	0.1	0.002095
0.223767	0.1	-0.001504
0.225433	0.1	-0.004248
0.227100	0.1	-0.002330
0.228767	0.1	0.000596
0.230433	0.1	-0.000753
0.232433	0.12	-0.002611
0.234083	0.099	-0.008514
0.235767	0.101	-0.027996
0.237417	0.099	-0.051716
0.239083	0.1	-0.061431
0.240750	0.1	-0.058291
0.242417	0.1	-0.048859
0.244083	0.1	-0.031093
0.245750	0.1	-0.010882
0.247417	0.1	0.002195
0.249083	0.1	0.004605
0.250733	0.099	0.007828
0.252400	0.1	0.008196
0.254067	0.1	0.005114
0.255733	0.1	0.004805
0.257400	0.1	0.008381
0.259067	0.1	0.012351
0.260733	0.1	0.007041
0.262400	0.1	-0.007067
0.264067	0.1	-0.021226
0.266067	0.12	-0.025305
0.267767	0.102	-0.015826
0.269400	0.098	-0.001899
0.271083	0.101	0.000102
0.272733	0.099	-0.012687
0.274400	0.1	-0.021666
0.276067	0.1	-0.019220
0.277733	0.1	-0.019716
0.279400	0.1	-0.024923
0.281067	0.1	-0.026955
0.282733	0.1	-0.024981
0.284400	0.1	-0.021655
0.286067	0.1	-0.015933
0.287733	0.1	-0.010171
0.289400	0.1	-0.009913
0.291067	0.1	-0.012100
0.292733	0.1	-0.011697
0.294400	0.1	-0.010075
0.296067	0.1	-0.001386
0.297733	0.1	0.010564
0.299733	0.12	0.008686
0.301400	0.1	-0.004507
0.303067	0.1	-0.011672
0.304733	0.1	-0.011466
0.306400	0.1	-0.012720
0.308067	0.1	-0.017736
0.309733	0.1	-0.028688
0.311400	0.1	-0.037078
0.313067	0.1	-0.032619
0.314733	0.1	-0.023992
0.316400	0.1	-0.014503
