URL	chrom://farber-hplc/test001/Josh/Standards/1.9.24 Algorithm Rerun w different gradient Rep 2.seq/949.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	1.9.24 Algorithm Rerun w different gradient Rep 2
Name	1:0.5:0.5
Number	9
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/9/2024 8:45:06 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003317
Time Max. (min)	65.003317
Data Points	19501
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-97,285.000000
Signal Max.	143,217.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /510 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003317	n.a.	0.000000
0.006650	0.2	0.000000
0.009983	0.2	0.000000
0.013317	0.2	0.000000
0.016650	0.2	0.000000
0.019983	0.2	183.000000
0.023317	0.2	637.000000
0.026650	0.2	1,184.000000
0.029983	0.2	1,824.000000
0.033317	0.2	2,650.000000
0.036650	0.2	3,652.000000
0.039983	0.2	4,672.000000
0.043317	0.2	5,567.000000
0.046650	0.2	6,296.000000
0.049983	0.2	6,918.000000
0.053317	0.2	7,596.000000
0.056650	0.2	8,409.000000
0.059983	0.2	9,270.000000
0.063317	0.2	9,984.000000
0.066650	0.2	10,329.000000
0.069983	0.2	10,239.000000
0.073317	0.2	9,749.000000
0.076650	0.2	8,947.000000
0.079983	0.2	7,963.000000
0.083317	0.2	7,085.000000
0.086650	0.2	6,498.000000
0.089983	0.2	6,240.000000
0.093317	0.2	6,286.000000
0.096650	0.2	6,445.000000
0.099983	0.2	6,637.000000
0.103317	0.2	6,914.000000
0.106650	0.2	7,314.000000
0.109983	0.2	7,860.000000
0.113317	0.2	8,635.000000
0.116650	0.2	9,562.000000
0.119983	0.2	10,436.000000
0.123317	0.2	11,249.000000
0.126650	0.2	12,068.000000
0.129983	0.2	12,917.000000
0.133317	0.2	13,671.000000
0.136650	0.2	14,146.000000
0.139983	0.2	14,272.000000
0.143317	0.2	14,036.000000
0.146650	0.2	13,630.000000
0.149983	0.2	13,231.000000
0.153317	0.2	12,910.000000
0.156650	0.2	12,730.000000
0.159983	0.2	12,658.000000
0.163317	0.2	12,647.000000
0.166650	0.2	12,605.000000
0.169983	0.2	12,586.000000
0.173317	0.2	12,671.000000
0.176650	0.2	12,798.000000
0.179983	0.2	12,914.000000
0.183317	0.2	12,942.000000
0.186650	0.2	12,702.000000
0.189983	0.2	12,086.000000
0.193317	0.2	11,104.000000
0.196650	0.2	9,853.000000
0.199983	0.2	8,470.000000
0.203317	0.2	7,193.000000
0.206650	0.2	6,172.000000
0.209983	0.2	5,475.000000
0.213317	0.2	5,242.000000
0.216650	0.2	5,590.000000
0.219983	0.2	6,447.000000
0.223317	0.2	7,584.000000
0.226650	0.2	8,737.000000
0.229983	0.2	9,619.000000
0.233317	0.2	10,047.000000
0.236650	0.2	10,037.000000
0.239983	0.2	9,633.000000
0.243317	0.2	8,995.000000
0.246650	0.2	8,365.000000
0.249983	0.2	7,910.000000
0.253317	0.2	7,701.000000
0.256650	0.2	7,707.000000
0.259983	0.2	7,748.000000
0.263317	0.2	7,601.000000
0.266650	0.2	7,254.000000
0.269983	0.2	6,856.000000
0.273317	0.2	6,526.000000
0.276650	0.2	6,379.000000
0.279983	0.2	6,451.000000
0.283317	0.2	6,520.000000
0.286650	0.2	6,503.000000
0.289983	0.2	6,483.000000
0.293317	0.2	6,503.000000
0.296650	0.2	6,540.000000
0.299983	0.2	6,648.000000
0.303317	0.2	6,861.000000
0.306650	0.2	7,234.000000
0.309983	0.2	7,817.000000
0.313317	0.2	8,453.000000
0.316650	0.2	8,964.000000
0.319983	0.2	9,289.000000
0.323317	0.2	9,377.000000
0.326650	0.2	9,222.000000
0.329983	0.2	8,903.000000
0.333317	0.2	8,545.000000
0.336650	0.2	8,232.000000
0.339983	0.2	7,987.000000
0.343317	0.2	7,841.000000
0.346650	0.2	7,718.000000
0.349983	0.2	7,565.000000
0.353317	0.2	7,412.000000
0.356650	0.2	7,317.000000
0.359983	0.2	7,245.000000
0.363317	0.2	7,177.000000
0.366650	0.2	7,069.000000
0.369983	0.2	6,915.000000
0.373317	0.2	6,845.000000
0.376650	0.2	7,076.000000
0.379983	0.2	7,589.000000
0.383317	0.2	8,279.000000
0.386650	0.2	9,074.000000
0.389983	0.2	9,995.000000
0.393317	0.2	10,960.000000
0.396650	0.2	11,737.000000
0.399983	0.2	12,142.000000
0.403317	0.2	12,212.000000
0.406650	0.2	12,006.000000
0.409983	0.2	11,613.000000
0.413317	0.2	11,121.000000
0.416650	0.2	10,573.000000
0.419983	0.2	10,081.000000
0.423317	0.2	9,674.000000
0.426650	0.2	9,485.000000
0.429983	0.2	9,666.000000
0.433317	0.2	10,232.000000
0.436650	0.2	11,152.000000
0.439983	0.2	12,252.000000
0.443317	0.2	13,230.000000
0.446650	0.2	13,862.000000
0.449983	0.2	14,117.000000
0.453317	0.2	14,038.000000
0.456650	0.2	13,684.000000
0.459983	0.2	13,148.000000
0.463317	0.2	12,530.000000
0.466650	0.2	11,928.000000
0.469983	0.2	11,426.000000
0.473317	0.2	11,094.000000
0.476650	0.2	10,816.000000
0.479983	0.2	10,546.000000
0.483317	0.2	10,257.000000
0.486650	0.2	10,059.000000
0.489983	0.2	9,972.000000
0.493317	0.2	9,931.000000
0.496650	0.2	9,931.000000
0.499983	0.2	9,951.000000
0.503317	0.2	9,976.000000
0.506650	0.2	9,955.000000
0.509983	0.2	9,858.000000
0.513317	0.2	9,587.000000
0.516650	0.2	9,136.000000
0.519983	0.2	8,632.000000
0.523317	0.2	8,176.000000
0.526650	0.2	7,750.000000
0.529983	0.2	7,297.000000
0.533317	0.2	6,826.000000
0.536650	0.2	6,330.000000
0.539983	0.2	5,660.000000
0.543317	0.2	4,772.000000
0.546650	0.2	3,834.000000
0.549983	0.2	3,146.000000
0.553317	0.2	2,949.000000
0.556650	0.2	3,436.000000
0.559983	0.2	4,576.000000
0.563317	0.2	6,096.000000
0.566650	0.2	7,781.000000
0.569983	0.2	9,386.000000
0.573317	0.2	10,712.000000
0.576650	0.2	11,620.000000
0.579983	0.2	12,059.000000
0.583317	0.2	12,058.000000
0.586650	0.2	11,803.000000
0.589983	0.2	11,428.000000
0.593317	0.2	10,919.000000
0.596650	0.2	10,337.000000
0.599983	0.2	9,733.000000
0.603317	0.2	9,188.000000
0.606650	0.2	8,763.000000
0.609983	0.2	8,472.000000
0.613317	0.2	8,285.000000
0.616650	0.2	8,195.000000
0.619983	0.2	8,250.000000
0.623317	0.2	8,373.000000
0.626650	0.2	8,425.000000
0.629983	0.2	8,418.000000
0.633317	0.2	8,635.000000
0.636650	0.2	9,170.000000
0.639983	0.2	9,994.000000
0.643317	0.2	11,056.000000
0.646650	0.2	12,420.000000
0.649983	0.2	14,232.000000
0.653317	0.2	16,522.000000
0.656650	0.2	19,123.000000
0.659983	0.2	21,683.000000
0.663317	0.2	23,972.000000
0.666650	0.2	25,946.000000
0.669983	0.2	27,678.000000
0.673317	0.2	29,173.000000
0.676650	0.2	30,357.000000
0.679983	0.2	31,224.000000
0.683317	0.2	31,841.000000
0.686650	0.2	32,120.000000
0.689983	0.2	31,847.000000
0.693317	0.2	30,876.000000
0.696650	0.2	29,303.000000
0.699983	0.2	27,407.000000
0.703317	0.2	25,586.000000
0.706650	0.2	24,043.000000
0.709983	0.2	22,744.000000
0.713317	0.2	21,665.000000
0.716650	0.2	20,795.000000
0.719983	0.2	19,962.000000
0.723317	0.2	18,750.000000
0.726650	0.2	16,491.000000
0.729983	0.2	12,431.000000
0.733317	0.2	5,925.000000
0.736650	0.2	-3,327.000000
0.739983	0.2	-15,155.000000
0.743317	0.2	-28,937.000000
0.746650	0.2	-43,752.000000
0.749983	0.2	-58,534.000000
0.753317	0.2	-72,177.000000
0.756650	0.2	-83,598.000000
0.759983	0.2	-91,872.000000
0.763317	0.2	-96,469.000000
0.766650	0.2	-97,285.000000
0.769983	0.2	-94,359.000000
0.773317	0.2	-87,830.000000
0.776650	0.2	-78,183.000000
0.779983	0.2	-66,133.000000
0.783317	0.2	-52,375.000000
0.786650	0.2	-37,595.000000
0.789983	0.2	-22,464.000000
0.793317	0.2	-7,693.000000
0.796650	0.2	6,026.000000
0.799983	0.2	18,191.000000
0.803317	0.2	28,710.000000
0.806650	0.2	37,638.000000
0.809983	0.2	45,170.000000
0.813317	0.2	51,525.000000
0.816650	0.2	56,870.000000
0.819983	0.2	61,241.000000
0.823317	0.2	64,690.000000
0.826650	0.2	67,495.000000
0.829983	0.2	69,837.000000
0.833317	0.2	71,845.000000
0.836650	0.2	73,483.000000
0.839983	0.2	74,634.000000
0.843317	0.2	75,224.000000
0.846650	0.2	75,280.000000
0.849983	0.2	74,870.000000
0.853317	0.2	74,057.000000
0.856650	0.2	72,885.000000
0.859983	0.2	71,366.000000
0.863317	0.2	69,595.000000
0.866650	0.2	67,644.000000
0.869983	0.2	65,421.000000
0.873317	0.2	62,792.000000
0.876650	0.2	59,732.000000
0.879983	0.2	56,292.000000
0.883317	0.2	52,638.000000
0.886650	0.2	49,023.000000
0.889983	0.2	45,749.000000
0.893317	0.2	42,911.000000
0.896650	0.2	40,444.000000
0.899983	0.2	38,199.000000
0.903317	0.2	36,144.000000
0.906650	0.2	34,246.000000
0.909983	0.2	32,443.000000
0.913317	0.2	30,632.000000
0.916650	0.2	28,715.000000
0.919983	0.2	26,684.000000
0.923317	0.2	24,480.000000
0.926650	0.2	22,064.000000
0.929983	0.2	19,673.000000
0.933317	0.2	17,642.000000
0.936650	0.2	16,195.000000
0.939983	0.2	15,288.000000
0.943317	0.2	14,688.000000
0.946650	0.2	14,168.000000
0.949983	0.2	13,604.000000
0.953317	0.2	12,869.000000
0.956650	0.2	11,917.000000
0.959983	0.2	10,914.000000
0.963317	0.2	10,058.000000
0.966650	0.2	9,484.000000
0.969983	0.2	9,222.000000
0.973317	0.2	9,262.000000
0.976650	0.2	9,643.000000
0.979983	0.2	10,335.000000
0.983317	0.2	11,224.000000
0.986650	0.2	12,243.000000
0.989983	0.2	13,269.000000
0.993317	0.2	14,132.000000
0.996650	0.2	14,775.000000
0.999983	0.2	15,145.000000
1.003317	0.2	15,138.000000
1.006650	0.2	14,732.000000
1.009983	0.2	14,067.000000
1.013317	0.2	13,229.000000
1.016650	0.2	12,369.000000
1.019983	0.2	11,676.000000
1.023317	0.2	11,286.000000
1.026650	0.2	11,204.000000
1.029983	0.2	11,245.000000
1.033317	0.2	11,227.000000
1.036650	0.2	11,058.000000
1.039983	0.2	10,815.000000
1.043317	0.2	10,597.000000
1.046650	0.2	10,352.000000
1.049983	0.2	10,046.000000
1.053317	0.2	9,779.000000
1.056650	0.2	9,546.000000
1.059983	0.2	9,362.000000
1.063317	0.2	9,370.000000
1.066650	0.2	9,465.000000
1.069983	0.2	9,361.000000
1.073317	0.2	8,887.000000
1.076650	0.2	8,104.000000
1.079983	0.2	7,222.000000
1.083317	0.2	6,516.000000
1.086650	0.2	6,172.000000
1.089983	0.2	6,256.000000
1.093317	0.2	6,674.000000
1.096650	0.2	7,256.000000
1.099983	0.2	7,890.000000
1.103317	0.2	8,438.000000
1.106650	0.2	8,897.000000
1.109983	0.2	9,258.000000
1.113317	0.2	9,473.000000
1.116650	0.2	9,530.000000
1.119983	0.2	9,549.000000
1.123317	0.2	9,660.000000
1.126650	0.2	9,840.000000
1.129983	0.2	10,036.000000
1.133317	0.2	10,226.000000
1.136650	0.2	10,416.000000
1.139983	0.2	10,596.000000
1.143317	0.2	10,714.000000
1.146650	0.2	10,831.000000
1.149983	0.2	10,978.000000
1.153317	0.2	10,914.000000
1.156650	0.2	10,418.000000
1.159983	0.2	9,437.000000
1.163317	0.2	8,107.000000
1.166650	0.2	6,700.000000
1.169983	0.2	5,479.000000
1.173317	0.2	4,529.000000
1.176650	0.2	3,804.000000
1.179983	0.2	3,298.000000
1.183317	0.2	3,062.000000
1.186650	0.2	3,100.000000
1.189983	0.2	3,419.000000
