URL	chrom://farber-hplc/test001/Josh/Standards/1.9.24 Algorithm Rerun w different gradient Rep 2.seq/904.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	1.9.24 Algorithm Rerun w different gradient Rep 2
Name	1:0:0
Number	3
Position	RA3
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/9/2024 2:07:44 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003283
Time Max. (min)	65.003283
Data Points	19501
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-109,184.000000
Signal Max.	142,129.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /510 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003283	n.a.	0.000000
0.006617	0.2	0.000000
0.009950	0.2	0.000000
0.013283	0.2	0.000000
0.016617	0.2	0.000000
0.019950	0.2	109.000000
0.023283	0.2	418.000000
0.026617	0.2	787.000000
0.029950	0.2	1,233.000000
0.033283	0.2	1,903.000000
0.036617	0.2	2,924.000000
0.039950	0.2	4,276.000000
0.043283	0.2	5,781.000000
0.046617	0.2	7,328.000000
0.049950	0.2	8,869.000000
0.053283	0.2	10,275.000000
0.056617	0.2	11,351.000000
0.059950	0.2	12,081.000000
0.063283	0.2	12,459.000000
0.066617	0.2	12,490.000000
0.069950	0.2	12,243.000000
0.073283	0.2	11,731.000000
0.076617	0.2	10,944.000000
0.079950	0.2	9,918.000000
0.083283	0.2	8,834.000000
0.086617	0.2	7,867.000000
0.089950	0.2	7,085.000000
0.093283	0.2	6,399.000000
0.096617	0.2	5,733.000000
0.099950	0.2	5,066.000000
0.103283	0.2	4,387.000000
0.106617	0.2	3,774.000000
0.109950	0.2	3,291.000000
0.113283	0.2	2,988.000000
0.116617	0.2	2,894.000000
0.119950	0.2	3,120.000000
