URL	chrom://farber-hplc/test001/Josh/Standards/1.9.24 Algorithm Rerun w different gradient Rep 2.seq/844.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.9.24 Algorithm Rerun w different gradient Rep 2
Name	Isopropanol Loading Blank
Number	1
Position	RA1
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/9/2024 11:55:14 AM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.001650
Data Points	38601
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.440235
Signal Max.	32.009990
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103883

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.012389
0.001650	0.099	0.017256
0.003350	0.102	0.017699
0.004983	0.098	-0.002759
0.006650	0.1	-0.015681
0.008317	0.1	-0.018125
0.009983	0.1	-0.018606
0.011650	0.1	-0.014074
0.013317	0.1	-0.003514
0.014983	0.1	0.007503
0.016650	0.1	0.008660
0.018317	0.1	0.007099
0.020017	0.102	0.007868
0.021650	0.098	0.005133
0.023317	0.1	-0.005697
0.024983	0.1	-0.020278
0.026650	0.1	-0.031948
0.028683	0.122	-0.040389
0.030317	0.098	-0.043269
0.031983	0.1	-0.041994
0.033650	0.1	-0.044206
0.035350	0.102	-0.048435
0.036983	0.098	-0.056257
0.038650	0.1	-0.063181
0.040317	0.1	-0.060132
0.041983	0.1	-0.049347
0.043650	0.1	-0.044086
0.045400	0.105	-0.050045
0.046983	0.095	-0.057571
0.048650	0.1	-0.057700
0.050317	0.1	-0.054670
0.051983	0.1	-0.049627
0.053650	0.1	-0.045252
0.055317	0.1	-0.041563
0.056983	0.1	-0.032023
0.058650	0.1	-0.026407
0.060317	0.1	-0.029349
0.062317	0.12	-0.033819
0.063983	0.1	-0.038244
0.065667	0.101	-0.042870
0.067317	0.099	-0.044857
0.068983	0.1	-0.049307
0.070650	0.1	-0.048613
0.072317	0.1	-0.031607
0.073983	0.1	-0.001481
0.075650	0.1	0.023569
0.077317	0.1	0.033748
0.078983	0.1	0.030861
0.080650	0.1	0.022201
0.082317	0.1	0.016412
0.083983	0.1	0.012305
0.085683	0.102	0.009521
0.087350	0.1	0.008557
0.089017	0.1	0.004152
0.090683	0.1	0.003538
0.092350	0.1	0.008110
0.094017	0.1	0.013595
0.096017	0.12	0.016296
0.097683	0.1	0.011461
0.099350	0.1	-0.004256
0.101017	0.1	-0.022404
0.102683	0.1	-0.027473
0.104350	0.1	-0.020252
0.106050	0.102	-0.014091
0.107683	0.098	-0.010079
0.109350	0.1	-0.004537
0.111017	0.1	-0.002264
0.112683	0.1	-0.011794
0.114350	0.1	-0.026390
0.116017	0.1	-0.029206
0.117683	0.1	-0.024440
0.119350	0.1	-0.017837
0.121017	0.1	-0.015656
0.122683	0.1	-0.021167
0.124350	0.1	-0.023689
0.126017	0.1	-0.016160
0.127683	0.1	-0.013005
0.129683	0.12	-0.030269
0.131350	0.1	-0.049997
0.133017	0.1	-0.050703
0.134683	0.1	-0.034628
0.136333	0.099	-0.015289
0.138000	0.1	-0.005259
0.139667	0.1	-0.007793
0.141333	0.1	-0.014528
0.143000	0.1	-0.014419
0.144667	0.1	-0.009166
0.146333	0.1	0.000926
0.148000	0.1	0.008461
0.149667	0.1	0.002139
0.151333	0.1	-0.008164
0.153000	0.1	-0.017603
0.154667	0.1	-0.018655
0.156333	0.1	-0.010338
0.158000	0.1	0.004846
0.159667	0.1	0.026012
0.161333	0.1	0.045232
0.163333	0.12	0.049522
0.165000	0.1	0.036516
0.166667	0.1	0.019968
0.168333	0.1	0.011819
0.169983	0.099	0.012307
0.171650	0.1	0.007704
0.173317	0.1	-0.005119
0.174983	0.1	-0.019075
0.176650	0.1	-0.023205
0.178317	0.1	-0.017286
0.179983	0.1	-0.009250
0.181650	0.1	-0.001356
0.183317	0.1	0.004090
0.184983	0.1	0.011044
