URL	chrom://farber-hplc/test001/Josh/Standards/1.9.24 Algorithm Rerun w different gradient Rep 2.seq/844.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	1.9.24 Algorithm Rerun w different gradient Rep 2
Name	Isopropanol Loading Blank
Number	1
Position	RA1
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/9/2024 11:55:14 AM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003217
Time Max. (min)	65.003217
Data Points	19501
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-121,074.000000
Signal Max.	144,369.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /510 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003217	n.a.	0.000000
0.006550	0.2	0.000000
0.009883	0.2	0.000000
0.013217	0.2	0.000000
0.016550	0.2	0.000000
0.019883	0.2	148.000000
0.023217	0.2	511.000000
0.026550	0.2	896.000000
0.029883	0.2	1,278.000000
0.033217	0.2	1,708.000000
0.036550	0.2	2,131.000000
0.039883	0.2	2,476.000000
0.043217	0.2	2,660.000000
0.046550	0.2	2,659.000000
0.049883	0.2	2,409.000000
0.053217	0.2	1,880.000000
0.056550	0.2	1,239.000000
0.059883	0.2	705.000000
0.063217	0.2	513.000000
0.066550	0.2	827.000000
0.069883	0.2	1,659.000000
0.073217	0.2	2,888.000000
0.076550	0.2	4,324.000000
0.079883	0.2	5,674.000000
0.083217	0.2	6,779.000000
0.086550	0.2	7,461.000000
0.089883	0.2	7,632.000000
0.093217	0.2	7,338.000000
0.096550	0.2	6,715.000000
0.099883	0.2	5,907.000000
0.103217	0.2	5,000.000000
0.106550	0.2	3,998.000000
0.109883	0.2	2,936.000000
0.113217	0.2	1,899.000000
0.116550	0.2	1,042.000000
0.119883	0.2	468.000000
0.123217	0.2	252.000000
0.126550	0.2	381.000000
0.129883	0.2	867.000000
0.133217	0.2	1,606.000000
0.136550	0.2	2,470.000000
0.139883	0.2	3,382.000000
0.143217	0.2	4,317.000000
0.146550	0.2	5,147.000000
0.149883	0.2	5,727.000000
0.153217	0.2	5,934.000000
0.156550	0.2	5,779.000000
0.159883	0.2	5,443.000000
0.163217	0.2	5,087.000000
0.166550	0.2	4,801.000000
0.169883	0.2	4,615.000000
0.173217	0.2	4,482.000000
0.176550	0.2	4,277.000000
0.179883	0.2	3,889.000000
0.183217	0.2	3,287.000000
0.186550	0.2	2,578.000000
0.189883	0.2	1,944.000000
0.193217	0.2	1,502.000000
0.196550	0.2	1,266.000000
0.199883	0.2	1,253.000000
0.203217	0.2	1,532.000000
0.206550	0.2	1,985.000000
0.209883	0.2	2,500.000000
0.213217	0.2	3,014.000000
0.216550	0.2	3,470.000000
0.219883	0.2	3,787.000000
0.223217	0.2	3,849.000000
0.226550	0.2	3,600.000000
0.229883	0.2	3,051.000000
0.233217	0.2	2,201.000000
0.236550	0.2	1,178.000000
0.239883	0.2	170.000000
0.243217	0.2	-678.000000
0.246550	0.2	-1,278.000000
0.249883	0.2	-1,623.000000
0.253217	0.2	-1,816.000000
0.256550	0.2	-1,909.000000
0.259883	0.2	-1,844.000000
0.263217	0.2	-1,545.000000
0.266550	0.2	-999.000000
0.269883	0.2	-336.000000
0.273217	0.2	266.000000
0.276550	0.2	663.000000
0.279883	0.2	865.000000
0.283217	0.2	947.000000
0.286550	0.2	959.000000
0.289883	0.2	1,125.000000
0.293217	0.2	1,582.000000
0.296550	0.2	2,274.000000
0.299883	0.2	3,122.000000
0.303217	0.2	4,001.000000
0.306550	0.2	4,678.000000
0.309883	0.2	5,017.000000
0.313217	0.2	4,992.000000
0.316550	0.2	4,545.000000
0.319883	0.2	3,647.000000
0.323217	0.2	2,442.000000
0.326550	0.2	1,097.000000
