URL	chrom://farber-hplc/test001/Josh/Standards/1.24.24 Algorithm Rerun w different gradient - Rep 4.seq/500.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.24.24 Algorithm Rerun w different gradient - Rep 4
Name	0.5:0.5:0.5 2
Number	12
Position	RA8
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/25/2024 4:51:50 AM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.001217
Data Points	38603
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.427297
Signal Max.	62.448850
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.095
Max. Step (s)	0.129
Average Step (s)	0.10103293

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.014805
0.001667	0.1	-0.006764
0.003333	0.1	0.000819
0.005000	0.1	0.001607
0.006667	0.1	-0.008281
0.008333	0.1	-0.018371
0.010000	0.1	-0.015327
0.011667	0.1	-0.008342
0.013317	0.099	-0.005743
0.014983	0.1	-0.004410
0.016650	0.1	-0.004006
0.018317	0.1	-0.004116
0.019983	0.1	-0.008475
0.021650	0.1	-0.019689
0.023317	0.1	-0.025295
0.024983	0.1	-0.014794
0.026650	0.1	0.002834
0.028317	0.1	0.011776
0.029967	0.099	0.004239
0.031633	0.1	-0.017770
0.033633	0.12	-0.044961
0.035333	0.102	-0.071534
0.036967	0.098	-0.087537
0.038633	0.1	-0.089595
0.040300	0.1	-0.085513
0.041967	0.1	-0.081277
0.043667	0.102	-0.079044
0.045300	0.098	-0.073041
0.046967	0.1	-0.068445
0.048633	0.1	-0.065142
0.050300	0.1	-0.055346
0.051967	0.1	-0.042473
0.053633	0.1	-0.048374
0.055300	0.1	-0.067724
0.056967	0.1	-0.075836
0.058633	0.1	-0.060471
0.060300	0.1	-0.035689
0.061967	0.1	-0.019299
0.063633	0.1	-0.011708
0.065300	0.1	-0.016405
0.067300	0.12	-0.034621
0.068967	0.1	-0.052967
0.070633	0.1	-0.057327
0.072300	0.1	-0.054082
0.073967	0.1	-0.055627
0.075633	0.1	-0.064454
0.077300	0.1	-0.070644
0.078967	0.1	-0.071756
0.080633	0.1	-0.071821
0.082300	0.1	-0.071273
0.083967	0.1	-0.061916
0.085633	0.1	-0.040398
0.087300	0.1	-0.017338
0.088967	0.1	0.004220
0.090633	0.1	0.019321
0.092300	0.1	0.022500
0.093967	0.1	0.007740
0.095633	0.1	-0.020833
0.097300	0.1	-0.046123
0.098967	0.1	-0.054589
0.100967	0.12	-0.051750
0.102633	0.1	-0.042574
0.104300	0.1	-0.032793
0.105967	0.1	-0.030269
0.107633	0.1	-0.030334
0.109300	0.1	-0.028840
0.110967	0.1	-0.025363
0.112633	0.1	-0.020265
0.114300	0.1	-0.017251
0.115967	0.1	-0.018536
0.117633	0.1	-0.016524
0.119300	0.1	-0.005758
0.120967	0.1	0.008111
0.122633	0.1	0.020023
0.124300	0.1	0.024987
0.125967	0.1	0.018272
0.127633	0.1	-0.003524
0.129333	0.102	-0.027770
0.131000	0.1	-0.040780
0.132667	0.1	-0.039311
0.134700	0.122	-0.027472
0.136350	0.099	-0.025044
0.138000	0.099	-0.038438
0.139667	0.1	-0.057598
0.141333	0.1	-0.062723
0.143000	0.1	-0.052045
0.144667	0.1	-0.043995
0.146333	0.1	-0.043827
0.148000	0.1	-0.045326
0.149667	0.1	-0.040381
0.151333	0.1	-0.029250
0.153017	0.101	-0.022538
0.154667	0.099	-0.019259
0.156333	0.1	-0.016792
0.158000	0.1	-0.013730
0.159667	0.1	-0.008598
0.161333	0.1	0.001132
0.163000	0.1	0.013031
0.164667	0.1	0.019855
0.166667	0.12	0.023798
0.168333	0.1	0.026934
0.170000	0.1	0.015823
0.171667	0.1	-0.009861
0.173333	0.1	-0.027473
0.175000	0.1	-0.021431
0.176667	0.1	-0.001486
0.178333	0.1	0.012215
0.179983	0.099	0.014633
0.181650	0.1	0.004164
0.183317	0.1	-0.018826
0.184983	0.1	-0.033688
0.186650	0.1	-0.028770
0.188317	0.1	-0.013747
0.189983	0.1	-0.005800
0.191650	0.1	-0.012104
0.193317	0.1	-0.029666
0.194983	0.1	-0.044078
0.196633	0.099	-0.049412
0.198300	0.1	-0.046872
0.200317	0.121	-0.034876
0.201967	0.099	-0.021200
0.203650	0.101	-0.021095
0.205333	0.101	-0.032975
0.207000	0.1	-0.041078
0.208633	0.098	-0.039603
0.210317	0.101	-0.039900
0.211967	0.099	-0.046271
0.213650	0.101	-0.048756
0.215300	0.099	-0.041861
0.216967	0.1	-0.030031
0.218633	0.1	-0.020239
0.220300	0.1	-0.016993
0.221967	0.1	-0.015639
0.223633	0.1	-0.010947
0.225300	0.1	-0.004424
0.226967	0.1	0.000505
0.228633	0.1	0.001188
0.230317	0.101	-0.000019
0.231967	0.099	-0.001510
0.233967	0.12	-0.006130
0.235633	0.1	-0.015167
0.237333	0.102	-0.019490
0.238967	0.098	-0.018127
0.240633	0.1	-0.014660
0.242300	0.1	-0.014176
0.243967	0.1	-0.015075
0.245633	0.1	-0.007686
0.247300	0.1	0.005021
0.248967	0.1	0.012634
0.250633	0.1	0.005657
0.252300	0.1	-0.017647
0.253967	0.1	-0.042159
0.255633	0.1	-0.048166
0.257300	0.1	-0.042020
0.258967	0.1	-0.031779
0.260633	0.1	-0.018293
0.262300	0.1	-0.006154
0.263967	0.1	0.006736
0.265633	0.1	0.022566
0.267633	0.12	0.034559
0.269300	0.1	0.032444
0.270967	0.1	0.023221
0.272633	0.1	0.014259
0.274300	0.1	0.009581
0.275967	0.1	0.011972
0.277633	0.1	0.019601
0.279300	0.1	0.022067
0.280967	0.1	0.018136
0.282633	0.1	0.004169
0.284300	0.1	-0.013764
0.285967	0.1	-0.025013
0.287633	0.1	-0.025681
0.289300	0.1	-0.015388
0.290967	0.1	0.003190
0.292633	0.1	0.017676
0.294300	0.1	0.018262
0.296000	0.102	0.003220
0.297667	0.1	-0.018356
0.299333	0.1	-0.034191
0.301350	0.121	-0.035513
0.303017	0.1	-0.024055
0.304683	0.1	-0.014224
0.306333	0.099	-0.008567
0.308000	0.1	-0.008948
0.309667	0.1	-0.011889
0.311333	0.1	-0.014480
0.313033	0.102	-0.012444
0.314667	0.098	-0.006912
0.316333	0.1	-0.003306
0.318000	0.1	-0.002591
0.319683	0.101	-0.007175
0.321333	0.099	-0.019069
0.323000	0.1	-0.024424
0.324667	0.1	-0.017303
0.326333	0.1	-0.010849
0.328000	0.1	-0.012328
0.329700	0.102	-0.013186
0.331333	0.098	-0.011411
0.333400	0.124	-0.014000
0.335050	0.099	-0.015955
0.336717	0.1	-0.011883
0.338383	0.1	-0.006872
0.340050	0.1	-0.005127
0.341717	0.1	-0.005325
0.343383	0.1	-0.003850
0.345050	0.1	-0.010388
0.346717	0.1	-0.020244
0.348383	0.1	-0.020966
0.350050	0.1	-0.012619
0.351717	0.1	-0.003180
0.353383	0.1	-0.003352
0.355050	0.1	-0.004990
0.356717	0.1	-0.003255
0.358383	0.1	-0.000992
0.360050	0.1	0.007359
0.361717	0.1	0.015503
0.363383	0.1	0.020367
0.365050	0.1	0.024826
0.367050	0.12	0.028275
0.368717	0.1	0.023237
0.370383	0.1	0.012391
0.372050	0.1	-0.001448
0.373783	0.104	-0.013759
0.375467	0.101	-0.013974
0.377133	0.1	-0.004039
0.378800	0.1	0.013100
0.380467	0.1	0.031681
0.382133	0.1	0.042196
0.383800	0.1	0.039089
0.385467	0.1	0.028852
0.387133	0.1	0.010377
0.388800	0.1	-0.010239
0.390467	0.1	-0.021833
0.392133	0.1	-0.024414
0.393800	0.1	-0.016441
0.395467	0.1	-0.001573
0.397133	0.1	0.008003
0.398800	0.1	0.001570
0.400833	0.122	-0.008122
0.402500	0.1	-0.008120
0.404133	0.098	-0.000406
0.405833	0.102	0.014502
0.407467	0.098	0.028307
0.409133	0.1	0.031595
0.410800	0.1	0.022621
0.412467	0.1	0.009577
0.414133	0.1	0.006200
0.415800	0.1	0.012920
0.417467	0.1	0.018856
0.419133	0.1	0.018514
0.420800	0.1	0.008356
0.422467	0.1	-0.007372
0.424133	0.1	-0.016318
0.425800	0.1	-0.008740
0.427467	0.1	0.005765
0.429133	0.1	0.005507
0.430800	0.1	-0.011610
0.432467	0.1	-0.029212
0.434483	0.121	-0.035768
0.436133	0.099	-0.032645
0.437800	0.1	-0.022327
0.439467	0.1	-0.015594
0.441133	0.1	-0.013929
0.442800	0.1	-0.017223
0.444467	0.1	-0.027549
0.446133	0.1	-0.037355
0.447800	0.1	-0.042398
0.449467	0.1	-0.042606
0.451133	0.1	-0.034489
0.452800	0.1	-0.030199
0.454467	0.1	-0.029848
0.456133	0.1	-0.025259
0.457800	0.1	-0.017870
0.459467	0.1	-0.023025
0.461133	0.1	-0.033403
0.462800	0.1	-0.029762
0.464467	0.1	-0.012955
0.466133	0.1	-0.000128
0.468133	0.12	-0.003767
0.469867	0.104	-0.022086
0.471483	0.097	-0.044494
0.473133	0.099	-0.063790
0.474800	0.1	-0.067374
0.476467	0.1	-0.055116
0.478133	0.1	-0.038559
0.479800	0.1	-0.032479
0.481467	0.1	-0.036510
0.483133	0.1	-0.040583
0.484800	0.1	-0.036499
0.486467	0.1	-0.025186
0.488133	0.1	-0.015375
0.489800	0.1	-0.013552
0.491467	0.1	-0.016785
0.493133	0.1	-0.014816
0.494800	0.1	-0.006968
0.496500	0.102	0.004013
0.498167	0.1	0.013688
0.500200	0.122	0.016287
0.501833	0.098	0.015919
0.503500	0.1	0.016371
0.505183	0.101	0.014472
0.506833	0.099	0.010376
0.508500	0.1	0.009390
0.510167	0.1	0.010756
0.511833	0.1	0.011034
0.513517	0.101	0.008480
0.515167	0.099	0.005036
0.516833	0.1	-0.000556
0.518500	0.1	-0.014098
0.520167	0.1	-0.023152
0.521850	0.101	-0.025558
0.523500	0.099	-0.025453
0.525167	0.1	-0.022816
0.526833	0.1	-0.027193
0.528500	0.1	-0.037399
0.530183	0.101	-0.036150
0.531833	0.099	-0.019573
0.533833	0.12	-0.011904
0.535500	0.1	-0.022518
0.537167	0.1	-0.033130
0.538833	0.1	-0.033939
0.540500	0.1	-0.026112
0.542167	0.1	-0.018777
0.543833	0.1	-0.022830
0.545500	0.1	-0.031351
0.547150	0.099	-0.028727
0.548817	0.1	-0.008979
0.550483	0.1	0.017643
0.552150	0.1	0.034218
0.553817	0.1	0.034565
0.555483	0.1	0.029617
0.557150	0.1	0.030670
0.558817	0.1	0.036493
0.560483	0.1	0.037744
0.562150	0.1	0.032644
0.563817	0.1	0.025802
0.565483	0.1	0.016931
0.567483	0.12	0.005802
0.569183	0.102	-0.004072
0.570817	0.098	-0.006422
0.572483	0.1	-0.000210
0.574167	0.101	0.006850
0.575817	0.099	0.005835
0.577483	0.1	-0.013844
0.579150	0.1	-0.043063
0.580800	0.099	-0.058683
0.582467	0.1	-0.052125
0.584133	0.1	-0.033051
0.585800	0.1	-0.017336
0.587467	0.1	-0.015411
0.589133	0.1	-0.022298
0.590800	0.1	-0.024480
0.592467	0.1	-0.018240
0.594133	0.1	-0.008780
0.595800	0.1	0.000348
0.597467	0.1	0.005215
0.599133	0.1	0.011950
0.601133	0.12	0.014033
0.602800	0.1	0.004225
0.604500	0.102	-0.014676
0.606133	0.098	-0.023840
0.607800	0.1	-0.019369
0.609467	0.1	-0.011753
0.611133	0.1	-0.008185
0.612800	0.1	-0.017810
0.614467	0.1	-0.036567
0.616133	0.1	-0.049309
0.617800	0.1	-0.052472
0.619467	0.1	-0.058817
0.621133	0.1	-0.062973
0.622800	0.1	-0.052688
0.624467	0.1	-0.034006
0.626133	0.1	-0.016021
0.627800	0.1	-0.003472
0.629467	0.1	0.005785
0.631133	0.1	0.006562
0.632800	0.1	0.003893
0.634800	0.12	0.001126
0.636467	0.1	-0.002453
0.638167	0.102	-0.015209
0.639817	0.099	-0.030989
0.641467	0.099	-0.028108
0.643133	0.1	-0.006246
0.644800	0.1	0.007545
0.646467	0.1	0.003757
0.648133	0.1	-0.000726
0.649800	0.1	0.000877
0.651467	0.1	0.004822
0.653133	0.1	-0.003240
0.654800	0.1	-0.023465
0.656467	0.1	-0.035879
0.658133	0.1	-0.025991
0.659800	0.1	0.005312
0.661467	0.1	0.052541
0.663133	0.1	0.119287
0.664800	0.1	0.236747
0.666867	0.124	0.436612
0.668467	0.096	0.759570
0.670133	0.1	1.241741
0.671850	0.103	1.885731
0.673467	0.097	2.708397
0.675133	0.1	3.817805
0.676800	0.1	5.211014
0.678467	0.1	6.772632
0.680167	0.102	8.362401
0.681833	0.1	9.884390
0.683500	0.1	11.389410
0.685167	0.1	12.892250
0.686833	0.1	14.409980
0.688517	0.101	16.059450
0.690167	0.099	17.872750
0.691833	0.1	19.622040
0.693500	0.1	20.979770
0.695167	0.1	22.216180
0.696850	0.101	23.535500
0.698500	0.099	24.838880
0.700500	0.12	26.002830
0.702167	0.1	27.052470
0.703833	0.1	28.118610
0.705517	0.101	29.197030
0.707167	0.099	30.123940
