URL	chrom://farber-hplc/test001/Josh/Standards/1.24.24 Algorithm Rerun w different gradient - Rep 4.seq/955.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.24.24 Algorithm Rerun w different gradient - Rep 4
Name	0.5:0.5:0.5
Number	8
Position	RA8
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/25/2024 12:26:54 AM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000933
Data Points	38603
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.388935
Signal Max.	76.414810
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103249

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.009528
0.001633	0.098	-0.025729
0.003300	0.1	-0.028535
0.004967	0.1	-0.021284
0.006633	0.1	-0.018957
0.008300	0.1	-0.025255
0.009967	0.1	-0.036530
0.011633	0.1	-0.041677
0.013300	0.1	-0.036691
0.014967	0.1	-0.034386
0.016617	0.099	-0.034890
0.018283	0.1	-0.026106
0.019950	0.1	-0.007155
0.021617	0.1	0.012426
0.023283	0.1	0.023789
0.024950	0.1	0.023338
0.026617	0.1	0.008719
0.028283	0.1	-0.009447
0.030283	0.12	-0.021860
0.031950	0.1	-0.027519
0.033600	0.099	-0.030423
0.035267	0.1	-0.026987
0.036933	0.1	-0.023746
0.038600	0.1	-0.032576
0.040267	0.1	-0.044764
0.041933	0.1	-0.051412
0.043650	0.103	-0.046365
0.045267	0.097	-0.036875
0.046933	0.1	-0.033491
0.048600	0.1	-0.027933
0.050267	0.1	-0.014084
0.051933	0.1	-0.001572
0.053600	0.1	0.008698
0.055267	0.1	0.014411
0.056933	0.1	0.012122
0.058600	0.1	0.011042
0.060267	0.1	0.020598
0.061933	0.1	0.037635
0.063933	0.12	0.052694
0.065633	0.102	0.054976
0.067300	0.1	0.042212
0.068950	0.099	0.024547
0.070600	0.099	0.012286
0.072267	0.1	0.005775
