URL	chrom://farber-hplc/test001/Josh/Standards/1.24.24 Algorithm Rerun w different gradient - Rep 4.seq/656.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.24.24 Algorithm Rerun w different gradient - Rep 4
Name	0.5:0.5:1
Number	11
Position	RB3
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/25/2024 3:45:36 AM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.001567
Data Points	38603
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.433727
Signal Max.	70.158650
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.095
Max. Step (s)	0.129
Average Step (s)	0.10103347

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.003995
0.001667	0.1	-0.023111
0.003333	0.1	-0.045335
0.005000	0.1	-0.056992
0.006667	0.1	-0.056275
0.008333	0.1	-0.044482
0.010000	0.1	-0.032912
0.011667	0.1	-0.032009
0.013333	0.1	-0.034441
0.015000	0.1	-0.028176
0.016667	0.1	-0.017546
0.018333	0.1	-0.007954
0.020000	0.1	0.007514
0.021667	0.1	0.022794
0.023333	0.1	0.025019
0.025000	0.1	0.010626
0.026667	0.1	-0.008996
0.028333	0.1	-0.022859
0.030000	0.1	-0.031308
0.032000	0.12	-0.048917
0.033667	0.1	-0.067350
0.035333	0.1	-0.069852
0.037017	0.101	-0.057718
0.038667	0.099	-0.045421
0.040333	0.1	-0.043188
0.042000	0.1	-0.050088
0.043667	0.1	-0.057584
0.045333	0.1	-0.054553
0.047033	0.102	-0.041272
0.048667	0.098	-0.031194
0.050317	0.099	-0.028490
0.051983	0.1	-0.028459
0.053650	0.1	-0.026847
0.055317	0.1	-0.023082
0.056983	0.1	-0.019052
0.058650	0.1	-0.017656
0.060317	0.1	-0.016239
0.061983	0.1	-0.012260
0.063650	0.1	-0.005964
0.065633	0.119	-0.004823
0.067300	0.1	-0.012752
0.068967	0.1	-0.026937
0.070633	0.1	-0.041789
0.072317	0.101	-0.048505
0.073967	0.099	-0.041487
0.075633	0.1	-0.032304
0.077300	0.1	-0.028322
0.078967	0.1	-0.032042
0.080633	0.1	-0.036753
0.082300	0.1	-0.036643
0.083967	0.1	-0.033447
0.085633	0.1	-0.034023
0.087300	0.1	-0.034286
0.088967	0.1	-0.034688
0.090633	0.1	-0.033407
0.092300	0.1	-0.026153
0.093967	0.1	-0.020334
0.095633	0.1	-0.020999
0.097300	0.1	-0.021691
0.099417	0.127	-0.018129
0.101083	0.1	-0.018707
0.102750	0.1	-0.025248
0.104417	0.1	-0.027562
0.106083	0.1	-0.027741
0.107750	0.1	-0.031497
0.109417	0.1	-0.036077
0.111083	0.1	-0.031825
0.112750	0.1	-0.028172
0.114433	0.101	-0.037176
0.116083	0.099	-0.048353
0.117750	0.1	-0.046887
0.119417	0.1	-0.034192
0.121083	0.1	-0.021487
0.122750	0.1	-0.017913
0.124417	0.1	-0.019019
0.126083	0.1	-0.016445
0.127750	0.1	-0.004916
0.129417	0.1	0.001133
0.131417	0.12	-0.008159
0.133083	0.1	-0.022839
0.134750	0.1	-0.028123
0.136417	0.1	-0.024573
0.138067	0.099	-0.019054
0.139750	0.101	-0.020313
0.141400	0.099	-0.022439
0.143083	0.101	-0.021128
0.144733	0.099	-0.017295
0.146417	0.101	-0.011693
0.148067	0.099	-0.008556
0.149733	0.1	-0.007339
0.151383	0.099	-0.006993
0.153067	0.101	-0.009716
0.154717	0.099	-0.024151
0.156417	0.102	-0.048564
0.158050	0.098	-0.062785
0.159733	0.101	-0.064352
0.161383	0.099	-0.064248
0.163067	0.101	-0.069406
0.165050	0.119	-0.074968
0.166717	0.1	-0.068667
0.168417	0.102	-0.061648
0.170050	0.098	-0.062905
0.171717	0.1	-0.055675
0.173383	0.1	-0.038617
0.175050	0.1	-0.023872
0.176717	0.1	-0.016945
0.178383	0.1	-0.019182
0.180050	0.1	-0.021544
0.181717	0.1	-0.023191
0.183383	0.1	-0.028863
0.185050	0.1	-0.035867
0.186717	0.1	-0.039242
0.188383	0.1	-0.035023
0.190050	0.1	-0.024375
0.191717	0.1	-0.026014
0.193383	0.1	-0.036951
0.195050	0.1	-0.038544
0.196717	0.1	-0.026964
0.198717	0.12	-0.007002
0.200417	0.102	0.001341
0.202050	0.098	-0.002024
0.203733	0.101	-0.000773
0.205383	0.099	0.006835
0.207050	0.1	0.006869
0.208717	0.1	-0.001399
0.210383	0.1	-0.013024
0.212050	0.1	-0.021078
0.213717	0.1	-0.020914
0.215383	0.1	-0.022342
0.217050	0.1	-0.029969
0.218717	0.1	-0.040094
0.220383	0.1	-0.045710
0.222050	0.1	-0.045478
0.223717	0.1	-0.037716
0.225383	0.1	-0.020673
0.227050	0.1	0.005273
0.228717	0.1	0.030717
0.230383	0.1	0.040914
0.232383	0.12	0.032149
0.234050	0.1	0.013284
0.235767	0.103	-0.005785
0.237383	0.097	-0.020396
0.239050	0.1	-0.028928
0.240717	0.1	-0.028437
0.242383	0.1	-0.017947
0.244050	0.1	-0.006815
0.245717	0.1	-0.006107
0.247383	0.1	-0.016205
0.249083	0.102	-0.032491
0.250750	0.1	-0.038145
0.252417	0.1	-0.026484
0.254083	0.1	-0.012364
0.255767	0.101	-0.006967
0.257417	0.099	-0.008803
0.259083	0.1	-0.016959
0.260750	0.1	-0.021033
0.262417	0.1	-0.020601
0.264083	0.1	-0.022169
0.266117	0.122	-0.022294
0.267767	0.099	-0.022268
0.269417	0.099	-0.020890
0.271083	0.1	-0.019913
0.272750	0.1	-0.017289
