URL	chrom://farber-hplc/test001/Josh/Standards/1.24.24 Algorithm Rerun w different gradient - Rep 4.seq/879.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.24.24 Algorithm Rerun w different gradient - Rep 4
Name	0.5:0:0
Number	2
Position	RA2
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/24/2024 5:49:31 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.001050
Data Points	38602
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.350404
Signal Max.	23.990990
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.095
Max. Step (s)	0.129
Average Step (s)	0.10103528

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.023515
0.001667	0.1	-0.007677
0.003333	0.1	0.005919
0.005000	0.1	0.013909
0.006667	0.1	0.011212
0.008333	0.1	0.001439
0.010000	0.1	-0.011961
0.011667	0.1	-0.020431
0.013333	0.1	-0.023464
0.015000	0.1	-0.030698
0.016667	0.1	-0.038576
0.018333	0.1	-0.044469
0.020000	0.1	-0.045826
0.021667	0.1	-0.041712
0.023333	0.1	-0.036637
0.025000	0.1	-0.034400
0.026667	0.1	-0.037341
0.028333	0.1	-0.047988
0.030333	0.12	-0.060642
0.032033	0.102	-0.064115
0.033700	0.1	-0.060301
0.035333	0.098	-0.055724
0.037000	0.1	-0.054161
0.038650	0.099	-0.055883
0.040317	0.1	-0.059576
0.041983	0.1	-0.059333
0.043650	0.1	-0.057436
0.045317	0.1	-0.054456
0.046983	0.1	-0.053902
0.048650	0.1	-0.064986
0.050317	0.1	-0.077220
0.051983	0.1	-0.075866
0.053633	0.099	-0.060711
0.055300	0.1	-0.048106
0.056967	0.1	-0.051521
0.058633	0.1	-0.062080
0.060300	0.1	-0.064472
0.062350	0.123	-0.061487
0.064050	0.102	-0.061658
0.065717	0.1	-0.058055
0.067383	0.1	-0.047138
0.069050	0.1	-0.032632
0.070750	0.102	-0.018916
0.072417	0.1	-0.012104
0.074083	0.1	-0.013192
0.075750	0.1	-0.023698
0.077417	0.1	-0.037510
0.079083	0.1	-0.040195
0.080750	0.1	-0.027512
0.082417	0.1	-0.007538
0.084083	0.1	0.007564
0.085750	0.1	0.012707
0.087417	0.1	0.006465
0.089083	0.1	-0.013925
0.090750	0.1	-0.037618
0.092417	0.1	-0.051870
0.094083	0.1	-0.063949
0.096083	0.12	-0.083380
0.097750	0.1	-0.096908
0.099450	0.102	-0.094423
0.101083	0.098	-0.081679
0.102750	0.1	-0.066457
0.104417	0.1	-0.051850
0.106083	0.1	-0.044320
0.107750	0.1	-0.045204
0.109417	0.1	-0.047238
0.111083	0.1	-0.040302
0.112750	0.1	-0.020217
0.114417	0.1	0.004729
0.116083	0.1	0.020243
0.117750	0.1	0.021124
0.119417	0.1	0.018708
0.121067	0.099	0.017406
0.122733	0.1	0.017336
0.124400	0.1	0.012020
0.126067	0.1	0.003825
0.127733	0.1	-0.001933
0.129733	0.12	-0.003632
0.131417	0.101	-0.001642
0.133083	0.1	0.000100
0.134767	0.101	-0.000762
0.136417	0.099	-0.004198
0.138067	0.099	-0.003489
0.139717	0.099	0.004263
0.141400	0.101	0.008860
0.143050	0.099	0.000327
0.144733	0.101	-0.020978
0.146383	0.099	-0.045615
0.148067	0.101	-0.061088
0.149717	0.099	-0.059245
0.151400	0.101	-0.047963
0.153050	0.099	-0.039977
0.154717	0.1	-0.041150
0.156383	0.1	-0.044781
0.158050	0.1	-0.042973
0.159717	0.1	-0.040642
0.161383	0.1	-0.040879
0.163383	0.12	-0.034153
0.165067	0.101	-0.018664
0.166717	0.099	-0.008143
0.168383	0.1	-0.000020
0.170050	0.1	0.005982
0.171717	0.1	-0.002321
0.173383	0.1	-0.019568
0.175050	0.1	-0.032931
0.176717	0.1	-0.033143
0.178383	0.1	-0.031360
0.180050	0.1	-0.026492
0.181717	0.1	-0.013118
0.183383	0.1	-0.002132
0.185050	0.1	-0.002930
0.186717	0.1	-0.011974
0.188383	0.1	-0.026826
0.190050	0.1	-0.042536
0.191717	0.1	-0.050818
0.193383	0.1	-0.057322
0.195050	0.1	-0.066212
0.197050	0.12	-0.063825
0.198717	0.1	-0.051198
0.200383	0.1	-0.038956
0.202050	0.1	-0.033495
0.203733	0.101	-0.035402
0.205383	0.099	-0.037743
0.207050	0.1	-0.034225
0.208717	0.1	-0.022537
0.210383	0.1	-0.017700
0.212050	0.1	-0.023366
0.213717	0.1	-0.032777
0.215383	0.1	-0.039859
0.217050	0.1	-0.042891
0.218717	0.1	-0.045468
0.220383	0.1	-0.045402
0.222050	0.1	-0.035467
0.223717	0.1	-0.013150
0.225383	0.1	0.011550
0.227050	0.1	0.023875
0.229133	0.125	0.022990
0.230833	0.102	0.015978
0.232467	0.098	0.005693
0.234133	0.1	-0.007529
0.235850	0.103	-0.022488
0.237467	0.097	-0.036396
0.239133	0.1	-0.046393
0.240800	0.1	-0.048108
0.242467	0.1	-0.045423
0.244133	0.1	-0.043604
0.245800	0.1	-0.042595
0.247467	0.1	-0.038479
0.249133	0.1	-0.026205
0.250800	0.1	-0.011161
0.252467	0.1	-0.006639
0.254133	0.1	-0.013153
0.255800	0.1	-0.014852
0.257467	0.1	-0.008296
0.259133	0.1	-0.007519
0.260800	0.1	-0.017509
0.262800	0.12	-0.026790
0.264467	0.1	-0.025879
0.266133	0.1	-0.014612
0.267800	0.1	0.005701
0.269467	0.1	0.026911
0.271133	0.1	0.033903
0.272800	0.1	0.028228
0.274467	0.1	0.020888
0.276133	0.1	0.015300
0.277800	0.1	0.008216
0.279467	0.1	-0.003212
0.281133	0.1	-0.011405
0.282800	0.1	-0.010344
0.284467	0.1	-0.003652
0.286133	0.1	-0.001894
0.287800	0.1	-0.002704
0.289467	0.1	-0.004549
0.291133	0.1	-0.005928
0.292800	0.1	-0.000912
0.294467	0.1	0.006038
0.296467	0.12	0.002410
0.298133	0.1	-0.005373
0.299900	0.106	-0.007070
0.301583	0.101	-0.005241
0.303250	0.1	-0.010070
0.304917	0.1	-0.016621
0.306567	0.099	-0.015555
0.308233	0.1	-0.016752
0.309900	0.1	-0.027392
0.311567	0.1	-0.034322
0.313233	0.1	-0.029244
0.314900	0.1	-0.011402
0.316567	0.1	0.008394
0.318233	0.1	0.016474
0.319900	0.1	0.008064
0.321550	0.099	-0.008411
0.323217	0.1	-0.017880
0.324883	0.1	-0.020904
0.326550	0.1	-0.033722
0.328217	0.1	-0.052262
0.330250	0.122	-0.058960
0.331917	0.1	-0.053497
0.333550	0.098	-0.042010
0.335217	0.1	-0.026955
0.336883	0.1	-0.014528
0.338550	0.1	-0.014698
0.340217	0.1	-0.022288
0.341883	0.1	-0.021445
0.343550	0.1	-0.015058
0.345217	0.1	-0.009272
0.346883	0.1	-0.004068
0.348550	0.1	0.003438
0.350217	0.1	0.016710
0.351883	0.1	0.034972
0.353550	0.1	0.050536
0.355217	0.1	0.050115
0.356883	0.1	0.035278
0.358550	0.1	0.018576
0.360217	0.1	0.000165
0.361883	0.1	-0.016879
0.363883	0.12	-0.019327
0.365550	0.1	-0.008562
0.367217	0.1	0.002723
0.368917	0.102	0.010510
0.370550	0.098	0.011147
0.372217	0.1	0.004044
0.373883	0.1	0.000366
0.375550	0.1	0.006338
0.377217	0.1	0.017586
0.378883	0.1	0.030095
0.380550	0.1	0.030488
0.382217	0.1	0.015764
0.383883	0.1	0.004344
0.385550	0.1	-0.001338
0.387217	0.1	-0.007535
0.388883	0.1	-0.019915
0.390550	0.1	-0.034677
0.392217	0.1	-0.051639
0.393883	0.1	-0.060952
0.395550	0.1	-0.054557
0.397550	0.12	-0.041416
0.399283	0.104	-0.025507
0.400883	0.096	-0.015698
0.402550	0.1	-0.015444
0.404217	0.1	-0.020770
0.405883	0.1	-0.036329
0.407550	0.1	-0.049963
0.409217	0.1	-0.047492
0.410883	0.1	-0.031242
0.412550	0.1	-0.009870
0.414217	0.1	0.003058
0.415883	0.1	0.004099
0.417550	0.1	0.000151
0.419217	0.1	-0.008268
0.420883	0.1	-0.017951
0.422550	0.1	-0.021450
0.424217	0.1	-0.017299
0.425883	0.1	-0.017487
0.427550	0.1	-0.026848
0.429550	0.12	-0.036774
0.431217	0.1	-0.040477
0.432883	0.1	-0.036940
0.434617	0.104	-0.029484
0.436217	0.096	-0.025186
0.437917	0.102	-0.023194
0.439583	0.1	-0.019317
0.441250	0.1	-0.014661
0.442917	0.1	-0.008031
0.444583	0.1	0.000610
0.446250	0.1	0.006015
0.447917	0.1	0.001801
0.449583	0.1	-0.009126
0.451250	0.1	-0.028187
0.452917	0.1	-0.050966
0.454583	0.1	-0.069496
0.456250	0.1	-0.075771
0.457917	0.1	-0.072064
0.459583	0.1	-0.057535
0.461250	0.1	-0.033281
0.463250	0.12	-0.011387
0.464917	0.1	0.004072
0.466583	0.1	0.009553
0.468250	0.1	0.008343
0.469917	0.1	0.007725
0.471583	0.1	0.004522
0.473250	0.1	-0.004069
0.474917	0.1	-0.014558
0.476583	0.1	-0.019642
0.478250	0.1	-0.018178
0.479917	0.1	-0.014030
0.481583	0.1	-0.010835
0.483250	0.1	-0.017445
0.484917	0.1	-0.032556
0.486583	0.1	-0.042587
0.488233	0.099	-0.052031
0.489900	0.1	-0.059560
0.491567	0.1	-0.059038
0.493233	0.1	-0.051749
0.494900	0.1	-0.044960
0.496900	0.12	-0.042335
0.498567	0.1	-0.042683
0.500267	0.102	-0.037937
0.501900	0.098	-0.020138
0.503567	0.1	0.005233
0.505217	0.099	0.026414
0.506883	0.1	0.035674
0.508550	0.1	0.033174
0.510217	0.1	0.022376
0.511883	0.1	0.009107
0.513550	0.1	-0.001694
0.515217	0.1	-0.005616
0.516883	0.1	-0.005480
0.518550	0.1	-0.010938
0.520217	0.1	-0.016299
0.521883	0.1	-0.014180
0.523550	0.1	-0.003667
0.525217	0.1	0.003897
0.526883	0.1	-0.005102
0.528550	0.1	-0.017064
0.530567	0.121	-0.017135
0.532250	0.101	-0.008666
0.533900	0.099	0.001304
0.535550	0.099	0.010287
0.537217	0.1	0.008888
0.538883	0.1	-0.000052
0.540550	0.1	-0.002386
0.542217	0.1	0.005749
0.543883	0.1	0.006712
0.545550	0.1	0.001686
0.547217	0.1	0.000927
0.548883	0.1	0.008635
0.550550	0.1	0.022246
0.552217	0.1	0.030584
0.553883	0.1	0.033776
0.555550	0.1	0.033442
0.557217	0.1	0.022745
0.558883	0.1	0.005893
0.560550	0.1	-0.003853
0.562217	0.1	-0.003681
0.564217	0.12	-0.004645
0.565883	0.1	-0.003257
0.567550	0.1	-0.001343
0.569217	0.1	-0.003430
0.570883	0.1	-0.017887
0.572550	0.1	-0.034591
0.574217	0.1	-0.043570
0.575883	0.1	-0.045253
0.577550	0.1	-0.044562
0.579217	0.1	-0.044414
0.580883	0.1	-0.033880
0.582550	0.1	-0.016786
0.584217	0.1	-0.001095
0.585883	0.1	0.010977
0.587550	0.1	0.011493
0.589217	0.1	0.002666
0.590883	0.1	-0.004855
0.592550	0.1	-0.010314
0.594217	0.1	-0.010827
0.596267	0.123	-0.012712
0.597883	0.097	-0.020197
0.599550	0.1	-0.031945
0.601217	0.1	-0.043987
0.602883	0.1	-0.051162
0.604583	0.102	-0.045452
0.606250	0.1	-0.033872
0.607917	0.1	-0.031566
0.609583	0.1	-0.031810
0.611250	0.1	-0.023045
0.612917	0.1	-0.010267
0.614583	0.1	-0.002055
0.616250	0.1	0.005839
0.617917	0.1	0.015591
0.619600	0.101	0.026308
0.621250	0.099	0.035568
0.622917	0.1	0.036704
0.624583	0.1	0.022328
0.626250	0.1	0.001832
0.627917	0.1	-0.010311
0.629917	0.12	-0.009980
0.631583	0.1	-0.006441
0.633250	0.1	0.000318
0.634917	0.1	0.006582
0.636583	0.1	0.008076
0.638250	0.1	0.001536
0.639917	0.1	-0.004050
0.641583	0.1	-0.006451
0.643250	0.1	-0.015834
0.644917	0.1	-0.027360
0.646600	0.101	-0.030673
0.648250	0.099	-0.020553
0.649917	0.1	0.003278
0.651583	0.1	0.028482
0.653250	0.1	0.036571
0.654900	0.099	0.030833
0.656567	0.1	0.022697
0.658233	0.1	0.015082
0.659900	0.1	0.013312
0.661567	0.1	0.024357
0.663567	0.12	0.042378
0.665233	0.1	0.074957
0.666917	0.101	0.140989
0.668567	0.099	0.245972
0.670233	0.1	0.402414
0.671883	0.099	0.619758
0.673567	0.101	0.891703
0.675217	0.099	1.204865
0.676883	0.1	1.540371
0.678550	0.1	1.902129
0.680217	0.1	2.320357
0.681883	0.1	2.765962
0.683550	0.1	3.178821
0.685217	0.1	3.566744
0.686883	0.1	3.952561
0.688550	0.1	4.358338
0.690217	0.1	4.784424
0.691883	0.1	5.180351
0.693550	0.1	5.535658
0.695217	0.1	5.907648
0.697217	0.12	6.291311
0.698883	0.1	6.642559
0.700583	0.102	6.934405
0.702217	0.098	7.189405
0.703883	0.1	7.413338
0.705550	0.1	7.584200
0.707217	0.1	7.680105
0.708883	0.1	7.764044
0.710550	0.1	7.869088
0.712217	0.1	7.967259
0.713883	0.1	8.015262
0.715550	0.1	7.980732
0.717217	0.1	7.883703
0.718883	0.1	7.803066
0.720550	0.1	7.824621
0.722217	0.1	7.928678
0.723883	0.1	8.099305
0.725550	0.1	8.254121
0.727217	0.1	8.392384
0.728883	0.1	8.561151
0.730900	0.121	8.685225
0.732550	0.099	8.796216
0.734233	0.101	8.950826
0.735900	0.1	9.182537
0.737567	0.1	9.442632
0.739217	0.099	9.685503
0.740900	0.101	9.930982
0.742550	0.099	10.180540
0.744233	0.101	10.460790
0.745883	0.099	10.752550
