URL	chrom://farber-hplc/test001/Josh/Standards/1.24.24 Algorithm Rerun w different gradient - Rep 4.seq/711.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.24.24 Algorithm Rerun w different gradient - Rep 4
Name	0.5:1:0.5
Number	10
Position	RB2
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/25/2024 2:39:23 AM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.001417
Data Points	38602
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.441838
Signal Max.	72.651960
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.095
Max. Step (s)	0.129
Average Step (s)	0.10103585

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.000720
0.001667	0.1	0.005373
0.003333	0.1	0.018696
0.005000	0.1	0.034616
0.006667	0.1	0.036390
0.008333	0.1	0.019141
0.010000	0.1	0.000745
0.011667	0.1	-0.013335
0.013333	0.1	-0.017105
0.015000	0.1	-0.015018
0.016667	0.1	-0.011882
0.018333	0.1	-0.015053
0.020000	0.1	-0.026727
0.021667	0.1	-0.044991
0.023333	0.1	-0.066125
0.025000	0.1	-0.082025
0.026667	0.1	-0.086579
0.028333	0.1	-0.083726
0.030367	0.122	-0.078398
0.032017	0.099	-0.069804
0.033667	0.099	-0.060122
0.035350	0.101	-0.057463
0.037000	0.099	-0.058967
0.038667	0.1	-0.066769
0.040333	0.1	-0.079980
0.042000	0.1	-0.092860
0.043667	0.1	-0.093891
0.045333	0.1	-0.081864
0.047000	0.1	-0.065335
0.048667	0.1	-0.052789
0.050333	0.1	-0.048905
0.052000	0.1	-0.052120
0.053667	0.1	-0.053978
0.055333	0.1	-0.048972
0.057000	0.1	-0.038394
0.058667	0.1	-0.024919
0.060333	0.1	-0.014646
0.062000	0.1	-0.011918
0.064000	0.12	-0.012099
0.065667	0.1	-0.014134
0.067333	0.1	-0.025911
0.069050	0.103	-0.039737
0.070667	0.097	-0.048092
0.072333	0.1	-0.052029
0.074000	0.1	-0.050342
0.075667	0.1	-0.046933
0.077333	0.1	-0.039927
0.079000	0.1	-0.028970
0.080700	0.102	-0.019695
0.082367	0.1	-0.009166
0.084033	0.1	0.002614
0.085700	0.1	0.009689
0.087367	0.1	0.012017
0.089033	0.1	0.010667
0.090700	0.1	0.009355
0.092367	0.1	0.010569
0.094033	0.1	0.010857
0.096083	0.123	0.005731
0.097750	0.1	-0.002000
0.099417	0.1	-0.003792
0.101133	0.103	-0.002488
0.102750	0.097	-0.007116
0.104417	0.1	-0.011517
0.106083	0.1	-0.014014
0.107750	0.1	-0.020921
0.109417	0.1	-0.031919
0.111083	0.1	-0.039861
0.112750	0.1	-0.046801
0.114417	0.1	-0.053973
0.116083	0.1	-0.059791
0.117767	0.101	-0.055573
0.119417	0.099	-0.039541
0.121083	0.1	-0.023055
0.122750	0.1	-0.007953
0.124417	0.1	0.004806
0.126083	0.1	0.011114
0.127750	0.1	0.012584
0.129750	0.12	0.002785
0.131417	0.1	-0.018406
0.133083	0.1	-0.033570
0.134750	0.1	-0.040476
0.136417	0.1	-0.047994
0.138083	0.1	-0.051380
0.139750	0.1	-0.040917
0.141417	0.1	-0.015378
0.143083	0.1	0.009327
0.144750	0.1	0.023727
0.146417	0.1	0.025278
0.148083	0.1	0.009747
0.149750	0.1	-0.014371
0.151417	0.1	-0.032367
0.153083	0.1	-0.030749
0.154750	0.1	-0.011299
0.156417	0.1	0.015426
0.158083	0.1	0.038403
0.159750	0.1	0.057616
0.161417	0.1	0.068578
0.163417	0.12	0.068176
0.165133	0.103	0.060123
0.166783	0.099	0.058326
0.168467	0.101	0.067163
0.170117	0.099	0.070422
0.171800	0.101	0.061455
0.173450	0.099	0.045077
0.175133	0.101	0.030973
0.176783	0.099	0.020352
0.178467	0.101	0.009903
0.180117	0.099	0.005619
0.181800	0.101	0.006622
0.183450	0.099	0.006235
0.185133	0.101	0.011849
0.186783	0.099	0.028535
0.188467	0.101	0.042349
0.190117	0.099	0.042401
0.191800	0.101	0.040048
0.193450	0.099	0.039940
0.195133	0.101	0.036862
0.197150	0.121	0.027968
0.198833	0.101	0.014071
0.200500	0.1	-0.002791
0.202183	0.101	-0.014657
0.203833	0.099	-0.012119
0.205500	0.1	0.002262
0.207167	0.1	0.013383
0.208833	0.1	0.018722
