URL	chrom://farber-hplc/test001/Josh/Standards/1.24.24 Algorithm Rerun w different gradient - Rep 4.seq/695.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.24.24 Algorithm Rerun w different gradient - Rep 4
Name	0:0.5:0
Number	4
Position	RA4
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/24/2024 8:02:00 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000767
Data Points	38600
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.334525
Signal Max.	60.999260
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.13
Average Step (s)	0.10104008

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.015189
0.001650	0.099	0.012099
0.003300	0.099	0.012527
0.004967	0.1	0.013668
0.006633	0.1	0.005790
0.008300	0.1	-0.007506
0.009967	0.1	-0.015133
0.011633	0.1	-0.017209
0.013300	0.1	-0.015657
0.014967	0.1	-0.007499
0.016617	0.099	0.007306
0.018283	0.1	0.016610
0.019950	0.1	0.014832
0.021617	0.1	0.006206
0.023283	0.1	-0.005228
0.024950	0.1	-0.017028
0.026617	0.1	-0.034218
0.028283	0.1	-0.060713
0.029950	0.1	-0.086168
0.031617	0.1	-0.095626
0.033617	0.12	-0.088130
0.035283	0.1	-0.074026
0.036950	0.1	-0.054902
0.038633	0.101	-0.036868
0.040283	0.099	-0.034708
0.041933	0.099	-0.048890
0.043600	0.1	-0.056010
0.045267	0.1	-0.044161
0.046933	0.1	-0.020848
0.048600	0.1	-0.002267
0.050267	0.1	0.005956
0.051933	0.1	0.006056
0.053600	0.1	-0.001130
0.055267	0.1	-0.015474
0.056933	0.1	-0.027568
0.058600	0.1	-0.031051
0.060267	0.1	-0.026180
0.061933	0.1	-0.023168
0.063600	0.1	-0.025936
0.065267	0.1	-0.030517
0.067267	0.12	-0.028237
0.068933	0.1	-0.021744
0.070600	0.1	-0.018344
