URL	chrom://farber-hplc/test001/Josh/Standards/1.24.24 Algorithm Rerun w different gradient - Rep 4.seq/673.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.24.24 Algorithm Rerun w different gradient - Rep 4
Name	0:0:0.5
Number	6
Position	RA6
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/24/2024 10:14:27 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.001000
Data Points	38602
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.396801
Signal Max.	17.673580
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103521

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.024010
0.001667	0.1	-0.021194
0.003333	0.1	-0.013155
0.005000	0.1	-0.004941
0.006667	0.1	-0.011445
0.008333	0.1	-0.027776
0.010000	0.1	-0.034850
0.011667	0.1	-0.029965
0.013333	0.1	-0.022874
0.015000	0.1	-0.019571
0.016667	0.1	-0.018241
0.018333	0.1	-0.012292
0.020000	0.1	-0.006330
0.021667	0.1	-0.010606
0.023333	0.1	-0.024912
0.025000	0.1	-0.039553
0.026667	0.1	-0.045715
0.028333	0.1	-0.044127
0.030350	0.121	-0.039515
0.032000	0.099	-0.038161
0.033667	0.1	-0.042264
0.035333	0.1	-0.043700
0.037000	0.1	-0.036574
0.038667	0.1	-0.030199
0.040350	0.101	-0.029185
0.042000	0.099	-0.027963
0.043667	0.1	-0.025323
0.045333	0.1	-0.029003
0.047000	0.1	-0.038018
0.048667	0.1	-0.043974
0.050333	0.1	-0.045471
0.052000	0.1	-0.046470
0.053667	0.1	-0.045425
0.055333	0.1	-0.045334
0.057050	0.103	-0.058505
0.058667	0.097	-0.077826
0.060333	0.1	-0.081771
0.062000	0.1	-0.076158
0.064000	0.12	-0.068960
0.065667	0.1	-0.055021
0.067333	0.1	-0.032381
0.069000	0.1	-0.005132
0.070667	0.1	0.013587
0.072367	0.102	0.015045
0.074033	0.1	0.007189
0.075700	0.1	0.003479
0.077367	0.1	0.001053
0.079033	0.1	-0.005830
0.080700	0.1	-0.010471
0.082367	0.1	-0.008175
0.084033	0.1	-0.000106
0.085700	0.1	0.000596
0.087367	0.1	-0.005497
0.089050	0.101	-0.012272
0.090700	0.099	-0.021300
0.092367	0.1	-0.032936
0.094033	0.1	-0.037993
0.095700	0.1	-0.037501
0.097700	0.12	-0.034828
0.099367	0.1	-0.032565
0.101050	0.101	-0.026680
0.102700	0.099	-0.014427
0.104367	0.1	0.002737
0.106033	0.1	0.017980
0.107700	0.1	0.021356
0.109367	0.1	0.015822
0.111033	0.1	0.005414
0.112700	0.1	-0.003369
0.114367	0.1	-0.004239
0.116033	0.1	-0.001801
0.117700	0.1	-0.003996
0.119367	0.1	-0.010725
0.121017	0.099	-0.013507
0.122683	0.1	-0.008367
0.124350	0.1	-0.000661
0.126017	0.1	0.005130
0.127683	0.1	0.009562
0.129350	0.1	0.011058
0.131350	0.12	0.009043
0.133017	0.1	0.004063
0.134683	0.1	-0.005158
0.136350	0.1	-0.014075
0.138000	0.099	-0.022539
0.139667	0.1	-0.032986
0.141333	0.1	-0.039123
0.143017	0.101	-0.039206
0.144667	0.099	-0.035975
0.146333	0.1	-0.031748
0.148000	0.1	-0.029723
0.149667	0.1	-0.033748
0.151333	0.1	-0.039906
0.153000	0.1	-0.049624
0.154667	0.1	-0.056831
0.156333	0.1	-0.057309
0.158000	0.1	-0.050179
0.159667	0.1	-0.037230
0.161333	0.1	-0.026989
0.163000	0.1	-0.018625
0.165000	0.12	-0.013601
0.166667	0.1	-0.010791
0.168333	0.1	-0.009834
0.170000	0.1	-0.004895
0.171667	0.1	0.005284
0.173333	0.1	0.014184
0.175000	0.1	0.015556
0.176667	0.1	0.015435
0.178333	0.1	0.013746
0.180000	0.1	0.004061
0.181667	0.1	-0.007188
0.183333	0.1	-0.012233
0.185000	0.1	-0.009834
0.186667	0.1	0.002263
0.188333	0.1	0.018037
0.190000	0.1	0.027623
0.191667	0.1	0.029575
0.193333	0.1	0.023808
0.195000	0.1	0.010734
0.197083	0.125	-0.003794
0.198783	0.102	-0.009192
0.200450	0.1	-0.010090
0.202117	0.1	-0.014485
0.203783	0.1	-0.015193
0.205433	0.099	-0.017148
0.207117	0.101	-0.021852
0.208767	0.099	-0.023969
0.210433	0.1	-0.023465
0.212100	0.1	-0.016997
0.213767	0.1	-0.008699
0.215433	0.1	0.004825
0.217100	0.1	0.017969
0.218767	0.1	0.027887
0.220433	0.1	0.037254
0.222083	0.099	0.036313
0.223750	0.1	0.022577
0.225417	0.1	0.007748
0.227083	0.1	-0.003005
0.228750	0.1	-0.009317
0.230767	0.121	-0.013499
0.232417	0.099	-0.025958
0.234100	0.101	-0.042973
0.235750	0.099	-0.057238
0.237433	0.101	-0.053720
0.239083	0.099	-0.028501
0.240767	0.101	-0.001971
0.242417	0.099	0.005450
0.244100	0.101	-0.001566
0.245750	0.099	-0.010713
0.247433	0.101	-0.009639
0.249083	0.099	0.000371
0.250750	0.1	0.007118
0.252417	0.1	0.003818
0.254083	0.1	-0.002894
0.255750	0.1	-0.006232
0.257433	0.101	-0.005102
0.259083	0.099	0.001014
0.260750	0.1	-0.003412
0.262417	0.1	-0.021915
0.264417	0.12	-0.035814
0.266083	0.1	-0.039107
0.267750	0.1	-0.044068
0.269417	0.1	-0.048860
0.271083	0.1	-0.036952
0.272750	0.1	-0.011519
0.274417	0.1	0.007441
0.276083	0.1	0.012828
0.277750	0.1	0.004468
0.279417	0.1	-0.009220
0.281083	0.1	-0.015360
0.282750	0.1	-0.014372
0.284417	0.1	-0.007053
0.286083	0.1	0.008175
0.287750	0.1	0.026858
0.289417	0.1	0.030155
0.291083	0.1	0.014317
0.292750	0.1	0.000271
0.294417	0.1	-0.004921
0.296083	0.1	-0.010951
0.298150	0.124	-0.014495
0.299750	0.096	-0.013220
0.301417	0.1	-0.015610
0.303083	0.1	-0.027790
0.304750	0.1	-0.037342
0.306417	0.1	-0.031514
0.308083	0.1	-0.014256
0.309750	0.1	0.006058
0.311417	0.1	0.025440
0.313083	0.1	0.035602
0.314750	0.1	0.036745
0.316417	0.1	0.030827
0.318083	0.1	0.013319
0.319750	0.1	-0.009457
0.321450	0.102	-0.026501
0.323117	0.1	-0.030812
0.324783	0.1	-0.021371
0.326450	0.1	-0.007406
0.328117	0.1	-0.007782
0.329783	0.1	-0.015482
0.331800	0.121	-0.021741
0.333450	0.099	-0.022945
0.335150	0.102	-0.017193
0.336783	0.098	-0.008304
0.338483	0.102	0.000097
0.340117	0.098	0.007663
0.341783	0.1	0.014961
0.343450	0.1	0.019676
0.345117	0.1	0.021248
0.346783	0.1	0.025032
0.348450	0.1	0.027257
0.350117	0.1	0.023335
0.351783	0.1	0.019913
0.353450	0.1	0.015640
0.355117	0.1	0.006329
0.356783	0.1	-0.002635
0.358450	0.1	-0.006570
0.360117	0.1	-0.003136
0.361783	0.1	-0.005500
0.363450	0.1	-0.015592
0.365450	0.12	-0.019827
0.367117	0.1	-0.012592
0.368783	0.1	0.004436
0.370450	0.1	0.023738
0.372100	0.099	0.036301
0.373767	0.1	0.033488
0.375433	0.1	0.017195
0.377100	0.1	-0.004406
0.378767	0.1	-0.019981
0.380433	0.1	-0.024654
0.382100	0.1	-0.018814
0.383767	0.1	-0.009953
0.385433	0.1	-0.010896
0.387100	0.1	-0.023347
0.388750	0.099	-0.034251
0.390417	0.1	-0.032978
0.392083	0.1	-0.017925
0.393750	0.1	-0.006527
0.395417	0.1	-0.007961
0.397083	0.1	-0.013630
0.399117	0.122	-0.017972
0.400767	0.099	-0.017798
0.402417	0.099	-0.014350
0.404083	0.1	-0.006963
0.405750	0.1	-0.001631
0.407417	0.1	-0.004198
0.409083	0.1	-0.006301
0.410750	0.1	-0.001544
0.412417	0.1	0.000170
0.414083	0.1	-0.000861
0.415750	0.1	0.001387
0.417417	0.1	0.005237
0.419083	0.1	0.011493
0.420750	0.1	0.019435
0.422417	0.1	0.015421
0.424083	0.1	-0.002846
0.425750	0.1	-0.009188
0.427417	0.1	0.000620
0.429083	0.1	-0.000894
0.431100	0.121	-0.017685
0.432750	0.099	-0.028483
0.434417	0.1	-0.023379
0.436083	0.1	-0.010458
0.437750	0.1	0.004803
0.439417	0.1	0.015144
0.441083	0.1	0.010082
0.442750	0.1	-0.009091
0.444417	0.1	-0.027062
0.446083	0.1	-0.035319
0.447750	0.1	-0.032430
0.449417	0.1	-0.024954
0.451083	0.1	-0.022942
0.452750	0.1	-0.017773
0.454417	0.1	-0.008731
0.456083	0.1	-0.004603
0.457750	0.1	0.003575
0.459417	0.1	0.020777
0.461083	0.1	0.033636
0.462750	0.1	0.035304
0.464750	0.12	0.030588
0.466417	0.1	0.017366
0.468117	0.102	-0.003864
0.469750	0.098	-0.028103
0.471417	0.1	-0.041560
0.473083	0.1	-0.036402
0.474750	0.1	-0.021253
0.476417	0.1	-0.003819
0.478083	0.1	0.008128
0.479750	0.1	0.012545
0.481417	0.1	0.018073
0.483083	0.1	0.027849
0.484750	0.1	0.034711
0.486417	0.1	0.034366
0.488083	0.1	0.027266
0.489750	0.1	0.013009
0.491417	0.1	0.000886
0.493083	0.1	0.001645
0.494750	0.1	0.014867
0.496417	0.1	0.023610
0.498450	0.122	0.020811
0.500117	0.1	0.010840
0.501750	0.098	0.001713
0.503433	0.101	0.004074
0.505083	0.099	0.017808
0.506750	0.1	0.030481
0.508417	0.1	0.037946
0.510083	0.1	0.038821
0.511750	0.1	0.024997
0.513417	0.1	0.001975
0.515083	0.1	-0.007949
0.516750	0.1	0.007418
0.518417	0.1	0.026416
0.520083	0.1	0.022009
0.521750	0.1	0.000537
0.523417	0.1	-0.014403
0.525083	0.1	-0.010388
0.526750	0.1	-0.002764
0.528417	0.1	-0.005575
0.530083	0.1	-0.018492
0.532117	0.122	-0.030912
0.533750	0.098	-0.030311
0.535417	0.1	-0.011134
0.537083	0.1	0.008644
0.538750	0.1	0.015282
0.540417	0.1	0.014983
0.542083	0.1	0.011391
0.543750	0.1	0.008886
0.545417	0.1	0.004461
0.547083	0.1	-0.009058
0.548750	0.1	-0.022681
0.550417	0.1	-0.024822
0.552083	0.1	-0.015782
0.553750	0.1	0.000468
0.555417	0.1	0.018989
0.557083	0.1	0.026263
0.558750	0.1	0.021100
0.560417	0.1	0.018379
0.562083	0.1	0.016654
0.563750	0.1	0.002197
