URL	chrom://farber-hplc/test001/Josh/Standards/1.24.24 Algorithm Rerun w different gradient - Rep 4.seq/674.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.24.24 Algorithm Rerun w different gradient - Rep 4
Name	1:0.5:0.5 2
Number	13
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min_end
Type	Unknown
Status	Finished
Inject Time	1/25/2024 5:58:04 AM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000417
Data Points	38602
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.497282
Signal Max.	89.929720
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.095
Max. Step (s)	0.129
Average Step (s)	0.1010343

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.019783
0.001667	0.1	-0.018002
0.003333	0.1	-0.013601
0.005000	0.1	-0.011127
0.006667	0.1	-0.007244
0.008333	0.1	0.001594
0.010000	0.1	0.013695
0.011667	0.1	0.017294
0.013333	0.1	0.009129
0.015000	0.1	-0.005228
0.016667	0.1	-0.012752
0.018333	0.1	-0.010861
0.020000	0.1	-0.000682
0.021667	0.1	0.011062
0.023333	0.1	0.012488
0.025000	0.1	0.002658
0.026667	0.1	-0.012371
0.028733	0.124	-0.024534
0.030333	0.096	-0.034979
0.032000	0.1	-0.047872
0.033667	0.1	-0.057123
0.035333	0.1	-0.065839
0.037000	0.1	-0.075591
0.038667	0.1	-0.077545
0.040333	0.1	-0.071305
0.042000	0.1	-0.065386
0.043667	0.1	-0.062395
0.045333	0.1	-0.061014
0.047000	0.1	-0.062089
0.048667	0.1	-0.073008
0.050333	0.1	-0.087909
0.052000	0.1	-0.093305
0.053700	0.102	-0.094036
0.055367	0.1	-0.102848
0.057033	0.1	-0.104124
0.058700	0.1	-0.085765
0.060367	0.1	-0.063180
0.062367	0.12	-0.053391
