URL	chrom://farber-hplc/test001/Josh/Standards/1.24.24 Algorithm Rerun w different gradient - Rep 4.seq/949.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.24.24 Algorithm Rerun w different gradient - Rep 4
Name	1:0.5:0.5
Number	9
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/25/2024 1:33:08 AM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.001217
Data Points	38604
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.402956
Signal Max.	69.544080
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103031

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.059333
0.001650	0.099	-0.064380
0.003350	0.102	-0.063135
0.004983	0.098	-0.055099
0.006650	0.1	-0.053761
0.008317	0.1	-0.053318
0.009983	0.1	-0.049640
0.011650	0.1	-0.038955
0.013317	0.1	-0.019029
0.014983	0.1	0.002274
0.016650	0.1	0.017489
0.018300	0.099	0.017665
0.019967	0.1	-0.001132
0.021633	0.1	-0.025388
0.023300	0.1	-0.037820
0.024967	0.1	-0.042430
0.026633	0.1	-0.057651
0.028633	0.12	-0.082377
0.030300	0.1	-0.095174
0.031967	0.1	-0.084933
0.033650	0.101	-0.060248
0.035333	0.101	-0.034508
0.036967	0.098	-0.019052
0.038650	0.101	-0.016930
0.040300	0.099	-0.020175
0.041967	0.1	-0.028552
0.043633	0.1	-0.042614
0.045300	0.1	-0.061212
0.046967	0.1	-0.075435
0.048633	0.1	-0.074179
0.050300	0.1	-0.057716
0.051967	0.1	-0.036565
0.053633	0.1	-0.021812
0.055300	0.1	-0.015359
0.056967	0.1	-0.015651
0.058633	0.1	-0.018296
0.060300	0.1	-0.021737
0.062300	0.12	-0.029464
0.064000	0.102	-0.047221
0.065650	0.099	-0.065809
0.067300	0.099	-0.067632
0.068967	0.1	-0.055682
0.070633	0.1	-0.043894
0.072300	0.1	-0.034751
0.073967	0.1	-0.027887
0.075633	0.1	-0.032268
0.077300	0.1	-0.040977
0.078967	0.1	-0.038106
0.080633	0.1	-0.020540
0.082300	0.1	-0.003722
0.083967	0.1	-0.002631
0.085633	0.1	-0.010159
0.087300	0.1	-0.017460
0.088967	0.1	-0.027365
0.090633	0.1	-0.038304
0.092300	0.1	-0.045238
0.093967	0.1	-0.040464
