URL	chrom://farber-hplc/test001/Josh/Standards/1.24.24 Algorithm Rerun w different gradient - Rep 4.seq/904.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	1.24.24 Algorithm Rerun w different gradient - Rep 4
Name	1:0:0
Number	3
Position	RA3
Comment	
Processing Method	New Processing Method
Instrument Method	04.06.15 CAD plus wash 25 min
Type	Unknown
Status	Finished
Inject Time	1/24/2024 6:55:45 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.001250
Data Points	38602
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.325263
Signal Max.	50.142110
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.128
Average Step (s)	0.10103559

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.022622
0.001667	0.1	0.006505
0.003333	0.1	-0.008785
0.005000	0.1	-0.020540
0.006667	0.1	-0.030019
0.008350	0.101	-0.028297
0.010000	0.099	-0.016711
0.011667	0.1	-0.013389
0.013333	0.1	-0.023145
0.015000	0.1	-0.033114
0.016683	0.101	-0.039267
0.018333	0.099	-0.040307
0.020000	0.1	-0.033572
0.021667	0.1	-0.020762
0.023333	0.1	-0.011748
0.025017	0.101	-0.019419
0.026667	0.099	-0.033662
0.028333	0.1	-0.038235
0.030333	0.12	-0.033010
0.032000	0.1	-0.022221
0.033667	0.1	-0.013198
0.035333	0.1	-0.007306
0.037033	0.102	-0.012104
0.038667	0.098	-0.021530
0.040333	0.1	-0.021446
0.042000	0.1	-0.012762
0.043667	0.1	-0.004453
0.045333	0.1	0.000789
0.047000	0.1	-0.004734
0.048667	0.1	-0.026258
0.050333	0.1	-0.050515
0.052000	0.1	-0.062715
0.053667	0.1	-0.063627
0.055333	0.1	-0.055347
0.057000	0.1	-0.047072
0.058667	0.1	-0.043126
0.060333	0.1	-0.036043
